country,fuel,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
Turkiye,Uranium,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
Turkiye,ImportedCoal,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403,2.941893403
Turkiye,DomesticCoal,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646,3.152028646
Turkiye,Gas,11.3,11.3,10.1,9.2,8.3,7.4,6.5,6.61,6.72,6.83,6.94,7.05,7.16,7.27,7.38,7.49,7.6,7.61,7.62,7.63,7.64,7.65,7.66,7.67,7.68,7.69,7.7,7.7,7.7,7.7
Turkiye,HFO,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348,19.3598348
Turkiye,Biomass,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Armenia,Gas,4.7149,4.7481,4.7813,4.8145,4.8476,4.8808,4.914,4.9472,4.9804,5.0135,5.0467,5.0799,5.1131,5.1463,5.1794,5.2126,5.2458,5.2679,5.2899,5.312,5.334,5.3561,5.3781,5.4002,5.4222,5.4443,5.4663,5.4884,5.5104,5.5325
Armenia,HFO,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468,6.468
Armenia,Uranium,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
Georgia,Gas,4.5,4.5332,4.5664,4.5996,4.6327,4.6659,4.6991,4.7323,4.7655,4.7986,4.8318,4.865,4.8982,4.9314,4.9645,4.9977,5.0309,5.053,5.075,5.0971,5.1191,5.1412,5.1632,5.1853,5.2073,5.2294,5.2514,5.2735,5.2955,5.3176
Georgia,DomesticCoal,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82
Azerbaijan,Gas,4.4577,4.4909,4.5241,4.5573,4.5904,4.6236,4.6568,4.69,4.7232,4.7563,4.7895,4.8227,4.8559,4.8891,4.9222,4.9554,4.9886,5.0107,5.0327,5.0548,5.0768,5.0989,5.1209,5.143,5.165,5.1871,5.2091,5.2312,5.2532,5.2753
Azerbaijan,Biomass,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Romania,DomesticCoal,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
Romania,Uranium,1.504897274234244,3.4033163183040847,3.522029844084652,3.6213969695872814,3.6213969695872814,3.6213969695872814,3.1980942110374464,3.9493818665606564,4.175692192680371,4.238424426005719,4.287974863746066,4.3540446126956835,4.414066262820994,4.527400338660385,4.610486900920023,4.693573463179689,4.776660025439355,4.859746587698993,4.942833149958659,5.025919712218325,5.109006274477963,5.192092836737629,5.275179398997295,5.358265961256933,5.441352523516599,5.524439085776265,5.607525648035903,5.607525648035903,5.607525648035903,5.607525648035903
Romania,Gas,18.34519292303576,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81
Romania,Biomass,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Bulgaria,Gas,5.6231,5.6231,5.7603,5.8975,6.0346,6.1718,6.3089,6.1865,6.0641,5.9418,5.8194,5.697,5.87,6.043,6.2161,6.3891,6.5621,6.7604,6.9588,7.1571,7.3555,7.5538,7.7521,7.9505,8.1488,8.3472,8.5455,8.5455,8.5455,8.5455
Bulgaria,DomesticCoal,2.2577,2.2577,2.2704,2.283,2.2957,2.3083,2.321,2.321,2.321,2.321,2.321,2.321,2.321,2.321,2.321,2.321,2.321,2.321,2.321,2.321,2.321,2.321,2.321,2.321,2.321,2.321,2.321,2.321,2.321,2.321
Bulgaria,ImportedCoal,4.0934,4.0934,4.0617,4.0301,3.9984,3.9668,3.9351,3.9436,3.952,3.9605,3.9689,3.9773,3.9795,3.9816,3.9837,3.9858,3.9879,3.9689,3.9499,3.9309,3.9119,3.8929,3.8845,3.8761,3.8676,3.8592,3.8507,3.8507,3.8507,3.8507
