g,z,tech,f,Status,StYr,RetrYr,Capacity,BuildLimitperYear,Life,HeatRate,RampUpRate,RampDnRate,ResLimShare,Capex,FOMperMW,VOM,ReserveCost,UnitSize
EUAS_CAYIRHAN_3,CenterAna,ST,DomesticCoal,1,1998,2045,155,155,50,11.8117362,0.05,0.05,0.03,,40000,4,10,
EUAS_CAYIRHAN_4,CenterAna,ST,DomesticCoal,1,1999,2045,155,155,50,11.8117362,0.05,0.05,0.03,,40000,4,10,
CUMRA_SEKER_KONYA,CenterAna,ST,DomesticCoal,1,2008,2060,23.56,23.56,50,29.27188728,0.05,0.05,0.03,,40000,4,10,
CUMRA_TERMIK_KONYA,CenterAna,ST,DomesticCoal,1,2013,2060,37,37,50,23.27766676,0.05,0.05,0.03,,40000,4,10,
KANGAL_1,CenterBlack,ST,DomesticCoal,1,1989,2060,150,150,50,12.20390067,0.05,0.05,0.03,,40000,4,10,
KANGAL_2,CenterBlack,ST,DomesticCoal,1,1990,2060,150,150,50,12.20390067,0.05,0.05,0.03,,40000,4,10,
KANGAL_3,CenterBlack,ST,DomesticCoal,1,2000,2060,157,157,50,12.20390067,0.05,0.05,0.03,,40000,4,10,
KEMERKOY_1,WestAna,ST,DomesticCoal,1,1993,2060,233,233,50,10.69526868,0.05,0.05,0.03,,40000,4,10,
KEMERKOY_2,WestAna,ST,DomesticCoal,1,1994,2060,233,233,50,10.69526868,0.05,0.05,0.03,,40000,4,10,
KEMERKOY_3,WestAna,ST,DomesticCoal,1,1995,2060,233,233,50,10.69526868,0.05,0.05,0.03,,40000,4,10,
ORHANELI,NorthWest,ST,DomesticCoal,1,1992,2060,210,210,50,10.55367767,0.05,0.05,0.03,,40000,4,10,
POLAT,NorthWest,ST,DomesticCoal,1,2014,2060,51,51,50,12.1136238,0.05,0.05,0.03,,40000,4,10,
SEYITOMER_1,NorthWest,ST,DomesticCoal,1,1973,2060,150,150,50,11.45583336,0.05,0.05,0.03,,40000,4,10,
SEYITOMER_2,NorthWest,ST,DomesticCoal,1,1973,2060,150,150,50,11.45583336,0.05,0.05,0.03,,40000,4,10,
SEYITOMER_3,NorthWest,ST,DomesticCoal,1,1977,2060,150,150,50,11.45583336,0.05,0.05,0.03,,40000,4,10,
SEYITOMER_4,NorthWest,ST,DomesticCoal,1,1989,2060,150,150,50,11.45583336,0.05,0.05,0.03,,40000,4,10,
EUAS_SOMA_A1,WestAna,ST,DomesticCoal,1,1957,2060,22,22,50,14.79196285,0.05,0.05,0.03,,40000,4,10,
EUAS_SOMA_A2,WestAna,ST,DomesticCoal,1,1958,2060,22,22,50,14.79196285,0.05,0.05,0.03,,40000,4,10,
SOMA_B1,WestAna,ST,DomesticCoal,1,1981,2060,165,165,50,12.76201077,0.05,0.05,0.03,,40000,4,10,
SOMA_B2,WestAna,ST,DomesticCoal,1,1982,2060,165,165,50,12.76201077,0.05,0.05,0.03,,40000,4,10,
SOMA_B3,WestAna,ST,DomesticCoal,1,1985,2060,165,165,50,12.76201077,0.05,0.05,0.03,,40000,4,10,
SOMA_B4,WestAna,ST,DomesticCoal,1,1986,2060,165,165,50,12.76201077,0.05,0.05,0.03,,40000,4,10,
SOMA_B5,WestAna,ST,DomesticCoal,1,1991,2060,165,165,50,12.76201077,0.05,0.05,0.03,,40000,4,10,
SOMA_B6,WestAna,ST,DomesticCoal,1,1993,2060,165,165,50,12.76201077,0.05,0.05,0.03,,40000,4,10,
SOMA_KOLIN_1,WestAna,ST,DomesticCoal,1,2018,2060,255,255,50,8.977348119,0.05,0.05,0.03,,40000,4,10,
SOMA_KOLIN_2,WestAna,ST,DomesticCoal,1,2018,2060,255,255,50,8.977348119,0.05,0.05,0.03,,40000,4,10,
