g,z,tech,f,Status,StYr,RetrYr,Capacity,BuildLimitperYear,Life,HeatRate,RampUpRate,RampDnRate,ResLimShare,Capex,FOMperMW,VOM,ReserveCost,UnitSize
EastAna_AGG_Liquids,EastAna,ICE,HFO,1,1997,2060,11.84,11.84,50,9.477774619,0.05,0.05,0.1,,13000,4,10,
SouthEast_AGG_Liquids,SouthEast,ICE,HFO,1,2017,2060,33.92,33.92,50,9.477774619,0.05,0.05,0.1,,13000,4,10,
NorthWest_AGG_Liquids,NorthWest,ICE,HFO,1,1992,2060,5.2,5.2,50,9.477774619,0.05,0.05,0.1,,13000,4,10,
CenterAna_AGG_Liquids,CenterAna,ICE,HFO,1,2008,2060,88.62716829,88.62716829,50,9.477774619,0.05,0.05,0.1,,13000,4,10,
AKSA_YALOVA,NorthWest,ST,ImportedCoal,1,2011,2060,145,145,50,12.5106625,0.05,0.05,0.05,,30000,4,10,
ATLAS_1,EastMed,ST,ImportedCoal,1,2014,2060,630,630,50,8.781204892,0.05,0.05,0.05,,30000,4,10,
ATLAS_2,EastMed,ST,ImportedCoal,1,2014,2060,630,630,50,8.781204892,0.05,0.05,0.05,,30000,4,10,
BEKIRLI_1,WestAna,ST,ImportedCoal,1,2011,2060,600,600,50,9.059533796,0.05,0.05,0.05,,30000,4,10,
BEKIRLI_2,WestAna,ST,ImportedCoal,1,2014,2060,600,600,50,9.059533796,0.05,0.05,0.05,,30000,4,10,
ICDAS_1,WestAna,ST,ImportedCoal,1,2005,2060,135,135,50,10.32070539,0.05,0.05,0.05,,30000,4,10,
ICDAS_2,WestAna,ST,ImportedCoal,1,2009,2060,135,135,50,10.32070539,0.05,0.05,0.05,,30000,4,10,
ICDAS_3,WestAna,ST,ImportedCoal,1,2009,2060,135,135,50,10.32070539,0.05,0.05,0.05,,30000,4,10,
CENAL_1,WestAna,ST,ImportedCoal,1,2017,2060,660,660,50,8.977348119,0.05,0.05,0.05,,30000,4,10,
CENAL_2,WestAna,ST,ImportedCoal,1,2017,2060,660,660,50,8.977348119,0.05,0.05,0.05,,30000,4,10,
COLAKOGLU_2,NorthWest,ST,ImportedCoal,1,1994,2060,190,190,50,11.61073589,0.05,0.05,0.05,,30000,4,10,
HUNUTLU_1,EastMed,ST,ImportedCoal,1,2024,2060,675,675,50,8.6,0.05,0.05,0.05,,30000,4,10,
HUNUTLU_2,EastMed,ST,ImportedCoal,1,2024,2060,675,675,50,8.6,0.05,0.05,0.05,,30000,4,10,
ISKEN_SUGOZU_1,EastMed,ST,ImportedCoal,1,2003,2060,680,680,50,8.977623399,0.05,0.05,0.05,,30000,4,10,
ISKEN_SUGOZU_2,EastMed,ST,ImportedCoal,1,2003,2060,680,680,50,8.977623399,0.05,0.05,0.05,,30000,4,10,
IZDEMIR,WestAna,ST,ImportedCoal,1,2014,2060,370,370,50,8.896699877,0.05,0.05,0.05,,30000,4,10,
SouthEast_Agg_ImpCoal,SouthEast,ST,ImportedCoal,1,2000,2060,17.3,17.3,50,8.440686368,0.05,0.05,0.05,,30000,4,10,
ZETES_1_EREN,NorthWest,ST,ImportedCoal,1,2010,2060,160,160,50,9.752559103,0.05,0.05,0.05,,30000,4,10,
ZETES_2_1_EREN,NorthWest,ST,ImportedCoal,1,2010,2060,615,615,50,8.873881407,0.05,0.05,0.05,,30000,4,10,
ZETES_2_2_EREN,NorthWest,ST,ImportedCoal,1,2010,2060,615,615,50,8.873881407,0.05,0.05,0.05,,30000,4,10,
ZETES_3_1_EREN,NorthWest,ST,ImportedCoal,1,2016,2060,700,700,50,8.440686368,0.05,0.05,0.05,,30000,4,10,
ZETES_3_2_EREN,NorthWest,ST,ImportedCoal,1,2016,2060,700,700,50,8.440686368,0.05,0.05,0.05,,30000,4,10,
ALBAYRAK,WestAna,ST,ImportedCoal,1,2000,2060,40,40,50,8.440686368,0.05,0.05,0.05,,30000,4,10,
CAYCUMA,NorthWest,ST,ImportedCoal,1,2000,2060,8.5,8.5,50,8.440686368,0.05,0.05,0.05,,30000,4,10,
NorthWest_Agg_DistPV,NorthWest,PV,Solar,1,2024,2060,1652.261498,1652.261498,25,,,,,,15000,,,
Trakia_Agg_DistPV,Trakia,PV,Solar,1,2024,2060,459.9219698,459.9219698,25,,,,,,15000,,,
EastAna_Agg_DistPV,EastAna,PV,Solar,1,2024,2060,721.8726981,721.8726981,25,,,,,,15000,,,
EastMed_Agg_DistPV,EastMed,PV,Solar,1,2024,2060,1250.036119,1250.036119,25,,,,,,15000,,,
SouthEast_Agg_DistPV,SouthEast,PV,Solar,1,2024,2060,3534.859153,3534.859153,25,,,,,,15000,,,
WestMed_Agg_DistPV,WestMed,PV,Solar,1,2024,2060,2684.057034,2684.057034,25,,,,,,15000,,,
CenterBlack_Agg_DistPV,CenterBlack,PV,Solar,1,2024,2060,1115.684199,1115.684199,25,,,,,,15000,,,
WestAna_Agg_DistPV,WestAna,PV,Solar,1,2024,2060,2229.747651,2229.747651,25,,,,,,15000,,,
CenterAna_Agg_DistPV,CenterAna,PV,Solar,1,2024,2060,4217.123596,4217.123596,25,,,,,,15000,,,
EastAna_Agg_UtilPV,EastAna,PV,Solar,1,2024,2060,95.75,95.75,25,,,,,,15000,,,
EastMed_Agg_UtilPV,EastMed,PV,Solar,1,2024,2060,235,235,25,,,,,,15000,,,
SouthEast_Agg_UtilPV,SouthEast,PV,Solar,1,2024,2060,208.189,208.189,25,,,,,,15000,,,
WestMed_Agg_UtilPV,WestMed,PV,Solar,1,2024,2060,99,99,25,,,,,,15000,,,
CenterBlack_Agg_UtilPV,CenterBlack,PV,Solar,1,2024,2060,9,9,25,,,,,,15000,,,
WestAna_Agg_UtilPV,WestAna,PV,Solar,1,2024,2060,14,14,25,,,,,,15000,,,
CenterAna_Agg_UtilPV,CenterAna,PV,Solar,1,2024,2060,1355.124,1355.124,25,,,,,,15000,,,
WestMed_PV_Com2025,WestMed,PV,Solar,2,2025,2060,,,25,,,,,0.71,15000,,,
WestAna_PV_Com2025,WestAna,PV,Solar,2,2025,2060,,,25,,,,,0.71,15000,,,
EastMed_PV_Com2025,EastMed,PV,Solar,2,2025,2060,,,25,,,,,0.71,15000,,,
EastAna_PV_Com2025,EastAna,PV,Solar,2,2025,2060,19.24997,19.24997,25,,,,,0.71,15000,,,
SouthEast_PV_Com2025,SouthEast,PV,Solar,2,2025,2060,250.00004,250.00004,25,,,,,0.71,15000,,,
NorthWest_PV_Com2025,NorthWest,PV,Solar,2,2025,2060,,,25,,,,,0.71,15000,,,
CenterAna_PV_Com2025,CenterAna,PV,Solar,2,2025,2060,2.128,2.128,25,,,,,0.71,15000,,,
CenterBlack_PV_Com2025,CenterBlack,PV,Solar,2,2025,2060,,,25,,,,,0.71,15000,,,
Trakia_PV_Com2025,Trakia,PV,Solar,2,2025,2060,,,25,,,,,0.71,15000,,,
WestMed_PV_Com2026,WestMed,PV,Solar,2,2026,2060,,,25,,,,,0.71,15000,,,
WestAna_PV_Com2026,WestAna,PV,Solar,2,2026,2060,,,25,,,,,0.71,15000,,,
EastMed_PV_Com2026,EastMed,PV,Solar,2,2026,2060,,,25,,,,,0.71,15000,,,
EastAna_PV_Com2026,EastAna,PV,Solar,2,2026,2060,,,25,,,,,0.71,15000,,,
SouthEast_PV_Com2026,SouthEast,PV,Solar,2,2026,2060,200.00008,200.00008,25,,,,,0.71,15000,,,
NorthWest_PV_Com2026,NorthWest,PV,Solar,2,2026,2060,,,25,,,,,0.71,15000,,,
CenterAna_PV_Com2026,CenterAna,PV,Solar,2,2026,2060,100,100,25,,,,,0.71,15000,,,
CenterBlack_PV_Com2026,CenterBlack,PV,Solar,2,2026,2060,,,25,,,,,0.71,15000,,,
Trakia_PV_Com2026,Trakia,PV,Solar,2,2026,2060,,,25,,,,,0.71,15000,,,
WestMed_PV_Com2027,WestMed,PV,Solar,2,2027,2060,40,40,25,,,,,0.71,15000,,,
WestAna_PV_Com2027,WestAna,PV,Solar,2,2027,2060,,,25,,,,,0.71,15000,,,
EastMed_PV_Com2027,EastMed,PV,Solar,2,2027,2060,,,25,,,,,0.71,15000,,,
EastAna_PV_Com2027,EastAna,PV,Solar,2,2027,2060,,,25,,,,,0.71,15000,,,
SouthEast_PV_Com2027,SouthEast,PV,Solar,2,2027,2060,,,25,,,,,0.71,15000,,,
NorthWest_PV_Com2027,NorthWest,PV,Solar,2,2027,2060,40,40,25,,,,,0.71,15000,,,
CenterAna_PV_Com2027,CenterAna,PV,Solar,2,2027,2060,,,25,,,,,0.71,15000,,,
CenterBlack_PV_Com2027,CenterBlack,PV,Solar,2,2027,2060,,,25,,,,,0.71,15000,,,
Trakia_PV_Com2027,Trakia,PV,Solar,2,2027,2060,,,25,,,,,0.71,15000,,,
WestMed_PV_Com2028,WestMed,PV,Solar,2,2028,2060,,,25,,,,,0.71,15000,,,
WestAna_PV_Com2028,WestAna,PV,Solar,2,2028,2060,,,25,,,,,0.71,15000,,,
EastMed_PV_Com2028,EastMed,PV,Solar,2,2028,2060,,,25,,,,,0.71,15000,,,
EastAna_PV_Com2028,EastAna,PV,Solar,2,2028,2060,60,60,25,,,,,0.71,15000,,,
SouthEast_PV_Com2028,SouthEast,PV,Solar,2,2028,2060,75,75,25,,,,,0.71,15000,,,
NorthWest_PV_Com2028,NorthWest,PV,Solar,2,2028,2060,,,25,,,,,0.71,15000,,,
CenterAna_PV_Com2028,CenterAna,PV,Solar,2,2028,2060,585,585,25,,,,,0.71,15000,,,
CenterBlack_PV_Com2028,CenterBlack,PV,Solar,2,2028,2060,,,25,,,,,0.71,15000,,,
Trakia_PV_Com2028,Trakia,PV,Solar,2,2028,2060,,,25,,,,,0.71,15000,,,
WestMed_PV_Com2029,WestMed,PV,Solar,2,2029,2060,,,25,,,,,0.71,15000,,,
WestAna_PV_Com2029,WestAna,PV,Solar,2,2029,2060,,,25,,,,,0.71,15000,,,
EastMed_PV_Com2029,EastMed,PV,Solar,2,2029,2060,,,25,,,,,0.71,15000,,,
EastAna_PV_Com2029,EastAna,PV,Solar,2,2029,2060,,,25,,,,,0.71,15000,,,
SouthEast_PV_Com2029,SouthEast,PV,Solar,2,2029,2060,,,25,,,,,0.71,15000,,,
NorthWest_PV_Com2029,NorthWest,PV,Solar,2,2029,2060,,,25,,,,,0.71,15000,,,
CenterAna_PV_Com2029,CenterAna,PV,Solar,2,2029,2060,,,25,,,,,0.71,15000,,,
CenterBlack_PV_Com2029,CenterBlack,PV,Solar,2,2029,2060,,,25,,,,,0.71,15000,,,
Trakia_PV_Com2029,Trakia,PV,Solar,2,2029,2060,,,25,,,,,0.71,15000,,,
WestMed_PV_Com2030,WestMed,PV,Solar,2,2030,2060,,,25,,,,,0.71,15000,,,
WestAna_PV_Com2030,WestAna,PV,Solar,2,2030,2060,,,25,,,,,0.71,15000,,,
EastMed_PV_Com2030,EastMed,PV,Solar,2,2030,2060,,,25,,,,,0.71,15000,,,
EastAna_PV_Com2030,EastAna,PV,Solar,2,2030,2060,,,25,,,,,0.71,15000,,,
SouthEast_PV_Com2030,SouthEast,PV,Solar,2,2030,2060,,,25,,,,,0.71,15000,,,
NorthWest_PV_Com2030,NorthWest,PV,Solar,2,2030,2060,,,25,,,,,0.71,15000,,,
CenterAna_PV_Com2030,CenterAna,PV,Solar,2,2030,2060,,,25,,,,,0.71,15000,,,
CenterBlack_PV_Com2030,CenterBlack,PV,Solar,2,2030,2060,,,25,,,,,0.71,15000,,,
Trakia_PV_Com2030,Trakia,PV,Solar,2,2030,2060,,,25,,,,,0.71,15000,,,
WestMed_PV_Com2031,WestMed,PV,Solar,2,2031,2060,,,25,,,,,0.71,15000,,,
WestAna_PV_Com2031,WestAna,PV,Solar,2,2031,2060,,,25,,,,,0.71,15000,,,
EastMed_PV_Com2031,EastMed,PV,Solar,2,2031,2060,,,25,,,,,0.71,15000,,,
EastAna_PV_Com2031,EastAna,PV,Solar,2,2031,2060,,,25,,,,,0.71,15000,,,
SouthEast_PV_Com2031,SouthEast,PV,Solar,2,2031,2060,,,25,,,,,0.71,15000,,,
NorthWest_PV_Com2031,NorthWest,PV,Solar,2,2031,2060,,,25,,,,,0.71,15000,,,
CenterAna_PV_Com2031,CenterAna,PV,Solar,2,2031,2060,,,25,,,,,0.71,15000,,,
CenterBlack_PV_Com2031,CenterBlack,PV,Solar,2,2031,2060,,,25,,,,,0.71,15000,,,
Trakia_PV_Com2031,Trakia,PV,Solar,2,2031,2060,,,25,,,,,0.71,15000,,,
WestMed_PV_Com2032,WestMed,PV,Solar,2,2032,2060,,,25,,,,,0.71,15000,,,
WestAna_PV_Com2032,WestAna,PV,Solar,2,2032,2060,,,25,,,,,0.71,15000,,,
EastMed_PV_Com2032,EastMed,PV,Solar,2,2032,2060,,,25,,,,,0.71,15000,,,
EastAna_PV_Com2032,EastAna,PV,Solar,2,2032,2060,,,25,,,,,0.71,15000,,,
SouthEast_PV_Com2032,SouthEast,PV,Solar,2,2032,2060,,,25,,,,,0.71,15000,,,
NorthWest_PV_Com2032,NorthWest,PV,Solar,2,2032,2060,,,25,,,,,0.71,15000,,,
CenterAna_PV_Com2032,CenterAna,PV,Solar,2,2032,2060,,,25,,,,,0.71,15000,,,
CenterBlack_PV_Com2032,CenterBlack,PV,Solar,2,2032,2060,,,25,,,,,0.71,15000,,,
Trakia_PV_Com2032,Trakia,PV,Solar,2,2032,2060,,,25,,,,,0.71,15000,,,
WestMed_PV_Com2033,WestMed,PV,Solar,2,2033,2060,,,25,,,,,0.71,15000,,,
WestAna_PV_Com2033,WestAna,PV,Solar,2,2033,2060,,,25,,,,,0.71,15000,,,
EastMed_PV_Com2033,EastMed,PV,Solar,2,2033,2060,,,25,,,,,0.71,15000,,,
EastAna_PV_Com2033,EastAna,PV,Solar,2,2033,2060,,,25,,,,,0.71,15000,,,
SouthEast_PV_Com2033,SouthEast,PV,Solar,2,2033,2060,,,25,,,,,0.71,15000,,,
NorthWest_PV_Com2033,NorthWest,PV,Solar,2,2033,2060,,,25,,,,,0.71,15000,,,
CenterAna_PV_Com2033,CenterAna,PV,Solar,2,2033,2060,,,25,,,,,0.71,15000,,,
CenterBlack_PV_Com2033,CenterBlack,PV,Solar,2,2033,2060,,,25,,,,,0.71,15000,,,
Trakia_PV_Com2033,Trakia,PV,Solar,2,2033,2060,,,25,,,,,0.71,15000,,,
WestMed_PV_Com2034,WestMed,PV,Solar,2,2034,2060,,,25,,,,,0.71,15000,,,
WestAna_PV_Com2034,WestAna,PV,Solar,2,2034,2060,,,25,,,,,0.71,15000,,,
EastMed_PV_Com2034,EastMed,PV,Solar,2,2034,2060,,,25,,,,,0.71,15000,,,
EastAna_PV_Com2034,EastAna,PV,Solar,2,2034,2060,,,25,,,,,0.71,15000,,,
SouthEast_PV_Com2034,SouthEast,PV,Solar,2,2034,2060,,,25,,,,,0.71,15000,,,
NorthWest_PV_Com2034,NorthWest,PV,Solar,2,2034,2060,,,25,,,,,0.71,15000,,,
CenterAna_PV_Com2034,CenterAna,PV,Solar,2,2034,2060,,,25,,,,,0.71,15000,,,
CenterBlack_PV_Com2034,CenterBlack,PV,Solar,2,2034,2060,,,25,,,,,0.71,15000,,,
Trakia_PV_Com2034,Trakia,PV,Solar,2,2034,2060,,,25,,,,,0.71,15000,,,
WestMed_PV_Com2035,WestMed,PV,Solar,2,2035,2060,,,25,,,,,0.71,15000,,,
WestAna_PV_Com2035,WestAna,PV,Solar,2,2035,2060,,,25,,,,,0.71,15000,,,
EastMed_PV_Com2035,EastMed,PV,Solar,2,2035,2060,,,25,,,,,0.71,15000,,,
EastAna_PV_Com2035,EastAna,PV,Solar,2,2035,2060,,,25,,,,,0.71,15000,,,
SouthEast_PV_Com2035,SouthEast,PV,Solar,2,2035,2060,,,25,,,,,0.71,15000,,,
NorthWest_PV_Com2035,NorthWest,PV,Solar,2,2035,2060,,,25,,,,,0.71,15000,,,
CenterAna_PV_Com2035,CenterAna,PV,Solar,2,2035,2060,,,25,,,,,0.71,15000,,,
CenterBlack_PV_Com2035,CenterBlack,PV,Solar,2,2035,2060,,,25,,,,,0.71,15000,,,
Trakia_PV_Com2035,Trakia,PV,Solar,2,2035,2060,,,25,,,,,0.71,15000,,,
WestMed_PV_Cand2025,WestMed,PV,Solar,3,2025,2060,100000,10000,25,,,,,0.71,15000,,,
WestAna_PV_Cand2025,WestAna,PV,Solar,3,2025,2060,100000,10000,25,,,,,0.71,15000,,,
EastMed_PV_Cand2025,EastMed,PV,Solar,3,2025,2060,100000,10000,25,,,,,0.71,15000,,,
EastAna_PV_Cand2025,EastAna,PV,Solar,3,2025,2060,100000,10000,25,,,,,0.71,15000,,,
SouthEast_PV_Cand2025,SouthEast,PV,Solar,3,2025,2060,100000,10000,25,,,,,0.71,15000,,,
NorthWest_PV_Cand2025,NorthWest,PV,Solar,3,2025,2060,100000,10000,25,,,,,0.71,15000,,,
CenterAna_PV_Cand2025,CenterAna,PV,Solar,3,2025,2060,100000,10000,25,,,,,0.71,15000,,,
CenterBlack_PV_Cand2025,CenterBlack,PV,Solar,3,2025,2060,100000,10000,25,,,,,0.71,15000,,,
Trakia_PV_Cand2025,Trakia,PV,Solar,3,2025,2060,100000,10000,25,,,,,0.71,15000,,,
AKKUYU_1,EastMed,Nuclear,Uranium,2,2028,2088,1200,1200,60,10.497,0.05,0.05,0.02,4.56,90000,5,10,1200
AKKUYU_2,EastMed,Nuclear,Uranium,2,2029,2089,1200,1200,60,10.497,0.05,0.05,0.02,4.56,90000,5,10,1200
AKKUYU_3,EastMed,Nuclear,Uranium,2,2030,2090,1200,1200,60,10.497,0.05,0.05,0.02,4.56,90000,5,10,1200
AKKUYU_4,EastMed,Nuclear,Uranium,2,2031,2091,1200,1200,60,10.497,0.05,0.05,0.02,4.56,90000,5,10,1200
SINOP_1,CenterBlack,Nuclear,Uranium,3,2036,2096,1200,1200,60,10.497,0.05,0.05,0.02,3.96,90000,5,10,1200
SINOP_2,CenterBlack,Nuclear,Uranium,3,2037,2097,1200,1200,60,10.497,0.05,0.05,0.02,3.96,90000,5,10,1200
SINOP_3,CenterBlack,Nuclear,Uranium,3,2038,2098,1200,1200,60,10.497,0.05,0.05,0.02,3.96,90000,5,10,1200
SINOP_4,CenterBlack,Nuclear,Uranium,3,2039,2099,1200,1200,60,10.497,0.05,0.05,0.02,3.96,90000,5,10,1200
TRAKYA_1,Trakia,Nuclear,Uranium,3,2046,2106,1200,1200,60,10.497,0.05,0.05,0.02,3.96,90000,5,10,1200
TRAKYA_2,Trakia,Nuclear,Uranium,3,2047,2107,1200,1200,60,10.497,0.05,0.05,0.02,3.96,90000,5,10,1200
TRAKYA_3,Trakia,Nuclear,Uranium,3,2048,2108,1200,1200,60,10.497,0.05,0.05,0.02,3.96,90000,5,10,1200
TRAKYA_4,Trakia,Nuclear,Uranium,3,2049,2109,1200,1200,60,10.497,0.05,0.05,0.02,3.96,90000,5,10,1200
SMR_Trakia,Trakia,Nuclear,Uranium,3,2040,2100,2000,2000,60,9.18,0.05,0.05,0.02,8,136000,2.6,10,500
SMR_Northwest,NorthWest,Nuclear,Uranium,3,2040,2100,2000,2000,60,9.18,0.05,0.05,0.02,8,136000,2.6,10,500
SMR_WestAna,WestAna,Nuclear,Uranium,3,2040,2100,2000,2000,60,9.18,0.05,0.05,0.02,8,136000,2.6,10,500
WestAna_AGG_ROR,WestAna,ROR,Water,1,2000,2060,218.829,218.829,50,,,,,,10000,0.1,,
WestMed_AGG_ROR,WestMed,ROR,Water,1,2000,2060,373.378,373.378,50,,,,,,10000,0.1,,
EastMed_AGG_ROR,EastMed,ROR,Water,1,2000,2060,1246.682,1246.682,50,,,,,,10000,0.1,,
EastAna_AGG_ROR,EastAna,ROR,Water,1,2000,2060,2020.071,2020.071,50,,,,,,10000,0.1,,
SouthEast_AGG_ROR,SouthEast,ROR,Water,1,2000,2060,959.981,959.981,50,,,,,,10000,0.1,,
NorthWest_AGG_ROR,NorthWest,ROR,Water,1,2000,2060,370.335,370.335,50,,,,,,10000,0.1,,
CenterAna_AGG_ROR,CenterAna,ROR,Water,1,2000,2060,492.658,492.658,50,,,,,,10000,0.1,,
CenterBlack_AGG_ROR,CenterBlack,ROR,Water,1,2000,2060,2657.79701,2657.79701,50,,,,,,10000,0.1,,
ROR_CenterBlack_Com,CenterBlack,ROR,Water,2,2027,2077,13,13,50,,,,,2.925,10000,0.1,,
ROR_EastAna_Com,EastAna,ROR,Water,2,2028,2078,149,149,50,,,,,2.925,10000,0.1,,
ROR_SouthEast_Com,SouthEast,ROR,Water,2,2028,2078,51,51,50,,,,,2.925,10000,0.1,,
ROR_EastMed_Com,EastMed,ROR,Water,2,2028,2078,15,15,50,,,,,2.925,10000,0.1,,
ROR_CenterAna_Com,CenterAna,ROR,Water,2,2028,2078,3,3,50,,,,,2.925,10000,0.1,,
ROR_WestMed_Com,WestMed,ROR,Water,2,2026,2076,14,14,50,,,,,2.925,10000,0.1,,
ROR_NorthWest_Com,NorthWest,ROR,Water,2,2028,2078,20,20,50,,,,,2.925,10000,0.1,,
ROR_WestAna_Com,WestAna,ROR,Water,2,2028,2078,,,50,,,,,2.925,10000,0.1,,
ROR_CenterBlack_Cand,CenterBlack,ROR,Water,3,2027,2077,38,38,50,,,,,2.925,10000,0.1,,
ROR_EastAna_Cand,EastAna,ROR,Water,3,2028,2078,248,248,50,,,,,2.925,10000,0.1,,
ROR_SouthEast_Cand,SouthEast,ROR,Water,3,2028,2078,261,261,50,,,,,2.925,10000,0.1,,
ROR_EastMed_Cand,EastMed,ROR,Water,3,2028,2078,5,5,50,,,,,2.925,10000,0.1,,
ROR_CenterAna_Cand,CenterAna,ROR,Water,3,2028,2078,23,23,50,,,,,2.925,10000,0.1,,
ROR_WestMed_Cand,WestMed,ROR,Water,3,2026,2076,89,89,50,,,,,2.925,10000,0.1,,
ROR_NorthWest_Cand,NorthWest,ROR,Water,3,2028,2078,,,50,,,,,2.925,10000,0.1,,
ROR_WestAna_Cand,WestAna,ROR,Water,3,2028,2078,,,50,,,,,2.925,10000,0.1,,
WestAna_AGG_Dam,WestAna,ReservoirHydro,Water,1,2000,2060,374.593,374.593,50,,,,0.1,,10000,0.1,4,
WestMed_AGG_Dam,WestMed,ReservoirHydro,Water,1,2000,2060,1343.145,1343.145,50,,,,0.1,,10000,0.1,4,
EastMed_AGG_Dam,EastMed,ReservoirHydro,Water,1,2000,2060,2565.669,2565.669,50,,,,0.1,,10000,0.1,4,
EastAna_AGG_Dam,EastAna,ReservoirHydro,Water,1,2000,2060,3445.097,3445.097,50,,,,0.1,,10000,0.1,4,
SouthEast_AGG_Dam,SouthEast,ReservoirHydro,Water,1,2000,2060,11709.11232,11709.11232,50,,,,0.1,,10000,0.1,4,
NorthWest_AGG_Dam,NorthWest,ReservoirHydro,Water,1,2000,2060,235.8,235.8,50,,,,0.1,,10000,0.1,4,
CenterAna_AGG_Dam,CenterAna,ReservoirHydro,Water,1,2000,2060,1079.855,1079.855,50,,,,0.1,,10000,0.1,4,
CenterBlack_AGG_Dam,CenterBlack,ReservoirHydro,Water,1,2000,2060,3109.962,3109.962,50,,,,0.1,,10000,0.1,4,
Hydro_Sto_EastMed_Com,EastMed,ReservoirHydro,Water,2,2028,2078,29,29,50,,,,0.1,2.125,10000,0.1,4,
Hydro_Sto_NorthWest_Com,NorthWest,ReservoirHydro,Water,2,2029,2079,46,46,50,,,,0.1,2.125,10000,0.1,4,
Hydro_Sto_EastAna_Com,EastAna,ReservoirHydro,Water,2,2030,2080,643,643,50,,,,0.1,2.125,10000,0.1,4,
Hydro_Sto_SouthEast_Com,SouthEast,ReservoirHydro,Water,2,2030,2080,399,399,50,,,,0.1,2.125,10000,0.1,4,
Hydro_Sto_CenterBlack_Com,CenterBlack,ReservoirHydro,Water,2,2026,2076,72,72,50,,,,0.1,2.125,10000,0.1,4,
Hydro_Sto_WestMed_Com,WestMed,ReservoirHydro,Water,2,2026,2076,2,2,50,,,,0.1,2.125,10000,0.1,4,
Hydro_Sto_WestAna_Com,WestAna,ReservoirHydro,Water,2,2026,2076,3,3,50,,,,0.1,2.125,10000,0.1,4,
Hydro_Sto_CenterAna_Com,CenterAna,ReservoirHydro,Water,2,2026,2076,7,7,50,,,,0.1,2.125,10000,0.1,4,
Hydro_Sto_EastMed_Cand,EastMed,ReservoirHydro,Water,3,2030,2080,10,10,50,,,,0.1,2.125,10000,0.1,4,
Hydro_Sto_NorthWest_Cand,NorthWest,ReservoirHydro,Water,3,2030,2080,82,82,50,,,,0.1,2.125,10000,0.1,4,
Hydro_Sto_EastAna_Cand,EastAna,ReservoirHydro,Water,3,2030,2080,211,211,50,,,,0.1,2.125,10000,0.1,4,
Hydro_Sto_SouthEast_Cand,SouthEast,ReservoirHydro,Water,3,2030,2080,730,730,50,,,,0.1,2.125,10000,0.1,4,
Hydro_Sto_CenterBlack_Cand,CenterBlack,ReservoirHydro,Water,3,2030,2080,27,27,50,,,,0.1,2.125,10000,0.1,4,
Hydro_Sto_WestMed_Cand,WestMed,ReservoirHydro,Water,3,2030,2080,1,1,50,,,,0.1,2.125,10000,0.1,4,
Hydro_Sto_WestAna_Cand,WestAna,ReservoirHydro,Water,3,2030,2080,,,50,,,,0.1,2.125,10000,0.1,4,
Hydro_Sto_CenterAna_Cand,CenterAna,ReservoirHydro,Water,3,2030,2080,17,17,50,,,,0.1,2.125,10000,0.1,4,
Offshore_WestAna_Com2030,WestAna,OffshoreWind,Wind,2,2030,2060,,,30,,,,,2.75,60000,,,
Offshore_Trakia_Com2030,Trakia,OffshoreWind,Wind,2,2030,2060,,,30,,,,,3.025,60000,,,
Offshore_NorthWest_Com2030,NorthWest,OffshoreWind,Wind,2,2030,2060,,,30,,,,,2.8875,60000,,,
Offshore_WestAna_Com2031,WestAna,OffshoreWind,Wind,2,2031,2060,,,30,,,,,2.75,60000,,,
Offshore_Trakia_Com2031,Trakia,OffshoreWind,Wind,2,2031,2060,,,30,,,,,3.025,60000,,,
Offshore_NorthWest_Com2031,NorthWest,OffshoreWind,Wind,2,2031,2060,,,30,,,,,2.8875,60000,,,
Offshore_WestAna_Com2032,WestAna,OffshoreWind,Wind,2,2032,2060,,,30,,,,,2.75,60000,,,
Offshore_Trakia_Com2032,Trakia,OffshoreWind,Wind,2,2032,2060,,,30,,,,,3.025,60000,,,
Offshore_NorthWest_Com2032,NorthWest,OffshoreWind,Wind,2,2032,2060,,,30,,,,,2.8875,60000,,,
Offshore_WestAna_Com2033,WestAna,OffshoreWind,Wind,2,2033,2060,,,30,,,,,2.75,60000,,,
Offshore_Trakia_Com2033,Trakia,OffshoreWind,Wind,2,2033,2060,,,30,,,,,3.025,60000,,,
Offshore_NorthWest_Com2033,NorthWest,OffshoreWind,Wind,2,2033,2060,,,30,,,,,2.8875,60000,,,
Offshore_WestAna_Com2034,WestAna,OffshoreWind,Wind,2,2034,2060,,,30,,,,,2.75,60000,,,
Offshore_Trakia_Com2034,Trakia,OffshoreWind,Wind,2,2034,2060,,,30,,,,,3.025,60000,,,
Offshore_NorthWest_Com2034,NorthWest,OffshoreWind,Wind,2,2034,2060,,,30,,,,,2.8875,60000,,,
Offshore_WestAna_Com2035,WestAna,OffshoreWind,Wind,2,2035,2060,,,30,,,,,2.75,60000,,,
Offshore_Trakia_Com2035,Trakia,OffshoreWind,Wind,2,2035,2060,,,30,,,,,3.025,60000,,,
Offshore_NorthWest_Com2035,NorthWest,OffshoreWind,Wind,2,2035,2060,,,30,,,,,2.8875,60000,,,
Offshore_Trakia_Cand2030,Trakia,OffshoreWind,Wind,3,2030,2060,25000,2500,30,,,,,3.025,60000,,,
Offshore_WestAna_Cand2030,WestAna,OffshoreWind,Wind,3,2030,2060,25000,2500,30,,,,,2.75,60000,,,
