zone,tech,season,daytype,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
WestMed,ROR,Q1,d1,0.360894322,0.349913492,0.279395144,0.262548945,0.267530492,0.256683575,0.237453733,0.188254262,0.175157615,0.178666124,0.255585492,0.254433845,0.268548227,0.279395144,0.26943205,0.269378485,0.256335403,0.320666992,0.315149795,0.24808639,0.249987948,0.250871771,0.261825817,0.259977824
WestMed,ROR,Q1,d2,0.455115192,0.45018721,0.452249463,0.44464323,0.449624777,0.454499194,0.445687748,0.443920102,0.44292915,0.449410517,0.432858926,0.450669295,0.448473129,0.446035921,0.46534611,0.458596918,0.469068879,0.470943655,0.46981879,0.461596559,0.460685954,0.4564811,0.418583848,0.341798392
WestMed,ROR,Q1,d3,0.269887353,0.269083877,0.26345955,0.261772252,0.264477286,0.252157331,0.246077701,0.164150003,0.175720048,0.180380205,0.178800036,0.259361826,0.268949965,0.273770817,0.263861288,0.268066142,0.251648463,0.315792575,0.310382508,0.236650258,0.252639416,0.257567398,0.266405626,0.272994124
WestMed,ROR,Q1,d4,0.403826685,0.405406853,0.405701461,0.416548377,0.429778937,0.43706378,0.43663526,0.438884991,0.44965156,0.452570853,0.455757972,0.45626684,0.426243646,0.421154969,0.439608118,0.444482535,0.451231728,0.448151739,0.443277322,0.446812613,0.465801413,0.469792007,0.481763789,0.461516211
WestMed,ROR,Q1,d5,0.305990176,0.306365131,0.223901783,0.1956998,0.207002019,0.205154026,0.203413163,0.266191366,0.292277531,0.296562733,0.295866387,0.288822587,0.287162072,0.201109867,0.273529774,0.291286578,0.226740729,0.21661694,0.220607534,0.208528622,0.286412161,0.285314078,0.284724863,0.285796164
WestMed,ROR,Q1,d6,0.326800186,0.334379637,0.314078494,0.261236602,0.253496457,0.253924977,0.253523239,0.25022899,0.268655357,0.317720916,0.363036922,0.384436148,0.273422644,0.245917006,0.240989025,0.244497533,0.270851523,0.321122294,0.324791498,0.323157765,0.326585926,0.259067219,0.24958621,0.251353856
WestMed,ROR,Q2,d1,0.112432977,0.10702291,0.107638907,0.071536084,0.115405835,0.114013145,0.117360959,0.121780073,0.130886126,0.127699007,0.124163716,0.12697588,0.114147057,0.112459759,0.12164616,0.122503201,0.126574142,0.12089625,0.110263593,0.109647596,0.115914703,0.116691396,0.126440229,0.129734478
WestMed,ROR,Q2,d2,0.151294399,0.145830767,0.146098592,0.136644366,0.149767796,0.157909679,0.156731248,0.158391764,0.157266898,0.166962167,0.150973009,0.149312493,0.142402605,0.145937897,0.132653772,0.136028368,0.142938256,0.135760543,0.133430465,0.146955632,0.165060609,0.167497817,0.172693624,0.152901349
WestMed,ROR,Q2,d3,0.104799961,0.105282047,0.103969704,0.105201699,0.10809421,0.111790197,0.112191934,0.118432259,0.12697588,0.047833563,0.037388384,0.032942487,0.021559921,0.020033317,0.022711568,0.030103541,0.028148418,0.031710492,0.023059741,0.02048862,0.023809651,0.017167589,0.097916856,0.109567248
WestMed,ROR,Q2,d4,0.068456095,0.071964604,0.064197676,0.082356218,0.088623325,0.191896684,0.189593388,0.118512607,0.105255264,0.085704032,0.079222664,0.078151364,0.05996604,0.072098517,0.075258853,0.076142676,0.083373953,0.087685938,0.087578808,0.163453658,0.154026215,0.092908527,0.091649749,0.092506789
WestMed,ROR,Q2,d5,0.048476343,0.053752497,0.043762621,0.033344225,0.03468335,0.03371918,0.031844404,0.031978317,0.034710133,0.043682274,0.050886769,0.049547643,0.030880234,0.030665974,0.02667538,0.028469808,0.033692398,0.037977599,0.025121994,0.026193295,0.035540391,0.12836857,0.139215487,0.062296118
WestMed,ROR,Q2,d6,0.127457965,0.118378694,0.111575936,0.111549154,0.112513324,0.115405835,0.117146699,0.121994333,0.12100338,0.120092775,0.124083369,0.124377976,0.124619019,0.11993208,0.116075398,0.12003921,0.115432618,0.116852091,0.105228482,0.112513324,0.117789479,0.119905297,0.123119198,0.121137293
WestMed,ROR,Q3,d1,0.018908452,0.019819057,0.016015941,0.030023194,0.031523014,0.040896893,0.027719898,0.024800604,0.024211389,0.021533138,0.023407914,0.023381131,0.016819416,0.017140806,0.02027436,0.026755727,0.022336613,0.022711568,0.014837511,0.016551591,0.02635399,0.029755369,0.028443026,0.047753215
WestMed,ROR,Q3,d2,0.018185324,0.032701445,0.029782151,0.031201624,0.02742529,0.024238172,0.022979394,0.019042365,0.022524091,0.034281613,0.036450996,0.021559921,0.013632298,0.013819775,0.021211748,0.035165436,0.037040211,0.036665256,0.022711568,0.015640986,0.018640627,0.017087241,0.016685504,0.021559921
WestMed,ROR,Q3,d3,0.028978676,0.029300066,0.017810369,0.017997847,0.02016723,0.027050335,0.02102427,0.019711927,0.017810369,0.020890358,0.022390178,0.023032959,0.017194371,0.013471603,0.02796094,0.035888563,0.037495514,0.038298989,0.014864293,0.014676815,0.018212107,0.016310549,0.015989158,0.022952611
WestMed,ROR,Q3,d4,0.020676098,0.02027436,0.029916064,0.03382631,0.036317083,0.043468014,0.029326848,0.02721103,0.02806807,0.023863216,0.025684427,0.027398508,0.01920306,0.020515403,0.02806807,0.030907016,0.028871546,0.0271039,0.020033317,0.030424931,0.03232649,0.032888922,0.112272282,0.115432618
WestMed,ROR,Q3,d5,0.02785381,0.025523732,0.017730022,0.017971064,0.020622533,0.02560408,0.022042006,0.02048862,0.017649674,0.021827746,0.023193654,0.021827746,0.013043082,0.013203777,0.020354708,0.028978676,0.03329066,0.033344225,0.025764775,0.017221154,0.023220436,0.017837152,0.016444461,0.023059741
WestMed,ROR,Q3,d6,0.022711568,0.024532779,0.021559921,0.016739069,0.020649315,0.024880952,0.021747398,0.018372802,0.020997488,0.043816186,0.042932363,0.045235659,0.022631221,0.014114383,0.020515403,0.021211748,0.024773822,0.021158183,0.013096647,0.013096647,0.015721333,0.015935593,0.021827746,0.032246142
WestMed,ROR,Q4,d1,0.113370365,0.061921163,0.047967475,0.043146624,0.051475984,0.059591085,0.059724997,0.079276229,0.092372877,0.109085163,0.184611841,0.193101897,0.173095362,0.191628859,0.198940484,0.220795012,0.22162527,0.219375539,0.213028084,0.210296268,0.214420775,0.211742524,0.21458147,0.220071884
WestMed,ROR,Q4,d2,0.026407555,0.029541108,0.029407196,0.025014864,0.020408273,0.022577656,0.016283766,0.027880593,0.036049258,0.042369931,0.047244348,0.036022476,0.031255189,0.023702521,0.024827387,0.020327925,0.020890358,0.021211748,0.01963158,0.018265672,0.026969988,0.034736915,0.035299348,0.041218283
WestMed,ROR,Q4,d3,0.026273642,0.025791557,0.036852734,0.033103182,0.032246142,0.03329066,0.02102427,0.024961299,0.038325772,0.098988157,0.041030805,0.021559921,0.027398508,0.028978676,0.029326848,0.033772745,0.037602644,0.037870469,0.033531702,0.023515044,0.018346019,0.017488979,0.018319237,0.023354349
WestMed,ROR,Q4,d4,0.036852734,0.039664897,0.038995334,0.023381131,0.024104259,0.019979752,0.018479932,0.024666692,0.031817622,0.030157106,0.026407555,0.019256625,0.029032241,0.039825592,0.045449919,0.033638832,0.024211389,0.103621531,0.113477495,0.1084156,0.097943639,0.056752139,0.019578015,0.024613127
WestMed,ROR,Q4,d5,0.027800245,0.028121635,0.026112947,0.021292095,0.022122353,0.022175918,0.018185324,0.022818698,0.050136859,0.044914269,0.039289942,0.030210671,0.02059575,0.041057588,0.037281254,0.022122353,0.027184248,0.030103541,0.028496591,0.024934517,0.022631221,0.027344943,0.03339779,0.042102106
WestMed,ROR,Q4,d6,0.184906449,0.18812035,0.112138369,0.095024345,0.090765926,0.089105411,0.175505788,0.185093926,0.193503634,0.112245499,0.083052563,0.064170894,0.067706185,0.08184735,0.090016016,0.0953993,0.086828897,0.163185833,0.099630937,0.090658796,0.091033751,0.166399734,0.171193804,0.160239757
WestMed,PV,Q1,d1,0,0,0,0,0,0,0,0,0.027,0.104,0.1775,0.2595,0.292,0.3005,0.2825,0.2325,0.1345,0.0395,0,0,0,0,0,0
WestMed,PV,Q1,d2,0,0,0,0,0,0,0,0,0.01,0.067,0.156,0.3025,0.4515,0.493,0.569,0.472,0.2855,0.065,0,0,0,0,0,0
WestMed,PV,Q1,d3,0,0,0,0,0,0,0,0,0.094,0.3195,0.515,0.6235,0.67,0.672,0.571,0.4175,0.2515,0.078,0,0,0,0,0,0
WestMed,PV,Q1,d4,0,0,0,0,0,0,0,0,0.0105,0.0745,0.1185,0.1295,0.215,0.3025,0.2485,0.2185,0.0905,0.0085,0,0,0,0,0,0
WestMed,PV,Q1,d5,0,0,0,0,0,0,0,0,0.126,0.3375,0.588,0.69,0.6675,0.5535,0.419,0.3185,0.21,0.059,0,0,0,0,0,0
WestMed,PV,Q1,d6,0,0,0,0,0,0,0,0.0005,0.077,0.2715,0.537,0.6475,0.699,0.681,0.634,0.514,0.345,0.145,0.0075,0,0,0,0,0
WestMed,PV,Q2,d1,0,0,0,0,0,0,0.032,0.1215,0.278,0.4305,0.553,0.635,0.686,0.6825,0.641,0.558,0.434,0.2795,0.122,0.032,0,0,0,0
WestMed,PV,Q2,d2,0,0,0,0,0,0,0.005,0.0365,0.0885,0.167,0.2755,0.3905,0.491,0.557,0.5795,0.506,0.38,0.2315,0.097,0.014,0,0,0,0
WestMed,PV,Q2,d3,0,0,0,0,0,0,0.0325,0.122,0.2805,0.4295,0.5535,0.6165,0.6875,0.7065,0.655,0.546,0.409,0.2565,0.122,0.0315,0,0,0,0
WestMed,PV,Q2,d4,0,0,0,0,0,0,0.0025,0.0655,0.177,0.3025,0.4145,0.5575,0.6575,0.65,0.6115,0.515,0.3935,0.2375,0.0835,0.0045,0,0,0,0
WestMed,PV,Q2,d5,0,0,0,0,0,0,0.029,0.123,0.2925,0.474,0.593,0.6465,0.61,0.5965,0.5435,0.4445,0.2955,0.1835,0.081,0.017,0,0,0,0
