zone,season,day,hour,2018
Bosnia and Herzegovina,1,1,0,0.5691
Bosnia and Herzegovina,1,1,1,0.5426
Bosnia and Herzegovina,1,1,2,0.5328
Bosnia and Herzegovina,1,1,3,0.5417
Bosnia and Herzegovina,1,1,4,0.5673
Bosnia and Herzegovina,1,1,5,0.6039
Bosnia and Herzegovina,1,1,6,0.6443
Bosnia and Herzegovina,1,1,7,0.6805
Bosnia and Herzegovina,1,1,8,0.7065
Bosnia and Herzegovina,1,1,9,0.7192
Bosnia and Herzegovina,1,1,10,0.7192
Bosnia and Herzegovina,1,1,11,0.7101
Bosnia and Herzegovina,1,1,12,0.6974
Bosnia and Herzegovina,1,1,13,0.6870
Bosnia and Herzegovina,1,1,14,0.6831
Bosnia and Herzegovina,1,1,15,0.6872
Bosnia and Herzegovina,1,1,16,0.6976
Bosnia and Herzegovina,1,1,17,0.7098
Bosnia and Herzegovina,1,1,18,0.7179
Bosnia and Herzegovina,1,1,19,0.7164
Bosnia and Herzegovina,1,1,20,0.7324
Bosnia and Herzegovina,1,1,21,0.7475
Bosnia and Herzegovina,1,1,22,0.6742
Bosnia and Herzegovina,1,1,23,0.5923
Bosnia and Herzegovina,1,2,0,0.5536
Bosnia and Herzegovina,1,2,1,0.5264
Bosnia and Herzegovina,1,2,2,0.5159
Bosnia and Herzegovina,1,2,3,0.5241
Bosnia and Herzegovina,1,2,4,0.5490
Bosnia and Herzegovina,1,2,5,0.5852
Bosnia and Herzegovina,1,2,6,0.6250
Bosnia and Herzegovina,1,2,7,0.6608
Bosnia and Herzegovina,1,2,8,0.6864
Bosnia and Herzegovina,1,2,9,0.6989
Bosnia and Herzegovina,1,2,10,0.6986
Bosnia and Herzegovina,1,2,11,0.6893
Bosnia and Herzegovina,1,2,12,0.6765
Bosnia and Herzegovina,1,2,13,0.6661
Bosnia and Herzegovina,1,2,14,0.6622
Bosnia and Herzegovina,1,2,15,0.6665
Bosnia and Herzegovina,1,2,16,0.6770
Bosnia and Herzegovina,1,2,17,0.6894
Bosnia and Herzegovina,1,2,18,0.6979
Bosnia and Herzegovina,1,2,19,0.6967
Bosnia and Herzegovina,1,2,20,0.7072
Bosnia and Herzegovina,1,2,21,0.7247
Bosnia and Herzegovina,1,2,22,0.6556
Bosnia and Herzegovina,1,2,23,0.5746
Bosnia and Herzegovina,1,3,0,0.5366
Bosnia and Herzegovina,1,3,1,0.5100
Bosnia and Herzegovina,1,3,2,0.5003
Bosnia and Herzegovina,1,3,3,0.4867
Bosnia and Herzegovina,1,3,4,0.5132
Bosnia and Herzegovina,1,3,5,0.5509
Bosnia and Herzegovina,1,3,6,0.5912
Bosnia and Herzegovina,1,3,7,0.6256
Bosnia and Herzegovina,1,3,8,0.6475
Bosnia and Herzegovina,1,3,9,0.6540
Bosnia and Herzegovina,1,3,10,0.6461
Bosnia and Herzegovina,1,3,11,0.6286
Bosnia and Herzegovina,1,3,12,0.6087
Bosnia and Herzegovina,1,3,13,0.5934
Bosnia and Herzegovina,1,3,14,0.5882
Bosnia and Herzegovina,1,3,15,0.5949
Bosnia and Herzegovina,1,3,16,0.6114
Bosnia and Herzegovina,1,3,17,0.6324
Bosnia and Herzegovina,1,3,18,0.6507
Bosnia and Herzegovina,1,3,19,0.6591
Bosnia and Herzegovina,1,3,20,0.6810
Bosnia and Herzegovina,1,3,21,0.7033
Bosnia and Herzegovina,1,3,22,0.6355
Bosnia and Herzegovina,1,3,23,0.5557
Bosnia and Herzegovina,1,4,0,0.5178
Bosnia and Herzegovina,1,4,1,0.4910
Bosnia and Herzegovina,1,4,2,0.4814
Bosnia and Herzegovina,1,4,3,0.4911
Bosnia and Herzegovina,1,4,4,0.5181
Bosnia and Herzegovina,1,4,5,0.5561
Bosnia and Herzegovina,1,4,6,0.5968
Bosnia and Herzegovina,1,4,7,0.6315
Bosnia and Herzegovina,1,4,8,0.6537
Bosnia and Herzegovina,1,4,9,0.6604
Bosnia and Herzegovina,1,4,10,0.6526
Bosnia and Herzegovina,1,4,11,0.6353
Bosnia and Herzegovina,1,4,12,0.6154
Bosnia and Herzegovina,1,4,13,0.6002
Bosnia and Herzegovina,1,4,14,0.5949
Bosnia and Herzegovina,1,4,15,0.6015
Bosnia and Herzegovina,1,4,16,0.6179
Bosnia and Herzegovina,1,4,17,0.6388
Bosnia and Herzegovina,1,4,18,0.6569
Bosnia and Herzegovina,1,4,19,0.6651
Bosnia and Herzegovina,1,4,20,0.6871
Bosnia and Herzegovina,1,4,21,0.7090
Bosnia and Herzegovina,1,4,22,0.6407
Bosnia and Herzegovina,1,4,23,0.5605
Bosnia and Herzegovina,1,5,0,0.5223
Bosnia and Herzegovina,1,5,1,0.4951
Bosnia and Herzegovina,1,5,2,0.4852
Bosnia and Herzegovina,1,5,3,0.4946
Bosnia and Herzegovina,1,5,4,0.5429
Bosnia and Herzegovina,1,5,5,0.5799
Bosnia and Herzegovina,1,5,6,0.6205
Bosnia and Herzegovina,1,5,7,0.6572
Bosnia and Herzegovina,1,5,8,0.6836
Bosnia and Herzegovina,1,5,9,0.6968
Bosnia and Herzegovina,1,5,10,0.6973
Bosnia and Herzegovina,1,5,11,0.6887
Bosnia and Herzegovina,1,5,12,0.6767
Bosnia and Herzegovina,1,5,13,0.6670
Bosnia and Herzegovina,1,5,14,0.6638
Bosnia and Herzegovina,1,5,15,0.6686
Bosnia and Herzegovina,1,5,16,0.6798
Bosnia and Herzegovina,1,5,17,0.6928
Bosnia and Herzegovina,1,5,18,0.7018
Bosnia and Herzegovina,1,5,19,0.7012
Bosnia and Herzegovina,1,5,20,0.7096
Bosnia and Herzegovina,1,5,21,0.7283
Bosnia and Herzegovina,1,5,22,0.6615
Bosnia and Herzegovina,1,5,23,0.5812
Bosnia and Herzegovina,1,6,0,0.5436
Bosnia and Herzegovina,1,6,1,0.5175
Bosnia and Herzegovina,1,6,2,0.5081
Bosnia and Herzegovina,1,6,3,0.5175
Bosnia and Herzegovina,1,6,4,0.5436
Bosnia and Herzegovina,1,6,5,0.5810
Bosnia and Herzegovina,1,6,6,0.6220
Bosnia and Herzegovina,1,6,7,0.6590
Bosnia and Herzegovina,1,6,8,0.6859
Bosnia and Herzegovina,1,6,9,0.6996
Bosnia and Herzegovina,1,6,10,0.7006
Bosnia and Herzegovina,1,6,11,0.6925
Bosnia and Herzegovina,1,6,12,0.6810
Bosnia and Herzegovina,1,6,13,0.6718
Bosnia and Herzegovina,1,6,14,0.6692
Bosnia and Herzegovina,1,6,15,0.6746
Bosnia and Herzegovina,1,6,16,0.6864
Bosnia and Herzegovina,1,6,17,0.7000
Bosnia and Herzegovina,1,6,18,0.7095
Bosnia and Herzegovina,1,6,19,0.7095
Bosnia and Herzegovina,1,6,20,0.7201
Bosnia and Herzegovina,1,6,21,0.7390
Bosnia and Herzegovina,1,6,22,0.6715
Bosnia and Herzegovina,1,6,23,0.5916
Bosnia and Herzegovina,1,7,0,0.5545
Bosnia and Herzegovina,1,7,1,0.5288
Bosnia and Herzegovina,1,7,2,0.5199
Bosnia and Herzegovina,1,7,3,0.5297
Bosnia and Herzegovina,1,7,4,0.5561
Bosnia and Herzegovina,1,7,5,0.5938
Bosnia and Herzegovina,1,7,6,0.6351
