season,day,hour,Load_Bosnia and Herzegovina,Load_Croatia,PV_Bosnia and Herzegovina,PV_Croatia,Wind_Bosnia and Herzegovina,Wind_Croatia
1,1,0,0.5691,0.6019,0.0,0.0,0.065,0.39
1,1,1,0.5426,0.5732,0.0,0.0,0.06,0.454
1,1,2,0.5328,0.5627,0.0,0.0,0.054,0.426
1,1,3,0.5417,0.5724,0.0,0.0,0.067,0.457
1,1,4,0.5673,0.6001,0.023,0.02,0.09,0.542
1,1,5,0.6039,0.6399,0.15,0.109,0.096,0.613
1,1,6,0.6443,0.6836,0.344,0.253,0.227,0.746
1,1,7,0.6805,0.7229,0.493,0.376,0.492,0.865
1,1,8,0.7065,0.7511,0.587,0.444,0.648,0.899
1,1,9,0.7192,0.765,0.683,0.528,0.713,0.897
1,1,10,0.7192,0.7649,0.731,0.624,0.712,0.88
1,1,11,0.7101,0.755,0.704,0.656,0.684,0.886
1,1,12,0.6974,0.7413,0.509,0.516,0.656,0.912
1,1,13,0.687,0.7301,0.264,0.294,0.658,0.918
1,1,14,0.6831,0.7259,0.174,0.15,0.674,0.875
1,1,15,0.6872,0.7304,0.155,0.096,0.646,0.813
1,1,16,0.6976,0.7416,0.08,0.053,0.537,0.789
1,1,17,0.7098,0.7549,0.002,0.001,0.45,0.844
1,1,18,0.7179,0.7637,0.0,0.0,0.438,0.881
1,1,19,0.7164,0.762,0.0,0.0,0.435,0.882
1,1,20,0.7324,0.7653,0.0,0.0,0.484,0.851
1,1,21,0.7475,0.7548,0.0,0.0,0.574,0.822
1,1,22,0.6742,0.6935,0.0,0.0,0.616,0.862
1,1,23,0.5923,0.6276,0.0,0.0,0.65,0.88
1,2,0,0.5536,0.5857,0.0,0.0,0.678,0.863
1,2,1,0.5264,0.5561,0.0,0.0,0.685,0.833
1,2,2,0.5159,0.5448,0.0,0.0,0.663,0.801
1,2,3,0.5241,0.5537,0.0,0.0,0.644,0.757
1,2,4,0.549,0.5807,0.007,0.0,0.567,0.672
1,2,5,0.5852,0.6199,0.051,0.023,0.497,0.579
1,2,6,0.625,0.6631,0.16,0.064,0.515,0.553
1,2,7,0.6608,0.702,0.155,0.143,0.506,0.564
1,2,8,0.6864,0.7298,0.193,0.356,0.432,0.53
1,2,9,0.6989,0.7433,0.233,0.649,0.341,0.432
1,2,10,0.6986,0.743,0.252,0.622,0.284,0.345
1,2,11,0.6893,0.7329,0.255,0.578,0.225,0.327
1,2,12,0.6765,0.7191,0.319,0.58,0.181,0.324
1,2,13,0.6661,0.7078,0.363,0.512,0.17,0.289
1,2,14,0.6622,0.7037,0.294,0.377,0.159,0.237
1,2,15,0.6665,0.7083,0.188,0.244,0.124,0.189
1,2,16,0.677,0.7197,0.065,0.091,0.105,0.152
1,2,17,0.6894,0.7332,0.0,0.007,0.099,0.172
1,2,18,0.6979,0.7424,0.0,0.0,0.075,0.192
1,2,19,0.6967,0.7411,0.0,0.0,0.045,0.206
