season,day,weight,rule,daytype
Q1,143,3.0,min_PV,d1
Q1,122,12.0,min_Wind,d2
Q1,104,8.0,max_Load,d3
Q1,14,130.0,representative,d4
Q2,134,2.0,min_PV,d1
Q2,183,20.0,min_Wind,d2
Q2,36,8.0,max_Load,d3
Q2,133,182.0,representative,d4
