y,value
2022,0
2023,0
2024,156.41999999999999
2025,167.33806399779232
2026,162.33331961634516
2027,161.52685109634706
2028,160.72038257634898
2029,151.47191147151983
2030,142.22344036669065
2031,138.96311823861896
2032,135.7027961105473
2033,133.21624693043589
2034,130.72969775032448
2035,127.6417821018218
2036,124.55386645331913
2037,120.65842896597543
2038,116.76299147863173
2039,113.7784357971249
2040,110.79388011561808
2041,105.76193772757946
2042,100.72999533954084
2043,95.585219258671231
2044,90.440443177801612
2045,85.211041827307611
2046,77.804563059998529
2047,70.767886288151274
2048,63.731209516304013
2049,57.187602071739185
2050,50.643994627174358
2051,45.784624469825289
2052,40.925254312476227
2053,35.96336950244352
2054,31.001484692410809
2055,25.962713892864315
2056,21.042704538774498
2057,15.918295116322394
2058,10.793885693870292
2059,5.3969428469351461
2060,0
