year,value
2025,116
2026,118
2027,122
2028,125
2029,128
2030,130
2031,133
2032,137
2033,139
2034,142
2035,146
2036,148
2037,152
2038,156
2039,159
2040,163
2041,167
2042,171
2043,174
2044,178
2045,182
2046,186
2047,190
2048,194
2049,199
2050,203
