zext,q,d,year,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Bulgaria,Q1,d1,2024,54.976,84.980,63.765,129.198,139.234,157.638,181.007,176.163,149.232,141.567,145.128,144.978,143.657,150.123,158.884,175.854,206.101,227.972,212.417,182.244,174.167,141.567,141.567,141.155
Bulgaria,Q1,d1,2025,54.138,83.701,62.798,127.271,137.160,155.293,178.320,173.547,147.011,139.459,142.967,142.820,141.518,147.888,156.521,173.242,203.046,224.595,209.269,179.539,171.580,139.459,139.459,139.053
Bulgaria,Q1,d1,2026,53.302,82.427,61.834,125.351,135.092,152.957,175.642,170.939,144.798,137.357,140.814,140.668,139.386,145.662,154.167,170.639,200.001,221.231,206.131,176.843,169.002,137.357,137.357,136.957
Bulgaria,Q1,d1,2027,52.469,81.156,60.873,123.435,133.030,150.626,172.971,168.339,142.590,135.261,138.666,138.523,137.259,143.441,151.818,168.043,196.964,217.875,203.002,174.154,166.431,135.261,135.261,134.867
Bulgaria,Q1,d1,2028,51.638,79.890,59.914,121.526,130.976,148.304,170.309,165.747,140.390,133.173,136.525,136.384,135.140,141.228,149.477,165.456,193.937,214.530,199.884,171.473,163.868,133.173,133.173,132.784
Bulgaria,Q1,d1,2029,50.811,78.628,58.959,119.623,128.928,145.989,167.656,163.164,138.197,131.091,134.392,134.253,133.028,139.022,147.145,162.878,190.921,211.197,196.776,168.803,161.314,131.091,131.091,130.708
Bulgaria,Q1,d1,2030,49.986,77.371,58.008,117.728,126.888,143.684,165.013,160.592,136.013,129.017,132.267,132.130,130.924,136.826,144.822,160.310,187.916,207.877,193.680,166.142,158.770,129.017,129.017,128.641
Bulgaria,Q1,d1,2031,51.616,79.856,59.889,121.474,130.920,148.241,170.237,165.677,140.330,133.116,136.467,136.326,135.083,141.168,149.414,165.386,193.855,214.440,199.799,171.401,163.799,133.116,133.116,132.728
Bulgaria,Q1,d1,2032,53.340,82.484,61.877,125.437,135.185,153.062,175.762,171.057,144.897,137.452,140.911,140.765,139.482,145.762,154.273,170.756,200.138,221.382,206.273,176.964,169.118,137.452,137.452,137.051
Bulgaria,Q1,d1,2033,55.167,85.272,63.986,129.638,139.708,158.173,181.621,176.760,149.739,142.049,145.621,145.471,144.145,150.633,159.423,176.450,206.799,228.742,213.135,182.862,174.757,142.049,142.049,141.635
Bulgaria,Q1,d1,2034,57.107,88.231,66.225,134.099,144.509,163.599,187.841,182.815,154.880,146.929,150.623,150.467,149.097,155.804,164.892,182.495,213.871,236.557,220.422,189.124,180.745,146.929,146.929,146.502
Bulgaria,Q1,d1,2035,59.171,91.378,68.606,138.843,149.616,169.370,194.456,189.256,160.348,152.120,155.943,155.782,154.363,161.304,170.708,188.924,221.393,244.869,228.172,195.784,187.113,152.120,152.120,151.678
Bulgaria,Q1,d1,2036,61.892,95.527,71.745,145.098,156.349,176.980,203.178,197.747,167.557,158.964,162.956,162.788,161.307,168.555,178.377,197.400,231.309,255.827,238.389,204.565,195.510,158.964,158.964,158.502
Bulgaria,Q1,d1,2037,64.847,100.035,75.155,151.892,163.662,185.244,212.651,206.970,175.387,166.398,170.574,170.398,168.849,176.431,186.706,206.607,242.081,267.729,249.487,214.102,204.629,166.398,166.398,165.915
Bulgaria,Q1,d1,2038,68.070,104.949,78.873,159.300,171.636,194.256,222.981,217.027,183.925,174.504,178.881,178.696,177.072,185.019,195.788,216.647,253.826,280.708,261.588,224.502,214.573,174.504,174.504,173.997
Bulgaria,Q1,d1,2039,71.596,110.326,82.941,167.406,180.361,204.117,234.284,228.031,193.267,183.373,187.970,187.776,186.070,194.417,205.726,227.632,266.677,294.909,274.829,235.881,225.454,183.373,183.373,182.841
Bulgaria,Q1,d1,2040,75.472,116.238,87.414,176.317,189.953,214.957,246.710,240.127,203.537,193.123,197.961,197.757,195.962,204.747,216.651,239.707,280.805,310.519,289.385,248.390,237.416,193.123,193.123,192.563
Bulgaria,Q1,d1,2041,76.303,117.505,88.372,178.228,192.009,217.281,249.373,242.721,205.739,195.213,200.103,199.897,198.083,206.962,218.993,242.296,283.833,313.866,292.506,251.072,239.980,195.213,195.213,194.647
Bulgaria,Q1,d1,2042,77.151,118.800,89.352,180.179,194.110,219.655,252.095,245.370,207.988,197.349,202.291,202.083,200.249,209.224,221.385,244.941,286.928,317.286,295.694,253.812,242.600,197.349,197.349,196.776
Bulgaria,Q1,d1,2043,78.018,120.122,90.352,182.172,196.255,222.080,254.874,248.076,210.285,199.529,204.526,204.315,202.461,211.534,223.829,247.642,290.087,320.777,298.950,256.609,245.275,199.529,199.529,198.951
Bulgaria,Q1,d1,2044,78.905,121.474,91.375,184.210,198.449,224.559,257.716,250.842,212.634,201.759,206.811,206.598,204.724,213.897,226.327,250.404,293.318,324.348,302.279,259.471,248.011,201.759,201.759,201.174
Bulgaria,Q1,d1,2045,79.811,122.856,92.421,186.294,200.691,227.094,260.620,253.670,215.035,204.039,209.147,208.932,207.036,216.312,228.881,253.227,296.621,327.997,305.682,262.395,250.807,204.039,204.039,203.447
Bulgaria,Q1,d1,2046,80.738,124.270,93.490,188.425,202.985,229.686,263.592,256.563,217.491,206.370,211.536,211.319,209.402,218.783,231.494,256.115,300.000,331.731,309.163,265.387,253.667,206.370,206.370,205.772
Bulgaria,Q1,d1,2047,81.686,125.716,94.584,190.605,205.332,232.338,266.632,259.523,220.004,208.756,213.981,213.761,211.822,221.310,234.167,259.069,303.456,335.550,312.724,268.447,256.594,208.756,208.756,208.150
Bulgaria,Q1,d1,2048,82.656,127.194,95.703,192.834,207.731,235.049,269.740,262.549,222.572,211.194,216.480,216.257,214.296,223.894,236.899,262.090,306.990,339.455,316.365,271.576,259.586,211.194,211.194,210.582
Bulgaria,Q1,d1,2049,83.649,128.709,96.849,195.117,210.189,237.827,272.923,265.648,225.204,213.693,219.040,218.815,216.831,226.541,239.698,265.184,310.610,343.455,320.094,274.781,262.651,213.693,213.693,213.073
Bulgaria,Q1,d1,2050,84.665,130.259,98.021,197.453,212.703,240.669,276.181,268.819,227.896,216.249,221.660,221.432,219.424,229.249,242.562,268.349,314.313,347.547,323.910,278.060,265.786,216.249,216.249,215.622
Bulgaria,Q1,d1,2051,84.665,130.259,98.021,197.453,212.703,240.669,276.181,268.819,227.896,216.249,221.660,221.432,219.424,229.249,242.562,268.349,314.313,347.547,323.910,278.060,265.786,216.249,216.249,215.622
Bulgaria,Q1,d1,2052,84.665,130.259,98.021,197.453,212.703,240.669,276.181,268.819,227.896,216.249,221.660,221.432,219.424,229.249,242.562,268.349,314.313,347.547,323.910,278.060,265.786,216.249,216.249,215.622
Bulgaria,Q1,d1,2053,84.665,130.259,98.021,197.453,212.703,240.669,276.181,268.819,227.896,216.249,221.660,221.432,219.424,229.249,242.562,268.349,314.313,347.547,323.910,278.060,265.786,216.249,216.249,215.622
Bulgaria,Q1,d2,2024,77.727,70.896,67.570,82.056,104.948,174.026,170.756,161.695,166.586,170.091,160.411,156.579,159.006,200.638,280.774,337.334,306.570,294.876,237.042,237.530,175.929,166.493,127.053,128.861
Bulgaria,Q1,d2,2025,76.555,69.824,66.546,80.821,103.377,171.442,168.219,159.291,164.111,167.564,158.026,154.250,156.641,197.663,276.623,332.353,302.041,290.519,233.533,234.013,173.316,164.018,125.157,126.939
Bulgaria,Q1,d2,2026,75.387,68.756,65.527,79.589,101.811,168.865,165.691,156.895,161.643,165.045,155.649,151.929,154.285,194.698,272.486,327.389,297.527,286.175,230.035,230.508,170.712,161.552,123.268,125.023
Bulgaria,Q1,d2,2027,74.222,67.691,64.510,78.361,100.249,166.296,163.169,154.506,159.183,162.533,153.278,149.614,151.935,191.741,268.360,322.438,293.025,281.844,226.547,227.013,168.115,159.093,121.383,123.113
Bulgaria,Q1,d2,2028,73.061,66.629,63.496,77.137,98.692,163.736,160.656,152.124,156.730,160.030,150.916,147.307,149.592,188.793,264.248,317.504,288.538,277.527,223.071,223.530,165.527,156.642,119.505,121.208
Bulgaria,Q1,d2,2029,71.904,65.571,62.486,75.917,97.140,161.184,158.152,149.751,154.286,157.535,148.561,145.008,147.258,185.856,260.150,312.587,284.066,273.225,219.606,220.058,162.947,154.199,117.634,119.311
Bulgaria,Q1,d2,2030,70.751,64.517,61.481,74.702,95.595,158.642,155.657,147.387,151.852,155.050,146.216,142.718,144.933,182.930,256.069,307.690,279.613,268.940,216.156,216.600,160.378,151.766,115.770,117.421
Bulgaria,Q1,d2,2031,73.029,66.600,63.469,77.104,98.650,163.666,160.588,152.060,156.664,159.962,150.852,147.245,149.529,188.714,264.137,317.371,288.417,277.410,222.977,223.435,165.457,156.576,119.455,121.157
Bulgaria,Q1,d2,2032,75.439,68.804,65.573,79.645,101.881,168.981,165.805,157.003,161.754,165.159,155.756,152.033,154.391,194.831,272.672,327.612,297.730,286.371,230.193,230.666,170.829,161.663,123.353,125.109
Bulgaria,Q1,d2,2033,77.995,71.141,67.803,82.338,105.307,174.616,171.335,162.244,167.151,170.668,160.956,157.110,159.545,201.317,281.721,338.470,307.604,295.871,237.843,238.332,176.525,167.057,127.485,129.300
Bulgaria,Q1,d2,2034,80.707,73.622,70.171,85.198,108.944,180.599,177.207,167.808,172.881,176.517,166.476,162.501,165.018,208.204,291.329,349.998,318.088,305.957,245.966,246.471,182.572,172.784,131.873,133.749
Bulgaria,Q1,d2,2035,83.593,76.260,72.689,88.240,112.812,186.963,183.452,173.726,178.976,182.738,172.348,168.234,170.839,215.528,301.548,362.260,329.238,316.685,254.605,255.128,189.004,178.876,136.540,138.481
Bulgaria,Q1,d2,2036,87.397,79.739,76.010,92.250,117.913,195.352,191.686,181.528,187.011,190.940,180.089,175.793,178.513,225.185,315.020,378.425,343.939,330.829,265.995,266.541,197.484,186.906,142.693,144.720
Bulgaria,Q1,d2,2037,91.529,83.518,79.617,96.606,123.452,204.465,200.629,190.003,195.739,199.849,188.497,184.003,186.849,235.674,329.653,395.984,359.906,346.192,278.367,278.938,206.695,195.629,149.376,151.497
Bulgaria,Q1,d2,2038,96.034,87.638,83.549,101.356,129.493,214.401,210.381,199.244,205.256,209.563,197.666,192.955,195.938,247.111,345.609,415.130,377.317,362.943,291.857,292.456,216.739,205.141,156.663,158.886
Bulgaria,Q1,d2,2039,100.964,92.146,87.852,106.552,136.102,225.273,221.051,209.355,215.669,220.193,207.698,202.750,205.883,259.625,363.068,436.079,396.368,381.273,306.617,307.246,227.728,215.548,164.637,166.971
Bulgaria,Q1,d2,2040,106.383,97.102,92.583,112.266,143.368,237.225,232.781,220.470,227.116,231.877,218.726,213.519,216.816,273.382,382.261,459.108,417.311,401.422,322.844,323.506,239.809,226.989,173.402,175.859
Bulgaria,Q1,d2,2041,107.545,98.165,93.597,113.490,144.926,239.787,235.296,222.853,229.570,234.382,221.090,215.827,219.160,276.331,386.376,464.046,421.801,405.742,326.322,326.991,242.399,229.441,175.281,177.764
Bulgaria,Q1,d2,2042,108.732,99.250,94.633,114.742,146.518,242.405,237.865,225.287,232.077,236.942,223.506,218.186,221.554,279.344,390.580,469.090,426.388,410.155,329.876,330.553,245.045,231.947,177.201,179.711
Bulgaria,Q1,d2,2043,109.944,100.359,95.691,116.019,148.143,245.078,240.489,227.773,234.637,239.555,225.972,220.594,224.000,282.421,394.872,474.240,431.072,414.662,333.505,334.189,247.747,234.506,179.161,181.699
Bulgaria,Q1,d2,2044,111.184,101.492,96.773,117.326,149.804,247.811,243.172,230.316,237.255,242.228,228.494,223.057,226.500,285.568,399.262,479.508,435.862,419.270,337.217,337.908,250.510,237.123,181.166,183.732
Bulgaria,Q1,d2,2045,112.451,102.651,97.879,118.662,151.503,250.606,245.914,232.914,239.932,244.959,231.073,225.574,229.056,288.784,403.749,484.892,440.758,423.981,341.010,341.709,253.334,239.797,183.215,185.810
Bulgaria,Q1,d2,2046,113.747,103.836,99.010,120.028,153.241,253.464,248.719,235.572,242.669,247.754,233.710,228.150,231.671,292.074,408.339,490.399,445.766,428.800,344.891,345.598,256.223,242.533,185.311,187.935
Bulgaria,Q1,d2,2047,115.073,105.049,100.167,121.426,155.018,256.388,251.589,238.292,245.470,250.612,236.408,230.784,234.345,295.439,413.034,496.033,450.890,433.729,348.860,349.575,259.179,245.332,187.456,190.110
Bulgaria,Q1,d2,2048,116.428,106.288,101.350,122.855,156.836,259.377,254.523,241.072,248.333,253.535,239.167,233.478,237.080,298.880,417.835,501.794,456.128,438.769,352.919,353.642,262.201,248.194,189.649,192.333
