From,To,EarliestEntry,MaximumNumOfLines,CapacityPerLine,CostPerLine,Life,Status
Angola,Namibia,2027,1,300,356,30,2
Angola,DRC_South,2031,1,300,154,30,2
Botswana ,Zimbabwe,2028,1,600,44,30,2
DRC_South,Zambia,2027,1,500,104,30,2
Malawi,Tanzania,2030,1,600,,30,2
Malawi,Zambia,2028,1,600,64,30,2
Mozambique,Tanzania,2032,1,300,200,30,2
Mozambique,Zambia,2031,1,300,411,30,2
Mozambique,Zimbabwe,2031,1,600,132,30,2
Namibia,South_Africa,2027,1,500,,30,2
Namibia,Zambia,2030,1,600,75,30,2
South_Africa,Zimbabwe,2030,1,600,143,30,2
Zambia,Zimbabwe,2028,1,500,32,30,2
Malawi,Mozambique,2026,1,200,120,30,2
Tanzania,Zambia,2026,1,400,315,30,2
