zone,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Angola,Peak,2598,2698,2748,2920,2967,3014,3064,3114,3165,3217,3270,3323,3376,3429,3482,3536,3590
Burundi,Peak,102,102,119.2,136.4,153.6,170.8,188,205.6,223.2,240.8,258.4,276,292.6,309.2,325.8,342.4,359
Cameroon,Peak,1523,1609,1702,1802,1910,2025,2145,2277,2419,2571,2733,2904,3089,3288,3501,3727,3965
CAR,Peak,77.8,80,83.8,87.6,91.4,95.2,99,107.6,116.2,124.8,135.4,146,150.2,154.4,158.6,162.8,167
Chad,Peak,70,74,77,81,84,87,91,94,97,101,104,108,111,115,119,122,126
Congo,Peak,514,536,559,583,607,632,657,684,711,739,767,797,827,858,890,923,957
EquatorialGuinea,Peak,134,142,150,158,166,174,182,191,199,208,217,226,235,244,253,262,272
Gabon,Peak,573,595,618,640,663,686,710,733,757,781,805,830,855,880,906,932,958
Rwanda,Peak,237,257,279,303,329,357,388,423,463,508,559,615,682,759,848,950,1065
STP,Peak,29,31,33,35,36,37,39,40,42,43,44,46,47,49,50,51,53
Angola,Energy,16766,16971,17194,17435,17695,17975,18275,18598,18945,19318,19720,20153,20620,21124,21670,22262,22823
Burundi,Energy,554,554,657.2,760.4,863.6,966.8,1070,1184.6,1299.2,1413.8,1528.4,1643,1761.8,1880.6,1999.4,2118.2,2237
Cameroon,Energy,8063,8434,8843,9281,9743,10222,10714,11250,11821,12420,13041,13678,14361,15080,15829,16601,17390
CAR,Energy,231,243,259,275,291,312,334,370,406,442,478,512,540,568,596,634,673
Chad,Energy,308,323,338,352,367,382,396,411,426,441,456,472,488,503,520,536,553
Congo,Energy,2897,2998,3099,3200,3301,3403,3506,3611,3716,3824,3932,4043,4155,4269,4385,4502,4622
EquatorialGuinea,Energy,697,707,727,750,776,802,829,868,913,961,1011,1061,1126,1198,1273,1350,1429
Gabon,Energy,3676,3789,3901,4012,4121,4230,4338,4446,4553,4661,4768,4875,4983,5091,5200,5309,5419
Rwanda,Energy,1363,1481,1609,1749,1901,2065,2243,2446,2676,2935,3225,3548,3925,4360,4858,5426,6071
STP,Energy,131,139,147,156,164,172,180,188,196,204,212,220,228,235,243,251,259
DRC,Peak,984,1023,1062,1104,1148,1193,1241,1290,1342,1396,1452,1511,1572,1636,1703,1772,1845
DRC_South,Peak,2005,2042,2080,2119,2159,2200,2243,2287,2332,2378,2426,2475,2525,2577,2631,2687,2744
DRC,Energy,5953,6185,6426,6677,6940,7216,7503,7802,8115,8441,8781,9136,9507,9894,10298,10720,11159
DRC_South,Energy,12144,12367,12597,12833,13076,13326,13583,13847,14120,14400,14689,14987,15293,15609,15935,16270,16616
DRC_East,Peak,103,108,114,119,125,130,135,141,147,152,158,163,169,175,180,186,192
DRC_East,Energy,633,664,698,731,764,797,831,864,899,933,968,1002,1037,1072,1107,1141,1176
