zone,season,daytype,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
EquatorialGuinea,Q2,d2,0.94,0.885,0.85,0.815,0.78,0.77,0.76,0.7,0.73,0.8,0.83,0.86,0.88,0.88,0.88,0.89,0.87,0.835,0.8,0.95,0.99,1.0,1.0,0.98
Gabon,Q2,d2,0.9141,0.8606,0.8266,0.7925,0.7585,0.7488,0.739,0.7002,0.7099,0.7877,0.8071,0.8363,0.8557,0.8557,0.8557,0.8655,0.846,0.8168,0.7877,0.9238,0.9627,0.9724,0.9724,0.953
Rwanda,Q2,d2,0.6479,0.6339,0.6246,0.62,0.6274,0.6283,0.6414,0.685,0.7315,0.7594,0.765,0.765,0.7408,0.7464,0.7548,0.764,0.7566,0.8105,0.9295,0.9183,0.8784,0.791,0.7222,0.6767
Angola,Q2,d3,0.8112,0.7805,0.7696,0.7479,0.7409,0.733,0.729,0.7835,0.8063,0.8172,0.8251,0.836,0.7954,0.7944,0.7954,0.8053,0.8281,0.8449,0.9588,0.9905,0.9677,0.946,0.8954,0.839
Burundi,Q2,d3,0.5784,0.5467,0.5467,0.5486,0.5573,0.6149,0.6399,0.735,0.7763,0.7975,0.8215,0.8224,0.8032,0.8119,0.8167,0.8071,0.7994,0.8522,0.9608,0.9502,0.9233,0.858,0.7619,0.6591
CAR,Q2,d3,0.7788,0.7665,0.7647,0.7543,0.759,0.7816,0.8184,0.8684,0.8439,0.8335,0.8439,0.8439,0.8184,0.8043,0.7892,0.8043,0.8439,0.9183,0.9429,0.9183,0.8439,0.8184,0.7845,0.7939
Cameroon,Q2,d3,0.7049,0.6792,0.6584,0.6466,0.6555,0.6782,0.6742,0.694,0.7039,0.7454,0.7701,0.786,0.7889,0.7869,0.8038,0.8047,0.872,0.9323,0.959,0.9886,0.954,0.8908,0.8166,0.7425
Chad,Q2,d3,0.5772,0.5561,0.5391,0.5294,0.5367,0.5553,0.5521,0.5683,0.5764,0.6104,0.6306,0.6436,0.646,0.6444,0.6581,0.659,0.714,0.7634,0.7852,0.8095,0.7812,0.7294,0.6687,0.608
Congo,Q2,d3,0.827,0.779,0.752,0.747,0.741,0.741,0.747,0.733,0.747,0.795,0.8,0.797,0.789,0.803,0.827,0.821,0.816,0.813,0.835,1.0,0.992,0.96,0.973,0.928
DRC,Q2,d3,0.867,0.8511,0.8416,0.8332,0.8321,0.8406,0.8416,0.8469,0.8554,0.8734,0.8818,0.8871,0.8861,0.884,0.884,0.8882,0.8914,0.902,0.9189,0.9634,0.9549,0.9284,0.9083,0.8935
EquatorialGuinea,Q2,d3,0.9305,0.8761,0.8414,0.8068,0.7721,0.7622,0.7524,0.693,0.7227,0.7919,0.8216,0.8513,0.8711,0.8711,0.8711,0.881,0.8612,0.8266,0.7919,0.9404,0.98,0.9899,0.9899,0.9701
Gabon,Q2,d3,0.8858,0.834,0.801,0.768,0.735,0.7256,0.7162,0.6785,0.6879,0.7633,0.7822,0.8104,0.8293,0.8293,0.8293,0.8387,0.8198,0.7916,0.7633,0.8952,0.9329,0.9424,0.9424,0.9235
Rwanda,Q2,d3,0.6854,0.6707,0.6608,0.6559,0.6638,0.6648,0.6785,0.7248,0.7739,0.8034,0.8093,0.8093,0.7838,0.7897,0.7985,0.8083,0.8005,0.8575,0.9834,0.9716,0.9293,0.8369,0.7641,0.7159
Angola,Q2,d4,0.819,0.788,0.777,0.755,0.748,0.74,0.736,0.791,0.814,0.825,0.833,0.844,0.803,0.802,0.803,0.813,0.836,0.853,0.968,1.0,0.977,0.955,0.904,0.847
Burundi,Q2,d4,0.5509,0.5207,0.5207,0.5225,0.5308,0.5857,0.6095,0.7001,0.7394,0.7595,0.7824,0.7833,0.765,0.7733,0.7778,0.7687,0.7614,0.8117,0.9151,0.905,0.8794,0.8172,0.7257,0.6278
CAR,Q2,d4,0.826,0.813,0.811,0.8,0.805,0.829,0.868,0.921,0.895,0.884,0.895,0.895,0.868,0.853,0.837,0.853,0.895,0.974,1.0,0.974,0.895,0.868,0.832,0.842
Cameroon,Q2,d4,0.713,0.687,0.666,0.654,0.663,0.686,0.682,0.702,0.712,0.754,0.779,0.795,0.798,0.796,0.813,0.814,0.882,0.943,0.97,1.0,0.965,0.901,0.826,0.751
Chad,Q2,d4,0.6196,0.597,0.5788,0.5684,0.5762,0.5962,0.5927,0.6101,0.6188,0.6553,0.677,0.6909,0.6935,0.6918,0.7065,0.7074,0.7665,0.8195,0.843,0.869,0.8386,0.783,0.7178,0.6527
Congo,Q2,d4,0.7079,0.6668,0.6437,0.6394,0.6342,0.6342,0.6394,0.6274,0.6394,0.6805,0.6847,0.6822,0.6753,0.6873,0.7079,0.7027,0.6984,0.6959,0.7147,0.8559,0.8491,0.8217,0.8328,0.7943
DRC,Q2,d4,0.8933,0.8769,0.8671,0.8584,0.8573,0.866,0.8671,0.8726,0.8813,0.8998,0.9086,0.914,0.9129,0.9107,0.9107,0.9151,0.9184,0.9293,0.9467,0.9925,0.9838,0.9565,0.9358,0.9206
EquatorialGuinea,Q2,d4,0.94,0.885,0.85,0.815,0.78,0.77,0.76,0.7,0.73,0.8,0.83,0.86,0.88,0.88,0.88,0.89,0.87,0.835,0.8,0.95,0.99,1.0,1.0,0.98
Gabon,Q2,d4,0.9141,0.8606,0.8266,0.7925,0.7585,0.7488,0.739,0.7002,0.7099,0.7877,0.8071,0.8363,0.8557,0.8557,0.8557,0.8655,0.846,0.8168,0.7877,0.9238,0.9627,0.9724,0.9724,0.953
Rwanda,Q2,d4,0.6479,0.6339,0.6246,0.62,0.6274,0.6283,0.6414,0.685,0.7315,0.7594,0.765,0.765,0.7408,0.7464,0.7548,0.764,0.7566,0.8105,0.9295,0.9183,0.8784,0.791,0.7222,0.6767
Angola,Q2,d5,0.7807,0.7512,0.7407,0.7197,0.713,0.7054,0.7016,0.754,0.7759,0.7864,0.7941,0.8045,0.7655,0.7645,0.7655,0.775,0.7969,0.8131,0.9228,0.9533,0.9313,0.9104,0.8617,0.8074
Burundi,Q2,d5,0.5908,0.5584,0.5584,0.5604,0.5692,0.6281,0.6536,0.7508,0.793,0.8146,0.8391,0.8401,0.8205,0.8293,0.8342,0.8244,0.8166,0.8705,0.9815,0.9707,0.9432,0.8764,0.7783,0.6733
CAR,Q2,d5,0.7552,0.7433,0.7415,0.7314,0.736,0.7579,0.7936,0.8421,0.8183,0.8082,0.8183,0.8183,0.7936,0.7799,0.7653,0.7799,0.8183,0.8905,0.9143,0.8905,0.8183,0.7936,0.7607,0.7698
Cameroon,Q2,d5,0.672,0.6475,0.6277,0.6164,0.6249,0.6466,0.6428,0.6617,0.6711,0.7107,0.7342,0.7493,0.7522,0.7503,0.7663,0.7672,0.8313,0.8888,0.9143,0.9425,0.9096,0.8492,0.7785,0.7079
Chad,Q2,d5,0.6281,0.6052,0.5867,0.5761,0.5841,0.6043,0.6008,0.6184,0.6272,0.6642,0.6863,0.7004,0.703,0.7012,0.7162,0.7171,0.777,0.8307,0.8545,0.881,0.8501,0.7937,0.7277,0.6616
Congo,Q2,d5,0.7485,0.705,0.6806,0.6761,0.6706,0.6706,0.6761,0.6634,0.6761,0.7195,0.724,0.7213,0.7141,0.7267,0.7485,0.743,0.7385,0.7358,0.7557,0.905,0.8978,0.8688,0.8806,0.8399
DRC,Q2,d5,0.8735,0.8575,0.8479,0.8394,0.8383,0.8468,0.8479,0.8532,0.8618,0.8799,0.8884,0.8938,0.8927,0.8906,0.8906,0.8948,0.898,0.9087,0.9258,0.9706,0.962,0.9354,0.9151,0.9002
EquatorialGuinea,Q2,d5,0.8831,0.8314,0.7986,0.7657,0.7328,0.7234,0.714,0.6576,0.6858,0.7516,0.7798,0.808,0.8267,0.8267,0.8267,0.8361,0.8173,0.7845,0.7516,0.8925,0.9301,0.9395,0.9395,0.9207
Gabon,Q2,d5,0.8764,0.8251,0.7925,0.7598,0.7272,0.7179,0.7086,0.6713,0.6806,0.7552,0.7738,0.8018,0.8205,0.8205,0.8205,0.8298,0.8111,0.7832,0.7552,0.8857,0.923,0.9323,0.9323,0.9137
Rwanda,Q2,d5,0.697,0.682,0.672,0.667,0.675,0.676,0.69,0.737,0.787,0.817,0.823,0.823,0.797,0.803,0.812,0.822,0.814,0.872,1.0,0.988,0.945,0.851,0.777,0.728
