zone,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Angola,Peak,2617,2738,2867,3004,3151,3307,3474,3652,3841,4043,4259,4489,4734,4995,5274,5571,5888
Burundi,Peak,104,114,125,137,150,164,180,197,216,236,258,283,310,339,372,407,446
Cameroon,Peak,1631,1764,1907,2062,2229,2410,2606,2818,3046,3294,3561,3850,4163,4501,4867,5262,5689
CAR,Peak,18,20,22,25,28,32,36,40,46,52,58,66,74,84,94,105,117
Chad,Peak,74,80,87,95,104,113,124,136,150,164,181,199,218,239,262,286,311
Congo,Peak,518,543,570,598,628,659,691,725,761,799,838,880,923,969,1016,1066,1119
DRC,Peak,2255,2427,2613,2812,3027,3259,3508,3761,4007,4245,4459,4681,4872,5076,5280,5485,5691
EquatorialGuinea,Peak,195,238,290,353,431,525,640,780,951,1159,1413,1722,2100,2559,3120,3803,4635
Gabon,Peak,571,595,619,645,671,699,727,757,789,821,855,890,927,965,1004,1046,1089
Rwanda,Peak,284,331,385,449,522,608,708,780,861,949,1045,1151,1274,1410,1560,1724,1905
STP,Peak,37,43,50,58,67,77,89,103,118,137,158,182,211,243,281,325,375
Angola,Energy,16299,16843,17413,18010,18636,19291,19977,20695,21448,22236,23061,23926,24831,25779,26773,27813,28902
Burundi,Energy,495,552,616,687,766,854,952,1062,1185,1321,1474,1644,1833,2044,2280,2543,2836
Cameroon,Energy,8607,9220,9876,10579,11331,12137,13001,13926,14917,15978,17115,18333,19637,21034,22531,24134,25851
CAR,Energy,121,134,150,167,187,209,234,262,295,331,372,418,468,523,584,650,723
Chad,Energy,333,363,397,435,478,526,579,638,704,777,858,948,1045,1150,1263,1384,1515
Congo,Energy,2858,2956,3057,3161,3268,3380,3495,3618,3748,3879,4010,4141,4273,4414,4555,4696,4930
DRC,Energy,15772,16658,17595,18584,19629,20732,21898,22758,23652,24541,25402,26262,27096,27985,28873,29814,30754
EquatorialGuinea,Energy,1065,1282,1543,1856,2234,2688,3234,3892,4683,5635,6781,8160,9819,11816,14218,17109,20588
Gabon,Energy,3741,3891,4048,4210,4380,4556,4739,4900,5071,5241,5412,5582,5753,5936,6118,6301,6484
Rwanda,Energy,1579,1816,2089,2404,2765,3181,3659,4034,4446,4899,5396,5943,6573,7267,8030,8869,9794
STP,Energy,164,190,219,253,292,338,390,451,520,601,694,802,926,1070,1236,1427,1649
