Variable,country,zone,generator,fuel,year,baseline
Capacity: MW,Benin,Benin,Groupes secours SBEE,PV,2025,12.0
Capacity: MW,Benin,Benin,Groupes secours SBEE,PV,2026,12.0
Capacity: MW,Benin,Benin,Groupes secours SBEE,PV,2027,12.0
Capacity: MW,Benin,Benin,Groupes secours SBEE,PV,2028,12.0
Capacity: MW,Benin,Benin,Groupes secours SBEE,PV,2029,12.0
Capacity: MW,Benin,Benin,Groupes secours SBEE,PV,2030,12.0
Capacity: MW,Benin,Benin,Groupes secours SBEE,PV,2032,12.0
Capacity: MW,Benin,Benin,Groupes secours SBEE,PV,2035,12.0
Capacity: MW,Benin,Benin,Groupes secours SBEE,PV,2040,12.0
Capacity: MW,Benin,Benin,Groupes secours SBEE,PV,2045,12.0
Capacity: MW,Benin,Benin,HYD_CAND_BEN,Reservoir,2030,182.3
Capacity: MW,Benin,Benin,HYD_CAND_BEN,Reservoir,2032,243.04
Capacity: MW,Benin,Benin,HYD_CAND_BEN,Reservoir,2035,463.0
Capacity: MW,Benin,Benin,HYD_CAND_BEN,Reservoir,2040,463.0
Capacity: MW,Benin,Benin,HYD_CAND_BEN,Reservoir,2045,463.0
Capacity: MW,Benin,Benin,IPP 50 mW,PV,2027,50.0
Capacity: MW,Benin,Benin,IPP 50 mW,PV,2028,50.0
Capacity: MW,Benin,Benin,IPP 50 mW,PV,2029,50.0
Capacity: MW,Benin,Benin,IPP 50 mW,PV,2030,50.0
Capacity: MW,Benin,Benin,IPP 50 mW,PV,2032,50.0
Capacity: MW,Benin,Benin,IPP 50 mW,PV,2035,50.0
Capacity: MW,Benin,Benin,IPP 50 mW,PV,2040,50.0
Capacity: MW,Benin,Benin,IPP 50 mW,PV,2045,50.0
Capacity: MW,Benin,Benin,MariaGleta2_IPP,Diesel,2025,137.0
Capacity: MW,Benin,Benin,MariaGleta2_IPP,Diesel,2026,137.0
Capacity: MW,Benin,Benin,MariaGleta2_IPP,Diesel,2027,137.0
Capacity: MW,Benin,Benin,MariaGleta2_IPP,Diesel,2028,137.0
Capacity: MW,Benin,Benin,MariaGleta2_IPP,Diesel,2029,137.0
Capacity: MW,Benin,Benin,MariaGleta2_IPP,Diesel,2030,137.0
Capacity: MW,Benin,Benin,MariaGleta2_IPP,Diesel,2032,137.0
Capacity: MW,Benin,Benin,MariaGleta2_IPP,Diesel,2035,137.0
Capacity: MW,Benin,Benin,MariaGleta2_IPP,Diesel,2040,137.0
Capacity: MW,Benin,Benin,MariaGleta2_IPP,Diesel,2045,137.0
Capacity: MW,Benin,Benin,MariaGleta3,Gas,2027,42.0
Capacity: MW,Benin,Benin,MariaGleta3,Gas,2028,42.0
Capacity: MW,Benin,Benin,MariaGleta3,Gas,2029,42.0
Capacity: MW,Benin,Benin,MariaGleta3,Gas,2030,42.0
Capacity: MW,Benin,Benin,MariaGleta3,Gas,2032,42.0
Capacity: MW,Benin,Benin,MariaGleta3,Gas,2035,42.0
Capacity: MW,Benin,Benin,MariaGleta3,Gas,2040,42.0
Capacity: MW,Benin,Benin,MariaGleta3,Gas,2045,42.0
Capacity: MW,Benin,Benin,PV_CAND_Benin,PV,2027,100.0
Capacity: MW,Benin,Benin,PV_CAND_Benin,PV,2028,200.0
Capacity: MW,Benin,Benin,PV_CAND_Benin,PV,2029,300.0
Capacity: MW,Benin,Benin,PV_CAND_Benin,PV,2030,400.0
Capacity: MW,Benin,Benin,PV_CAND_Benin,PV,2032,600.0
Capacity: MW,Benin,Benin,PV_CAND_Benin,PV,2035,900.0
Capacity: MW,Benin,Benin,PV_CAND_Benin,PV,2040,1400.0
Capacity: MW,Benin,Benin,PV_CAND_Benin,PV,2045,1900.0
Capacity: MW,Benin,Benin,SOLEN_GloDjigb,PV,2028,225.0
Capacity: MW,Benin,Benin,SOLEN_GloDjigb,PV,2029,225.0
Capacity: MW,Benin,Benin,SOLEN_GloDjigb,PV,2030,225.0
Capacity: MW,Benin,Benin,SOLEN_GloDjigb,PV,2032,225.0
Capacity: MW,Benin,Benin,SOLEN_GloDjigb,PV,2035,225.0
Capacity: MW,Benin,Benin,SOLEN_GloDjigb,PV,2040,225.0
Capacity: MW,Benin,Benin,SOLEN_GloDjigb,PV,2045,225.0
Capacity: MW,Benin,Benin,Solaire_Pobe,PV,2025,25.0
Capacity: MW,Benin,Benin,Solaire_Pobe,PV,2026,25.0
Capacity: MW,Benin,Benin,Solaire_Pobe,PV,2027,25.0
Capacity: MW,Benin,Benin,Solaire_Pobe,PV,2028,25.0
Capacity: MW,Benin,Benin,Solaire_Pobe,PV,2029,25.0
Capacity: MW,Benin,Benin,Solaire_Pobe,PV,2030,25.0
Capacity: MW,Benin,Benin,Solaire_Pobe,PV,2032,25.0
Capacity: MW,Benin,Benin,Solaire_Pobe,PV,2035,25.0
Capacity: MW,Benin,Benin,Solaire_Pobe,PV,2040,25.0
Capacity: MW,Benin,Benin,Solaire_Pobe,PV,2045,25.0
Capacity: MW,Benin,Benin,Solaire_Pobe_ext,PV,2026,50.0
Capacity: MW,Benin,Benin,Solaire_Pobe_ext,PV,2027,50.0
Capacity: MW,Benin,Benin,Solaire_Pobe_ext,PV,2028,50.0
Capacity: MW,Benin,Benin,Solaire_Pobe_ext,PV,2029,50.0
Capacity: MW,Benin,Benin,Solaire_Pobe_ext,PV,2030,50.0
Capacity: MW,Benin,Benin,Solaire_Pobe_ext,PV,2032,50.0
Capacity: MW,Benin,Benin,Solaire_Pobe_ext,PV,2035,50.0
Capacity: MW,Benin,Benin,Solaire_Pobe_ext,PV,2040,50.0
Capacity: MW,Benin,Benin,Solaire_Pobe_ext,PV,2045,50.0
Capacity: MW,Benin,Benin,Storage_CAND_2027_Benin,Battery,2027,35.8
Capacity: MW,Benin,Benin,Storage_CAND_2027_Benin,Battery,2028,98.27
Capacity: MW,Benin,Benin,Storage_CAND_2027_Benin,Battery,2029,98.27
Capacity: MW,Benin,Benin,Storage_CAND_2027_Benin,Battery,2030,98.27
Capacity: MW,Benin,Benin,Storage_CAND_2027_Benin,Battery,2032,122.82
Capacity: MW,Benin,Benin,Storage_CAND_2027_Benin,Battery,2035,148.35
Capacity: MW,Benin,Benin,Storage_CAND_2027_Benin,Battery,2040,286.26
Capacity: MW,Benin,Benin,Storage_CAND_2027_Benin,Battery,2045,598.26
Capacity: MW,Benin,Benin,Storage_Pobe,Battery,2027,5.0
Capacity: MW,Benin,Benin,Storage_Pobe,Battery,2028,5.0
Capacity: MW,Benin,Benin,Storage_Pobe,Battery,2029,5.0
Capacity: MW,Benin,Benin,Storage_Pobe,Battery,2030,5.0
Capacity: MW,Benin,Benin,Storage_Pobe,Battery,2032,5.0
Capacity: MW,Benin,Benin,Storage_Pobe,Battery,2035,5.0
Capacity: MW,Benin,Benin,Storage_Pobe,Battery,2040,5.0
Capacity: MW,Benin,Benin,Storage_Pobe,Battery,2045,5.0
Capacity: MW,Burkina,Burkina,BAGRE,Reservoir,2025,16.72
Capacity: MW,Burkina,Burkina,BAGRE,Reservoir,2026,16.72
Capacity: MW,Burkina,Burkina,BAGRE,Reservoir,2027,16.72
Capacity: MW,Burkina,Burkina,BAGRE,Reservoir,2028,16.72
Capacity: MW,Burkina,Burkina,BAGRE,Reservoir,2029,16.72
Capacity: MW,Burkina,Burkina,BAGRE,Reservoir,2030,16.72
Capacity: MW,Burkina,Burkina,BAGRE,Reservoir,2032,16.72
Capacity: MW,Burkina,Burkina,BAGRE,Reservoir,2035,16.72
Capacity: MW,Burkina,Burkina,BAGRE,Reservoir,2040,16.72
Capacity: MW,Burkina,Burkina,BAGRE,Reservoir,2045,16.72
Capacity: MW,Burkina,Burkina,BESS Power Park 1st Phase,Battery,2026,30.0
Capacity: MW,Burkina,Burkina,BESS Power Park 1st Phase,Battery,2027,30.0
Capacity: MW,Burkina,Burkina,BESS Power Park 1st Phase,Battery,2028,30.0
Capacity: MW,Burkina,Burkina,BESS Power Park 1st Phase,Battery,2029,30.0
Capacity: MW,Burkina,Burkina,BESS Power Park 1st Phase,Battery,2030,30.0
Capacity: MW,Burkina,Burkina,BESS Power Park 1st Phase,Battery,2032,30.0
Capacity: MW,Burkina,Burkina,BESS Power Park 1st Phase,Battery,2035,30.0
Capacity: MW,Burkina,Burkina,BESS Power Park 1st Phase,Battery,2040,30.0
Capacity: MW,Burkina,Burkina,BESS Power Park 1st Phase,Battery,2045,30.0
Capacity: MW,Burkina,Burkina,BESS Power Park 2nd Phase,Battery,2028,45.0
Capacity: MW,Burkina,Burkina,BESS Power Park 2nd Phase,Battery,2029,45.0
Capacity: MW,Burkina,Burkina,BESS Power Park 2nd Phase,Battery,2030,45.0
Capacity: MW,Burkina,Burkina,BESS Power Park 2nd Phase,Battery,2032,45.0
Capacity: MW,Burkina,Burkina,BESS Power Park 2nd Phase,Battery,2035,45.0
Capacity: MW,Burkina,Burkina,BESS Power Park 2nd Phase,Battery,2040,45.0
Capacity: MW,Burkina,Burkina,BESS Power Park 2nd Phase,Battery,2045,45.0
Capacity: MW,Burkina,Burkina,BOBOII,Diesel,2025,68.0
Capacity: MW,Burkina,Burkina,BOBOII,Diesel,2026,68.0
Capacity: MW,Burkina,Burkina,BOBOII,Diesel,2027,68.0
Capacity: MW,Burkina,Burkina,BOBOII,Diesel,2028,68.0
Capacity: MW,Burkina,Burkina,BOBOII,Diesel,2029,68.0
Capacity: MW,Burkina,Burkina,BOBOII,Diesel,2030,68.0
Capacity: MW,Burkina,Burkina,BOBOII,Diesel,2032,68.0
Capacity: MW,Burkina,Burkina,BOBOII,Diesel,2035,68.0
Capacity: MW,Burkina,Burkina,BOBOII,Diesel,2040,68.0
Capacity: MW,Burkina,Burkina,BOBOII,Diesel,2045,68.0
Capacity: MW,Burkina,Burkina,DEDOUGOU,Diesel,2025,5.0
Capacity: MW,Burkina,Burkina,DEDOUGOU,Diesel,2026,5.0
Capacity: MW,Burkina,Burkina,DEDOUGOU,Diesel,2027,5.0
Capacity: MW,Burkina,Burkina,DEDOUGOU,Diesel,2028,5.0
Capacity: MW,Burkina,Burkina,DEDOUGOU,Diesel,2029,5.0
Capacity: MW,Burkina,Burkina,DEDOUGOU,Diesel,2030,5.0
Capacity: MW,Burkina,Burkina,DEDOUGOU,Diesel,2032,5.0
Capacity: MW,Burkina,Burkina,DEDOUGOU,Diesel,2035,5.0
Capacity: MW,Burkina,Burkina,DEDOUGOU,Diesel,2040,5.0
Capacity: MW,Burkina,Burkina,DEDOUGOU,Diesel,2045,5.0
Capacity: MW,Burkina,Burkina,DORI,Diesel,2025,4.37
Capacity: MW,Burkina,Burkina,DORI,Diesel,2026,4.37
Capacity: MW,Burkina,Burkina,DORI,Diesel,2027,4.37
Capacity: MW,Burkina,Burkina,DORI,Diesel,2028,4.37
Capacity: MW,Burkina,Burkina,DORI,Diesel,2029,4.37
Capacity: MW,Burkina,Burkina,DORI,Diesel,2030,4.37
Capacity: MW,Burkina,Burkina,DORI,Diesel,2032,4.37
Capacity: MW,Burkina,Burkina,DORI,Diesel,2035,4.37
Capacity: MW,Burkina,Burkina,DORI,Diesel,2040,4.37
Capacity: MW,Burkina,Burkina,DORI,Diesel,2045,4.37
Capacity: MW,Burkina,Burkina,FADA,Diesel,2025,9.0
Capacity: MW,Burkina,Burkina,FADA,Diesel,2026,9.0
Capacity: MW,Burkina,Burkina,FADA,Diesel,2027,9.0
Capacity: MW,Burkina,Burkina,FADA,Diesel,2028,9.0
Capacity: MW,Burkina,Burkina,FADA,Diesel,2029,9.0
Capacity: MW,Burkina,Burkina,FADA,Diesel,2030,9.0
Capacity: MW,Burkina,Burkina,FADA,Diesel,2032,9.0
Capacity: MW,Burkina,Burkina,FADA,Diesel,2035,9.0
Capacity: MW,Burkina,Burkina,FADA,Diesel,2040,9.0
Capacity: MW,Burkina,Burkina,FADA,Diesel,2045,9.0
Capacity: MW,Burkina,Burkina,FADA2,Diesel,2025,7.0
Capacity: MW,Burkina,Burkina,FADA2,Diesel,2026,7.0
Capacity: MW,Burkina,Burkina,FADA2,Diesel,2027,7.0
Capacity: MW,Burkina,Burkina,FADA2,Diesel,2028,7.0
