z,type,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
ALGERIA,Energy,69446.764802795,75978.7962644096,83544.1430803124,87045.3948344445,90693.3805593114,94494.2497293525,98454.4095373505,102764.546230471,106872.287156215,111144.224160587,115586.920547536,120207.201971726,124911.469846587,129904.475465791,135097.06327824,140497.211054218,146113.215454277,151953.704776028,158027.652210458,164344.389628131,170913.621916453,177745.441890035,184850.345797057,192239.249445458
ALGERIA,Peak,12919.0,14134.1367265592,15238.0,15876.6093897471,16541.9822624102,17235.2402488786,17957.5519864742,18557.0,19298.7669921695,20070.1841578946,20872.4366844393,21706.7571337934,22404.0,23299.5406419446,24230.8781523668,25199.4434164023,26206.7245150352,27254.269011351,28343.6863281763,29476.6502207584,30654.9013482836,31880.2499481849,33154.5786173489,34479.8452044933
BAHRAIN,Energy,18013.6568970483,18853.6337295407,20445.0150256851,21180.1484316956,21941.7147419594,22730.6643940728,23547.9820001447,24742.4124759196,25695.7653313746,26685.8519397686,27714.0876937311,28781.9425225544,29722.7737548232,30868.025506599,32057.4050906478,33292.6128017549,34575.414448967,35907.6438799307,37291.2056024955,38728.077507331,40220.3136954485,41770.0474146713,43379.4941092499,45050.9545869821
BAHRAIN,Peak,3616.48116681302,3785.11768590681,4119.53363853442,4267.65809777625,4421.1086102442,4580.07668275029,4744.76070804201,4797.49263298001,4982.34539562501,5174.32074218449,5373.69311379145,5580.74752610303,5660.37482521193,5878.47540484674,6104.97964401045,6340.21134511383,6584.5067870371,6838.21520586223,7101.69929412846,7375.33571932465,7659.51566235974,7954.64537678107,8261.14676954005,8579.45800413526
EGYPT,Energy,183986.67003569,199714.54900358,232692.781760695,246461.432833822,261044.787959818,276491.053944869,292851.290037294,314593.457816142,332050.356034785,350475.94348661,369923.973067391,390451.180439412,411947.20110117,434806.29172244,458933.841074913,484400.236365998,511279.770613242,539650.859379056,569596.269532146,601203.360702975,634564.340137682,669776.531693927,706942.65976341,746171.148949344
EGYPT,Peak,31618.4197140815,34321.2822547349,40369.738310242,42758.4537508388,45288.5117340177,47968.2756311557,50806.6036821917,53200.3399113013,56152.4449088932,59268.3632191696,62557.184898695,66028.5044143715,69065.7499241153,72898.2319318121,76943.3796726032,81212.9940405155,85719.5307652082,90476.1367490255,95496.6884204044,100795.832215527,106389.02730631,112292.590699392,118523.744837673,125100.667843277
IRAQ,Energy,174385.048157466,188379.092819641,203496.131041621,219624.771023485,237031.730285097,255818.325501812,276093.903477976,297976.47759666,321593.41471296,347082.176488892,374591.119484796,404280.358664179,436322.699337966,458405.480601469,481605.896196332,505980.510849784,531588.752093352,558493.055152596,586759.01516988,616455.547131305,647655.053887724,680433.602679491,714871.110595323,751051.539417447
IRAQ,Peak,23994.4677248451,25919.9748513702,28000.0,30219.2162434765,32614.3225132141,35199.2594521893,37989.0726069979,41000.0,44249.5666422335,47756.6865372063,51541.7727692772,55626.8563173899,60035.7142857143,63074.1891314676,66266.4445976087,69620.2636938404,73143.8233367176,76845.7142857143,80734.9620882786,84821.0490849391,89113.9375281157,93624.0938709985,98362.5142857143,103340.751472997
JORDAN,Energy,19828.3927449419,21070.8114635308,22627.1917933644,23659.8867032105,24739.7133467053,25868.8227950852,27049.4642935158,29338.2811694385,31075.8068700626,32916.2355165988,34865.6614167591,36930.539806567,37604.0369257759,39831.0924314617,42190.0427184231,44688.6991022216,47335.3355145298,50138.7159010345,53108.1232419489,56253.3902912308,59584.9321362955,63113.7806860397,66851.6212013793,70810.8309892652
JORDAN,Peak,3622.12470276252,3849.08185403861,4141.5204493798,4330.53758973711,4528.1813878124,4734.84556040429,4950.94179336992,5289.04560818758,5602.2832045868,5934.07193460567,6285.51046763298,6657.76254047872,6698.46106219651,7095.16965541569,7515.37285530238,7960.46210270737,8431.9112449532,8931.28141626201,9460.22620722092,10020.4971404032,10613.9494702765,11242.5483266043,11908.3752216827,12613.6349429612
KSA,Energy,383249.51738606,402089.846334478,421782.009106071,440057.204522722,457909.025139517,480090.671620849,501512.012118547,518467.906665466,533310.858723145,553570.364750617,571645.117080467,593494.537852874,612082.265142181,631459.418237748,646084.522485355,667306.76359531,681878.323198198,704461.336765217,718121.934143013,742845.260062314,756016.418650959,784225.698663942,797006.803330641,809996.21108761
