zone,season,daytype,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Albania,m1,d1,0.472251318,0.410791094,0.381864242,0.37322254,0.377218243,0.422086383,0.529547595,0.70559179,0.840262772,0.884783774,0.903589219,0.906021035,0.920449953,0.929423424,0.921638326,0.914073035,0.93370748,0.986703109,1,0.976648523,0.950833506,0.870775399,0.748090421,0.601926112
Albania,m1,d2,0.517673012,0.431438234,0.38743079,0.372731521,0.377809248,0.4120307,0.505207444,0.649293018,0.777522244,0.835771157,0.845173531,0.826853084,0.817900969,0.824353307,0.821948867,0.816701463,0.846115807,0.922434053,0.945214808,0.929412076,0.900026201,0.826164766,0.722212158,0.587771948
Albania,m1,d3,0.398466231,0.340072162,0.314637265,0.30632127,0.30945602,0.342829361,0.412856756,0.523323576,0.639662727,0.698422314,0.714855187,0.728004146,0.727070804,0.727748347,0.720957957,0.70429179,0.726283583,0.76210043,0.753950531,0.739076009,0.711862046,0.649865646,0.560877111,0.466814857
Albania,m1,d4,0.389871002,0.341120932,0.318909874,0.315430176,0.318392252,0.341482301,0.396411557,0.480034005,0.589728056,0.665762032,0.702995599,0.712024402,0.730036228,0.733354882,0.718737002,0.717321349,0.743473148,0.792525486,0.794903375,0.787451801,0.766264202,0.69930551,0.596479314,0.472295134
Albania,m1,d5,0.419223238,0.365802949,0.341531552,0.334694445,0.340637207,0.37888621,0.505253385,0.689473311,0.778470682,0.797386331,0.775727036,0.76488128,0.7637722,0.765009064,0.755172953,0.759737034,0.77927393,0.852188402,0.86128181,0.851978685,0.826922205,0.752711627,0.636790764,0.501648564
Albania,m1,d6,0.472369648,0.411568613,0.38247155,0.369210834,0.374693508,0.401579642,0.470389424,0.586212008,0.716194321,0.796681835,0.812632945,0.808492587,0.811188926,0.813645944,0.809538838,0.819237857,0.861684281,0.936004457,0.950112017,0.945693331,0.927351692,0.848823861,0.734521108,0.581475304
Albania,m1,d7,0.47346595,0.411407281,0.386991192,0.374751029,0.383721868,0.428407563,0.553723858,0.750044059,0.843203019,0.875569023,0.872603497,0.86576712,0.867454052,0.87025539,0.866944389,0.86079856,0.885694396,0.939909267,0.945527472,0.927482672,0.904872396,0.822686711,0.716814444,0.603308845
Albania,m2,d1,0.436176601,0.383215165,0.360332719,0.352575916,0.362974866,0.407519554,0.528730423,0.721146673,0.816500497,0.865390088,0.876123917,0.880500352,0.883918662,0.889655375,0.887358062,0.868622924,0.869014162,0.91401067,0.922900384,0.916438877,0.904563962,0.825216092,0.705640539,0.590611003
Albania,m2,d2,0.428183359,0.380474166,0.361925246,0.357399978,0.362682092,0.398897315,0.513376986,0.691049692,0.764137025,0.768419711,0.764724553,0.759966766,0.763288865,0.772947946,0.776284314,0.770518217,0.799950032,0.875558872,0.916629161,0.909966707,0.890732679,0.816263994,0.726370424,0.613209622
Albania,m2,d3,0.463486754,0.400045475,0.372808254,0.366881814,0.371247243,0.412723363,0.549751177,0.755952978,0.834185711,0.834057483,0.794192911,0.760608661,0.747037271,0.743545922,0.744506156,0.73949905,0.77305798,0.859850502,0.910426611,0.903650044,0.890824363,0.817053332,0.72961615,0.623369146
Albania,m2,d4,0.434389363,0.386201466,0.364958137,0.352993276,0.359805135,0.381025822,0.450385947,0.559116146,0.674393297,0.715725809,0.715342759,0.705255689,0.717713825,0.734123173,0.736327981,0.739749094,0.757905018,0.81861874,0.859008341,0.864524949,0.842142351,0.773523125,0.658525375,0.526973927
Albania,m2,d5,0.433202423,0.379303321,0.357248679,0.349729047,0.354926688,0.400780977,0.520594148,0.71058433,0.769228075,0.762023765,0.732545094,0.702802348,0.681025346,0.684692702,0.663871828,0.652932835,0.663995043,0.746991773,0.808692742,0.807025735,0.786041354,0.719198716,0.635895262,0.513936288
Albania,m2,d6,0.430272243,0.385561009,0.364858908,0.355964821,0.363776479,0.402775304,0.527652462,0.69904317,0.740067097,0.726424043,0.692053971,0.664560028,0.642094555,0.646893816,0.624941432,0.614562818,0.6327631,0.705879271,0.78246119,0.783350033,0.768069924,0.706961681,0.642251168,0.559411309
Albania,m2,d7,0.402640071,0.354275935,0.339880712,0.335280837,0.340082366,0.377709927,0.480012487,0.635159548,0.703480425,0.716094086,0.70536339,0.692404884,0.689217046,0.690085421,0.660637973,0.638365092,0.640024496,0.684580842,0.734349173,0.732767087,0.714595874,0.650011855,0.575122909,0.475739563
Albania,m3,d1,0.477509644,0.418641046,0.394417565,0.385524355,0.390506637,0.440507562,0.571692746,0.745771233,0.795418356,0.791819013,0.777047014,0.749765272,0.740021808,0.743555549,0.754078576,0.752603777,0.774217545,0.822831291,0.893337923,0.905205231,0.886151889,0.812448755,0.719436921,0.576572536
Albania,m3,d2,0.462937059,0.405001642,0.379365931,0.371167384,0.376886658,0.419861254,0.535306244,0.679337392,0.763839582,0.779720688,0.744852111,0.715345586,0.697720529,0.694009434,0.67986391,0.679588106,0.700459189,0.764012452,0.859074587,0.861865413,0.844606377,0.773808378,0.676744591,0.542535302
Albania,m3,d3,0.444819394,0.398206949,0.376842482,0.37110873,0.369768292,0.41120079,0.516325036,0.662474025,0.768390926,0.79564021,0.79125543,0.792622825,0.813192104,0.830214899,0.833140487,0.815736252,0.829162337,0.86500291,0.892410873,0.883276383,0.852011101,0.774301337,0.67383691,0.554318344
Albania,m3,d4,0.435115314,0.383726984,0.366368266,0.363762577,0.369914012,0.414179794,0.536589999,0.717782781,0.771376888,0.757502701,0.718864668,0.691828305,0.673665031,0.682253503,0.671645272,0.659399834,0.665693559,0.715546005,0.813074986,0.831574551,0.815181873,0.747248276,0.645792145,0.523351707
