country,zone,attribute,resolution,year,RETRADE_P1,baseline
Ethiopia,,Annualized capex: $m,,2030.0,773.9,773.9
Ethiopia,,Annualized capex: $m,,2024.0,133.8,133.8
,,Annualized capex: $m,,,46046.2,45700.6
Sudan,,Annualized capex: $m,,2030.0,353.9,353.9
Uganda,,Annualized capex: $m,,2024.0,162.3,162.3
Tanzania,,Annualized capex: $m,,2024.0,0.0,0.0
Tanzania,,Annualized capex: $m,,2030.0,373.3,382.2
Burundi,,Annualized capex: $m,,2036.0,41.6,68.7
Somalia,,Annualized capex: $m,,2030.0,8.3,8.3
Somalia,,Annualized capex: $m,,2036.0,48.8,41.6
Sudan,,Annualized capex: $m,,2036.0,834.6,702.7
SouthSudan,,Annualized capex: $m,,2030.0,99.9,99.9
SouthSudan,,Annualized capex: $m,,2036.0,154.1,102.9
DRC,,Annualized capex: $m,,2024.0,9.9,9.9
Libya,,Annualized capex: $m,,2030.0,663.1,663.1
Libya,,Annualized capex: $m,,2036.0,963.5,963.5
DRC,,Annualized capex: $m,,2036.0,23.2,18.3
Rwanda,,Annualized capex: $m,,2036.0,106.1,78.6
Rwanda,,Annualized capex: $m,,2024.0,46.4,46.4
Rwanda,,Annualized capex: $m,,2030.0,56.5,56.5
Burundi,,Annualized capex: $m,,2024.0,22.1,22.1
Burundi,,Annualized capex: $m,,2030.0,36.2,36.6
Tanzania,,Annualized capex: $m,,2036.0,916.6,972.3
Rwanda,,Fixed O&M: $m,,2024.0,13.4,13.4
Libya,,Fixed O&M: $m,,2024.0,89.1,89.1
DRC,,Fixed O&M: $m,,2036.0,7.8,4.7
DRC,,Fixed O&M: $m,,2024.0,1.6,1.6
Kenya,,Fixed O&M: $m,,2036.0,249.5,225.8
Kenya,,Fixed O&M: $m,,2024.0,206.4,206.4
Burundi,,Fixed O&M: $m,,2030.0,12.4,12.5
Burundi,,Fixed O&M: $m,,2036.0,15.0,28.3
Burundi,,Fixed O&M: $m,,2024.0,5.6,5.6
DRC,,Fixed O&M: $m,,2030.0,7.8,4.7
Ethiopia,,Fixed O&M: $m,,2036.0,348.2,384.0
Djibouti,,Fixed O&M: $m,,2024.0,0.9,0.9
Djibouti,,Fixed O&M: $m,,2030.0,3.6,3.4
Djibouti,,Fixed O&M: $m,,2036.0,16.6,5.7
Egypt,,Fixed O&M: $m,,2036.0,2156.5,2129.8
Egypt,,Fixed O&M: $m,,2030.0,1662.6,1662.6
Egypt,,Fixed O&M: $m,,2024.0,1542.2,1542.2
Ethiopia,,Fixed O&M: $m,,2024.0,134.4,134.4
Uganda,,Fixed O&M: $m,,2024.0,66.5,66.5
,,Fixed O&M: $m,,,32599.3,32222.7
Uganda,,Fixed O&M: $m,,2030.0,91.6,87.5
Ethiopia,,Fixed O&M: $m,,2030.0,333.6,333.6
Kenya,,Fixed O&M: $m,,2030.0,239.7,239.7
Libya,,Fixed O&M: $m,,2036.0,378.8,378.8
Libya,,Fixed O&M: $m,,2030.0,231.9,231.9
Somalia,,Fixed O&M: $m,,2036.0,28.8,23.9
Rwanda,,Fixed O&M: $m,,2030.0,18.1,18.1
Rwanda,,Fixed O&M: $m,,2036.0,42.0,29.0
Somalia,,Fixed O&M: $m,,2030.0,4.9,4.9
SouthSudan,,Fixed O&M: $m,,2030.0,10.8,10.8
SouthSudan,,Fixed O&M: $m,,2036.0,37.6,15.9
SouthSudan,,Fixed O&M: $m,,2024.0,1.8,1.8
Tanzania,,Fixed O&M: $m,,2024.0,62.8,62.8
Sudan,,Fixed O&M: $m,,2030.0,140.8,140.8
Sudan,,Fixed O&M: $m,,2036.0,360.2,300.8
Tanzania,,Fixed O&M: $m,,2036.0,513.2,536.9
Sudan,,Fixed O&M: $m,,2024.0,57.9,57.9
Tanzania,,Fixed O&M: $m,,2030.0,253.8,256.7
Uganda,,Fixed O&M: $m,,2036.0,138.2,129.3
Uganda,,Variable O&M: $m,,2024.0,18.3,18.3
Tanzania,,Variable O&M: $m,,2030.0,17.3,17.3
Tanzania,,Variable O&M: $m,,2036.0,28.3,27.1
Tanzania,,Variable O&M: $m,,2024.0,18.5,18.5
Burundi,,Variable O&M: $m,,2024.0,2.0,2.0
Sudan,,Variable O&M: $m,,2030.0,72.1,72.1
Sudan,,Variable O&M: $m,,2036.0,70.4,57.1
Sudan,,Variable O&M: $m,,2024.0,60.6,60.6
Burundi,,Variable O&M: $m,,2030.0,8.1,8.1
Burundi,,Variable O&M: $m,,2036.0,11.2,21.0
DRC,,Variable O&M: $m,,2024.0,1.3,1.3
DRC,,Variable O&M: $m,,2030.0,2.7,2.1
DRC,,Variable O&M: $m,,2036.0,2.7,2.1
SouthSudan,,Variable O&M: $m,,2024.0,31.2,31.2
SouthSudan,,Variable O&M: $m,,2030.0,19.6,19.6
SouthSudan,,Variable O&M: $m,,2036.0,16.2,17.8
Somalia,,Variable O&M: $m,,2030.0,2.4,2.4
Somalia,,Variable O&M: $m,,2036.0,11.3,10.7
Rwanda,,Variable O&M: $m,,2024.0,0.4,0.4
Rwanda,,Variable O&M: $m,,2030.0,1.7,1.9
Rwanda,,Variable O&M: $m,,2036.0,2.4,1.5
Egypt,,Variable O&M: $m,,2030.0,739.7,739.7
Kenya,,Variable O&M: $m,,2036.0,103.8,94.4
Kenya,,Variable O&M: $m,,2024.0,136.4,136.4
Kenya,,Variable O&M: $m,,2030.0,130.9,131.0
Libya,,Variable O&M: $m,,2036.0,255.3,247.1
Libya,,Variable O&M: $m,,2024.0,261.6,261.6
Libya,,Variable O&M: $m,,2030.0,267.5,267.5
Djibouti,,Variable O&M: $m,,2024.0,0.4,0.4
Djibouti,,Variable O&M: $m,,2036.0,3.0,0.2
Djibouti,,Variable O&M: $m,,2030.0,1.2,1.3
Egypt,,Variable O&M: $m,,2036.0,814.5,791.3
Ethiopia,,Variable O&M: $m,,2036.0,12.2,30.4
Ethiopia,,Variable O&M: $m,,2030.0,0.0,0.0
Ethiopia,,Variable O&M: $m,,2024.0,1.0,1.0
Egypt,,Variable O&M: $m,,2024.0,585.2,585.2
Uganda,,Variable O&M: $m,,2036.0,15.2,14.2
Uganda,,Variable O&M: $m,,2030.0,17.2,16.5
,,Variable O&M: $m,,,12348.5,12232.4
SouthSudan,,Total fuel Costs: $m,,2024.0,108.7,108.7
Djibouti,,Total fuel Costs: $m,,2024.0,7.3,7.3
Djibouti,,Total fuel Costs: $m,,2030.0,1.7,1.9
Rwanda,,Total fuel Costs: $m,,2036.0,8.7,2.4
Egypt,,Total fuel Costs: $m,,2030.0,6166.7,6166.7
Kenya,,Total fuel Costs: $m,,2024.0,0.0,0.0
Kenya,,Total fuel Costs: $m,,2030.0,0.0,0.0
Somalia,,Total fuel Costs: $m,,2030.0,0.0,0.0
Somalia,,Total fuel Costs: $m,,2036.0,9.4,0.7
DRC,,Total fuel Costs: $m,,2030.0,0.0,0.0
SouthSudan,,Total fuel Costs: $m,,2036.0,3.9,0.0
SouthSudan,,Total fuel Costs: $m,,2030.0,32.0,32.0
DRC,,Total fuel Costs: $m,,2036.0,0.0,0.0
Djibouti,,Total fuel Costs: $m,,2036.0,16.1,0.1
Burundi,,Total fuel Costs: $m,,2036.0,0.0,0.0
Sudan,,Total fuel Costs: $m,,2024.0,394.6,394.6
Burundi,,Total fuel Costs: $m,,2024.0,63.6,63.6
Sudan,,Total fuel Costs: $m,,2030.0,592.9,592.9
Sudan,,Total fuel Costs: $m,,2036.0,506.3,0.0
Burundi,,Total fuel Costs: $m,,2030.0,0.0,0.0
Tanzania,,Total fuel Costs: $m,,2030.0,52.6,53.5
Tanzania,,Total fuel Costs: $m,,2024.0,207.6,207.6
Uganda,,Total fuel Costs: $m,,2036.0,0.0,0.0
Tanzania,,Total fuel Costs: $m,,2036.0,59.9,19.1
Uganda,,Total fuel Costs: $m,,2030.0,0.0,0.0
Egypt,,Total fuel Costs: $m,,2024.0,6639.4,6639.4
Libya,,Total fuel Costs: $m,,2030.0,1815.4,1815.4
Rwanda,,Total fuel Costs: $m,,2030.0,18.8,21.9
Libya,,Total fuel Costs: $m,,2024.0,1619.0,1619.0
Libya,,Total fuel Costs: $m,,2036.0,2316.7,2265.4
Rwanda,,Total fuel Costs: $m,,2024.0,0.3,0.3
Egypt,,Total fuel Costs: $m,,2036.0,6249.3,6107.6
Kenya,,Total fuel Costs: $m,,2036.0,0.0,0.0
Ethiopia,,Total fuel Costs: $m,,2024.0,0.0,0.0
Uganda,,Total fuel Costs: $m,,2024.0,0.0,0.0
Ethiopia,,Total fuel Costs: $m,,2036.0,0.0,0.0
Ethiopia,,Total fuel Costs: $m,,2030.0,0.0,0.0
Somalia,,Unmet demand costs: $m,,2024.0,387.0,387.0
Somalia,,Unmet demand costs: $m,,2036.0,0.1,0.1
Djibouti,,Unmet demand costs: $m,,2024.0,0.0,0.0
Djibouti,,Unmet demand costs: $m,,2030.0,0.0,0.0
Sudan,,Unmet demand costs: $m,,2036.0,0.0,0.0
Egypt,,Unmet demand costs: $m,,2030.0,0.0,0.0
Kenya,,Unmet demand costs: $m,,2030.0,0.0,0.0
Egypt,,Unmet demand costs: $m,,2036.0,0.0,0.0
Libya,,Unmet demand costs: $m,,2024.0,257.5,257.5
Libya,,Unmet demand costs: $m,,2030.0,0.0,0.0
Kenya,,Unmet demand costs: $m,,2036.0,0.0,0.0
Egypt,,Unmet demand costs: $m,,2024.0,0.0,0.0
Rwanda,,Unmet demand costs: $m,,2024.0,0.0,0.0
Libya,,Unmet demand costs: $m,,2036.0,0.0,0.0
Ethiopia,,Unmet demand costs: $m,,2030.0,0.0,0.0
Kenya,,Unmet demand costs: $m,,2024.0,0.0,0.0
Ethiopia,,Unmet demand costs: $m,,2024.0,0.0,0.0
Ethiopia,,Unmet demand costs: $m,,2036.0,0.0,0.0
Somalia,,Unmet demand costs: $m,,2030.0,0.0,0.0
Rwanda,,Unmet demand costs: $m,,2036.0,0.0,0.0
Rwanda,,Unmet demand costs: $m,,2030.0,0.0,0.0
Djibouti,,Unmet demand costs: $m,,2036.0,0.0,0.0
SouthSudan,,Unmet demand costs: $m,,2036.0,0.0,0.0
DRC,,Unmet demand costs: $m,,2030.0,0.0,0.0
SouthSudan,,Unmet demand costs: $m,,2024.0,2179.9,2179.9
SouthSudan,,Unmet demand costs: $m,,2030.0,0.0,0.0
Tanzania,,Unmet demand costs: $m,,2024.0,0.0,0.0
Sudan,,Unmet demand costs: $m,,2030.0,0.0,0.0
Burundi,,Unmet demand costs: $m,,2024.0,31.1,31.1
Tanzania,,Unmet demand costs: $m,,2030.0,0.0,0.0
Burundi,,Unmet demand costs: $m,,2036.0,0.0,0.0
Burundi,,Unmet demand costs: $m,,2030.0,0.0,0.0
Uganda,,Unmet demand costs: $m,,2030.0,0.0,0.0
Tanzania,,Unmet demand costs: $m,,2036.0,0.0,0.0
Uganda,,Unmet demand costs: $m,,2036.0,0.0,0.0
Uganda,,Unmet demand costs: $m,,2024.0,0.0,0.0
DRC,,Unmet demand costs: $m,,2024.0,1.9,1.9
Sudan,,Unmet demand costs: $m,,2024.0,291.9,291.9
DRC,,Unmet demand costs: $m,,2036.0,0.0,0.0
Tanzania,,Excess generation: $m,,2036.0,0.0,0.0
DRC,,Excess generation: $m,,2030.0,0.0,0.0
DRC,,Excess generation: $m,,2036.0,0.0,0.0
Somalia,,Excess generation: $m,,2036.0,0.0,0.0
Somalia,,Excess generation: $m,,2030.0,0.0,0.0
Djibouti,,Excess generation: $m,,2030.0,0.0,0.0
Djibouti,,Excess generation: $m,,2036.0,0.0,0.0
Djibouti,,Excess generation: $m,,2024.0,0.0,0.0
SouthSudan,,Excess generation: $m,,2036.0,0.0,0.0
Sudan,,Excess generation: $m,,2036.0,0.0,0.0
DRC,,Excess generation: $m,,2024.0,0.0,0.0
SouthSudan,,Excess generation: $m,,2030.0,0.0,0.0
SouthSudan,,Excess generation: $m,,2024.0,0.0,0.0
Egypt,,Excess generation: $m,,2024.0,0.0,0.0
Ethiopia,,Excess generation: $m,,2036.0,0.0,0.0
Ethiopia,,Excess generation: $m,,2030.0,0.0,0.0
Ethiopia,,Excess generation: $m,,2024.0,0.0,0.0
Kenya,,Excess generation: $m,,2030.0,0.0,0.0
Tanzania,,Excess generation: $m,,2024.0,0.0,0.0
Burundi,,Excess generation: $m,,2024.0,0.0,0.0
Burundi,,Excess generation: $m,,2036.0,0.0,0.0
Uganda,,Excess generation: $m,,2036.0,0.0,0.0
Uganda,,Excess generation: $m,,2030.0,0.0,0.0
Uganda,,Excess generation: $m,,2024.0,0.0,0.0
Tanzania,,Excess generation: $m,,2030.0,0.0,0.0
Burundi,,Excess generation: $m,,2030.0,0.0,0.0
Sudan,,Excess generation: $m,,2024.0,0.0,0.0
Sudan,,Excess generation: $m,,2030.0,0.0,0.0
Kenya,,Excess generation: $m,,2024.0,0.0,0.0
Kenya,,Excess generation: $m,,2036.0,0.0,0.0
Egypt,,Excess generation: $m,,2030.0,0.0,0.0
Rwanda,,Excess generation: $m,,2036.0,0.0,0.0
Egypt,,Excess generation: $m,,2036.0,0.0,0.0
Libya,,Excess generation: $m,,2030.0,0.0,0.0
Libya,,Excess generation: $m,,2024.0,0.0,0.0
Rwanda,,Excess generation: $m,,2024.0,0.0,0.0
Rwanda,,Excess generation: $m,,2030.0,0.0,0.0
Libya,,Excess generation: $m,,2036.0,0.0,0.0
Burundi,,Country Spinning Reserve violation: $m,,2030.0,0.0,0.0
Kenya,,Country Spinning Reserve violation: $m,,2024.0,0.0,0.0
Uganda,,Country Spinning Reserve violation: $m,,2024.0,0.0,0.0
Burundi,,Country Spinning Reserve violation: $m,,2036.0,0.0,0.0
Uganda,,Country Spinning Reserve violation: $m,,2030.0,0.0,0.0
Egypt,,Country Spinning Reserve violation: $m,,2030.0,0.0,0.0
Egypt,,Country Spinning Reserve violation: $m,,2024.0,0.0,0.0
Sudan,,Country Spinning Reserve violation: $m,,2024.0,106.6,106.6
DRC,,Country Spinning Reserve violation: $m,,2024.0,1.7,1.7
Burundi,,Country Spinning Reserve violation: $m,,2024.0,0.3,0.3
Tanzania,,Country Spinning Reserve violation: $m,,2024.0,0.0,0.0
Uganda,,Country Spinning Reserve violation: $m,,2036.0,0.0,0.0
Ethiopia,,Country Spinning Reserve violation: $m,,2024.0,0.0,0.0
Ethiopia,,Country Spinning Reserve violation: $m,,2036.0,0.0,0.0
Ethiopia,,Country Spinning Reserve violation: $m,,2030.0,0.0,0.0
Libya,,Country Spinning Reserve violation: $m,,2036.0,0.0,0.0
Libya,,Country Spinning Reserve violation: $m,,2024.0,33.7,33.7
Libya,,Country Spinning Reserve violation: $m,,2030.0,0.0,0.0
Rwanda,,Country Spinning Reserve violation: $m,,2024.0,0.0,0.0
Rwanda,,Country Spinning Reserve violation: $m,,2030.0,0.0,0.0
Kenya,,Country Spinning Reserve violation: $m,,2030.0,0.0,0.0
Somalia,,Country Spinning Reserve violation: $m,,2024.0,11.8,11.8
Somalia,,Country Spinning Reserve violation: $m,,2030.0,0.0,0.0
Djibouti,,Country Spinning Reserve violation: $m,,2024.0,0.0,0.0
SouthSudan,,Country Spinning Reserve violation: $m,,2024.0,0.0,0.0
Djibouti,,Country Spinning Reserve violation: $m,,2036.0,0.0,0.0
Djibouti,,Country Spinning Reserve violation: $m,,2030.0,0.0,0.0
Sudan,,Country Spinning Reserve violation: $m,,2036.0,0.4,0.0
Tanzania,,Country Spinning Reserve violation: $m,,2036.0,0.0,0.0
Tanzania,,Country Spinning Reserve violation: $m,,2030.0,0.0,0.0
DRC,,Country Spinning Reserve violation: $m,,2036.0,0.0,0.0
DRC,,Country Spinning Reserve violation: $m,,2030.0,0.0,0.0
Sudan,,Country Spinning Reserve violation: $m,,2030.0,6.9,6.9
SouthSudan,,Country Spinning Reserve violation: $m,,2030.0,0.0,0.0
Somalia,,Country Spinning Reserve violation: $m,,2036.0,0.0,0.1
SouthSudan,,Country Spinning Reserve violation: $m,,2036.0,0.0,0.0
Egypt,,Country Spinning Reserve violation: $m,,2036.0,0.0,0.0
Kenya,,Country Spinning Reserve violation: $m,,2036.0,0.0,0.0
Rwanda,,Country Spinning Reserve violation: $m,,2036.0,0.0,0.0
Kenya,,Average Total fuel Costs: $m,,,,0.0
Burundi,,Average Total fuel Costs: $m,,,,1.2
Uganda,,Average Total fuel Costs: $m,,,1.4,0.3
Ethiopia,,Average Total fuel Costs: $m,,,,5.6
Somalia,,Average Total fuel Costs: $m,,,,0.9
Egypt,,Average Total fuel Costs: $m,,,,12.9
Libya,,Average Total fuel Costs: $m,,,,0.3
SouthSudan,,Average Total fuel Costs: $m,,,,0.7
DRC,,Average Total fuel Costs: $m,,,,0.8
Djibouti,,Average Total fuel Costs: $m,,,,0.4
Sudan,,Average Total fuel Costs: $m,,,,16.5
Tanzania,,Average Total fuel Costs: $m,,,1.4,0.2
Rwanda,,Average Total fuel Costs: $m,,,,0.2
DRC,,Average Transmission additions: $m,,,1.3,1.3
Sudan,,Average Transmission additions: $m,,,30.6,30.6
Tanzania,,Average Transmission additions: $m,,,14.5,14.9
Egypt,,Average Transmission additions: $m,,,35.5,35.5
Somalia,,Average Transmission additions: $m,,,1.1,1.0
SouthSudan,,Average Transmission additions: $m,,,0.6,0.6
Djibouti,,Average Transmission additions: $m,,,0.7,0.6
Ethiopia,,Average Transmission additions: $m,,,19.2,19.2
Libya,,Average Transmission additions: $m,,,40.1,40.1
Rwanda,,Average Transmission additions: $m,,,3.1,3.1
Kenya,,Average Transmission additions: $m,,,9.2,9.2
Burundi,,Average Transmission additions: $m,,,0.9,0.9
Uganda,,Average Transmission additions: $m,,,2.3,2.3
Ethiopia,,Spinning Reserve costs: $m,,2030.0,18.4,18.4
Ethiopia,,Spinning Reserve costs: $m,,2036.0,20.0,20.0
Ethiopia,,Spinning Reserve costs: $m,,2024.0,19.6,19.6
Kenya,,Spinning Reserve costs: $m,,2030.0,9.2,9.2
,,Spinning Reserve costs: $m,,,1518.5,1520.5
Libya,,Spinning Reserve costs: $m,,2024.0,37.5,37.5
Kenya,,Spinning Reserve costs: $m,,2036.0,9.2,9.2
Egypt,,Spinning Reserve costs: $m,,2024.0,35.5,35.5
Libya,,Spinning Reserve costs: $m,,2030.0,40.3,40.3
Libya,,Spinning Reserve costs: $m,,2036.0,40.3,40.3
Egypt,,Spinning Reserve costs: $m,,2036.0,35.5,35.5
Egypt,,Spinning Reserve costs: $m,,2030.0,35.5,35.5
Kenya,,Spinning Reserve costs: $m,,2024.0,9.2,9.2
Djibouti,,Spinning Reserve costs: $m,,2036.0,0.9,0.6
Rwanda,,Spinning Reserve costs: $m,,2024.0,3.1,3.1
Sudan,,Spinning Reserve costs: $m,,2024.0,22.7,22.7
DRC,,Spinning Reserve costs: $m,,2036.0,1.3,1.3
SouthSudan,,Spinning Reserve costs: $m,,2036.0,0.6,0.6
SouthSudan,,Spinning Reserve costs: $m,,2024.0,0.5,0.5
SouthSudan,,Spinning Reserve costs: $m,,2030.0,0.6,0.6
Sudan,,Spinning Reserve costs: $m,,2036.0,31.5,31.5
Sudan,,Spinning Reserve costs: $m,,2030.0,31.0,31.0
DRC,,Spinning Reserve costs: $m,,2030.0,1.3,1.3
DRC,,Spinning Reserve costs: $m,,2024.0,1.2,1.2
Somalia,,Spinning Reserve costs: $m,,2030.0,1.0,1.0
Somalia,,Spinning Reserve costs: $m,,2036.0,1.3,1.1
Rwanda,,Spinning Reserve costs: $m,,2036.0,3.1,3.1
Rwanda,,Spinning Reserve costs: $m,,2030.0,3.1,3.1
Djibouti,,Spinning Reserve costs: $m,,2030.0,0.6,0.6
Djibouti,,Spinning Reserve costs: $m,,2024.0,0.6,0.6
Burundi,,Spinning Reserve costs: $m,,2030.0,0.9,0.9
Burundi,,Spinning Reserve costs: $m,,2024.0,0.9,0.9
Burundi,,Spinning Reserve costs: $m,,2036.0,0.9,0.9
Tanzania,,Spinning Reserve costs: $m,,2024.0,14.5,14.5
Tanzania,,Spinning Reserve costs: $m,,2030.0,14.5,14.9
Tanzania,,Spinning Reserve costs: $m,,2036.0,14.5,14.9
Uganda,,Spinning Reserve costs: $m,,2030.0,2.3,2.3
Uganda,,Spinning Reserve costs: $m,,2024.0,2.3,2.3
Uganda,,Spinning Reserve costs: $m,,2036.0,2.3,2.3
,,Additional transmission costs: $m,,,51.7,617.4
,,Fuel cost: $m,,,85335.8,82604.7
,,Unmet demand cost: $m,,,3150.0,3150.0
,,Zonal Spinning Reserve violation: $m,,,190.5,189.4
,,Zonal Planning Reserve violation: $m,,,1048.0,1700.4
,,Total Investment Undiscounted: $m,,,99359.0,98351.9
,,Total Trade: GWh,,,55496.5,83279.0
SouthSudan,SouthSudan,Imports exchange: GWh,,2024.0,97.9,97.8
Sudan,Sudan,Imports exchange: GWh,,2036.0,3045.0,16998.4
Ethiopia,Ethiopia,Imports exchange: GWh,,2024.0,18.7,18.3
Egypt,Egypt,Imports exchange: GWh,,2036.0,1319.8,9740.4
Sudan,Sudan,Imports exchange: GWh,,2024.0,3931.3,3931.2
Sudan,Sudan,Imports exchange: GWh,,2030.0,3813.9,3813.9
SouthSudan,SouthSudan,Imports exchange: GWh,,2030.0,53.0,53.0
SouthSudan,SouthSudan,Imports exchange: GWh,,2036.0,27.9,2065.1
Kenya,Kenya,Imports exchange: GWh,,2024.0,1469.8,1469.7
Tanzania,Tanzania,Imports exchange: GWh,,2030.0,3103.7,2782.5
Libya,Libya,Imports exchange: GWh,,2036.0,1256.4,2630.2
Libya,Libya,Imports exchange: GWh,,2030.0,1556.2,1556.2
Libya,Libya,Imports exchange: GWh,,2024.0,1569.8,1569.8
Kenya,Kenya,Imports exchange: GWh,,2036.0,10745.0,10881.5
Somalia,Somaliland,Imports exchange: GWh,,2036.0,824.3,1186.7
Tanzania,Tanzania,Imports exchange: GWh,,2024.0,4594.5,4594.4
Kenya,Kenya,Imports exchange: GWh,,2030.0,2899.2,2911.5
Djibouti,Djibouti,Imports exchange: GWh,,2024.0,710.1,709.7
Burundi,Burundi,Imports exchange: GWh,,2030.0,0.0,
Burundi,Burundi,Imports exchange: GWh,,2036.0,0.2,0.1
Burundi,Burundi,Imports exchange: GWh,,2024.0,236.5,236.5
Somalia,Somaliland,Imports exchange: GWh,,2030.0,692.0,692.9
Djibouti,Djibouti,Imports exchange: GWh,,2036.0,1177.0,1784.7
Djibouti,Djibouti,Imports exchange: GWh,,2030.0,1270.3,1270.3
DRC,Drc_E,Imports exchange: GWh,,2024.0,92.0,92.0
Tanzania,Tanzania,Imports exchange: GWh,,2036.0,5306.6,3944.2
Egypt,Egypt,Imports exchange: GWh,,2030.0,867.0,867.0
Egypt,Egypt,Imports exchange: GWh,,2024.0,550.9,550.8
Rwanda,Rwanda,Imports exchange: GWh,,2036.0,952.0,2430.4
Uganda,Uganda,Imports exchange: GWh,,2024.0,0.4,0.4
Uganda,Uganda,Imports exchange: GWh,,2036.0,3.9,492.5
Uganda,Uganda,Imports exchange: GWh,,2030.0,161.8,422.3
Rwanda,Rwanda,Imports exchange: GWh,,2030.0,1119.2,1065.1
Rwanda,Rwanda,Imports exchange: GWh,,2024.0,1198.6,1198.7
Ethiopia,Ethiopia,Imports exchange: GWh,,2030.0,308.9,310.4
Ethiopia,Ethiopia,Imports exchange: GWh,,2036.0,506.0,0.5
DRC,Drc_E,Imports exchange: GWh,,2036.0,16.8,897.1
DRC,Drc_E,Imports exchange: GWh,,2030.0,0.1,12.6
Rwanda,Rwanda,Exports exchange: GWh,,2030.0,0.3,12.7
Ethiopia,Ethiopia,Exports exchange: GWh,,2036.0,14141.7,30739.0
Rwanda,Rwanda,Exports exchange: GWh,,2036.0,64.3,102.3
Sudan,Sudan,Exports exchange: GWh,,2024.0,664.8,664.8
Tanzania,Tanzania,Exports exchange: GWh,,2024.0,0.4,0.3
SouthSudan,SouthSudan,Exports exchange: GWh,,2030.0,52.0,52.0
Kenya,Kenya,Exports exchange: GWh,,2024.0,3783.0,3782.8
Ethiopia,Ethiopia,Exports exchange: GWh,,2030.0,6911.7,6912.6
Somalia,Mogadishu,Exports exchange: GWh,,2036.0,,0.1
DRC,Drc_E,Exports exchange: GWh,,2024.0,0.1,0.1
Djibouti,Djibouti,Exports exchange: GWh,,2024.0,2.5,2.1
Somalia,Somaliland,Exports exchange: GWh,,2036.0,0.2,0.1
Djibouti,Djibouti,Exports exchange: GWh,,2036.0,2.7,0.1
Somalia,Somaliland,Exports exchange: GWh,,2030.0,180.3,180.7
Djibouti,Djibouti,Exports exchange: GWh,,2030.0,128.6,129.7
Kenya,Kenya,Exports exchange: GWh,,2036.0,4743.6,2050.9
SouthSudan,SouthSudan,Exports exchange: GWh,,2036.0,77.1,511.3
Tanzania,Tanzania,Exports exchange: GWh,,2036.0,0.8,772.2
Tanzania,Tanzania,Exports exchange: GWh,,2030.0,188.0,304.4
Kenya,Kenya,Exports exchange: GWh,,2030.0,3010.4,3038.7
Sudan,Sudan,Exports exchange: GWh,,2030.0,919.3,919.3
Egypt,Egypt,Exports exchange: GWh,,2024.0,3510.5,3510.5
Sudan,Sudan,Exports exchange: GWh,,2036.0,1563.3,9719.2
Ethiopia,Ethiopia,Exports exchange: GWh,,2024.0,3620.5,3620.0
Egypt,Egypt,Exports exchange: GWh,,2036.0,2814.8,3738.8
Egypt,Egypt,Exports exchange: GWh,,2030.0,3215.7,3215.7
DRC,Drc_E,Exports exchange: GWh,,2036.0,53.9,696.0
Uganda,Uganda,Exports exchange: GWh,,2036.0,1200.3,903.6
Uganda,Uganda,Exports exchange: GWh,,2030.0,766.1,711.1
Burundi,Burundi,Exports exchange: GWh,,2036.0,230.4,3761.8
Burundi,Burundi,Exports exchange: GWh,,2030.0,234.3,236.0
Uganda,Uganda,Exports exchange: GWh,,2024.0,2361.3,2361.3
Libya,Libya,Exports exchange: GWh,,2030.0,0.8,0.8
Libya,Libya,Exports exchange: GWh,,2024.0,0.1,0.1
Libya,Libya,Exports exchange: GWh,,2036.0,287.6,56.5
Rwanda,Rwanda,Exports exchange: GWh,,2024.0,527.3,527.3
DRC,Drc_E,Exports exchange: GWh,,2030.0,237.8,44.0
Rwanda,Rwanda,Net interchange: GWh,,2024.0,671.2,671.3
Rwanda,Rwanda,Net interchange: GWh,,2030.0,1118.9,1052.3
Rwanda,Rwanda,Net interchange: GWh,,2036.0,887.7,2328.1
Sudan,Sudan,Net interchange: GWh,,2024.0,3266.5,3266.5
Sudan,Sudan,Net interchange: GWh,,2036.0,1481.8,7279.3
Sudan,Sudan,Net interchange: GWh,,2030.0,2894.6,2894.6
Tanzania,Tanzania,Net interchange: GWh,,2024.0,4594.1,4594.0
Somalia,Somaliland,Net interchange: GWh,,2036.0,824.1,1186.6
Somalia,Somaliland,Net interchange: GWh,,2030.0,511.7,512.2
Libya,Libya,Net interchange: GWh,,2024.0,1569.7,1569.7
Libya,Libya,Net interchange: GWh,,2030.0,1555.4,1555.4
Kenya,Kenya,Net interchange: GWh,,2036.0,6001.4,8830.6
Djibouti,Djibouti,Net interchange: GWh,,2030.0,1141.7,1140.6
Djibouti,Djibouti,Net interchange: GWh,,2024.0,707.6,707.5
Djibouti,Djibouti,Net interchange: GWh,,2036.0,1174.3,1784.6
SouthSudan,SouthSudan,Net interchange: GWh,,2030.0,1.0,1.0
Tanzania,Tanzania,Net interchange: GWh,,2036.0,5305.7,3172.0
SouthSudan,SouthSudan,Net interchange: GWh,,2036.0,,1553.8
SouthSudan,SouthSudan,Net interchange: GWh,,2024.0,97.9,97.8
Libya,Libya,Net interchange: GWh,,2036.0,968.8,2573.7
Tanzania,Tanzania,Net interchange: GWh,,2030.0,2915.6,2478.1
DRC,Drc_E,Net interchange: GWh,,2036.0,,201.1
DRC,Drc_E,Net interchange: GWh,,2024.0,92.0,92.0
