country,zone,attribute,resolution,year,RETRADE_P1,baseline
Egypt,,Average Planning Reserve violation: $m,,,0.0,0.0
Libya,,Average Planning Reserve violation: $m,,,9.0,9.0
Ethiopia,,Average Unmet demand costs: $m,,,0.0,0.0
Uganda,,Average Unmet demand costs: $m,,,0.0,0.0
Djibouti,,Average Unmet demand costs: $m,,,0.0,0.0
SouthSudan,,Average Unmet demand costs: $m,,,0.0,0.0
Libya,,Average Unmet demand costs: $m,,,0.0,0.0
Egypt,,Average Unmet demand costs: $m,,,0.0,0.0
Sudan,,Average Unmet demand costs: $m,,,0.0,0.0
Kenya,,Average Unmet demand costs: $m,,,0.0,0.0
Tanzania,,Average Unmet demand costs: $m,,,0.0,0.0
DRC,,Average Unmet demand costs: $m,,,0.0,0.0
Rwanda,,Average Unmet demand costs: $m,,,0.0,0.0
Burundi,,Average Unmet demand costs: $m,,,0.0,0.0
Somalia,,Average Unmet demand costs: $m,,,0.0,0.0
Burundi,Burundi,Demand: GWh,,2024.0,1105.4,1105.4
Somalia,SomaliaROC,Demand: GWh,,2024.0,123.0,123.0
Somalia,SomaliaROC,Demand: GWh,,2030.0,169.0,169.0
Rwanda,Rwanda,Demand: GWh,,2024.0,1368.0,1368.0
Burundi,Burundi,Demand: GWh,,2036.0,3081.8,3081.8
Burundi,Burundi,Demand: GWh,,2030.0,2308.0,2308.0
Somalia,SomaliaROC,Demand: GWh,,2036.0,1202.0,1202.0
Somalia,Somaliland,Demand: GWh,,2036.0,1609.0,1609.0
DRC,Drc_E,Demand: GWh,,2024.0,632.5,632.5
DRC,Drc_E,Demand: GWh,,2030.0,830.5,830.5
Libya,Libya,Demand: GWh,,2036.0,73016.4,73016.4
Libya,Libya,Demand: GWh,,2030.0,54692.3,54692.3
DRC,Drc_E,Demand: GWh,,2036.0,1037.0,1037.0
Libya,Libya,Demand: GWh,,2024.0,38687.6,38687.6
Uganda,Uganda,Demand: GWh,,2030.0,9650.0,9650.0
Uganda,Uganda,Demand: GWh,,2036.0,13464.4,13464.4
Somalia,Mogadishu,Demand: GWh,,2024.0,131.0,131.0
Egypt,Egypt,Demand: GWh,,2024.0,206570.0,206570.0
Egypt,Egypt,Demand: GWh,,2036.0,304078.0,304078.0
Tanzania,Tanzania,Demand: GWh,,2036.0,53598.6,53598.6
Uganda,Uganda,Demand: GWh,,2024.0,6013.0,6013.0
Kenya,Kenya,Demand: GWh,,2030.0,18680.0,18680.0
Kenya,Kenya,Demand: GWh,,2024.0,13760.0,13760.0
Somalia,Mogadishu,Demand: GWh,,2030.0,524.0,524.0
Sudan,Sudan,Demand: GWh,,2030.0,32110.2,32110.2
Somalia,Mogadishu,Demand: GWh,,2036.0,1806.0,1806.0
Sudan,Sudan,Demand: GWh,,2024.0,23559.1,23559.1
Kenya,Kenya,Demand: GWh,,2036.0,25956.0,25956.0
Sudan,Sudan,Demand: GWh,,2036.0,43766.2,43766.2
Tanzania,Tanzania,Demand: GWh,,2024.0,12609.9,12609.9
Tanzania,Tanzania,Demand: GWh,,2030.0,27298.8,27298.8
Egypt,Egypt,Demand: GWh,,2030.0,258970.0,258970.0
Djibouti,Djibouti,Demand: GWh,,2024.0,750.4,750.4
Djibouti,Djibouti,Demand: GWh,,2030.0,1125.6,1125.6
Somalia,Somaliland,Demand: GWh,,2030.0,458.0,458.0
Somalia,Somaliland,Demand: GWh,,2024.0,133.0,133.0
Djibouti,Djibouti,Demand: GWh,,2036.0,1734.0,1734.0
Ethiopia,Ethiopia,Demand: GWh,,2024.0,17785.0,17785.0
SouthSudan,SouthSudan,Demand: GWh,,2024.0,2945.0,2945.0
SouthSudan,SouthSudan,Demand: GWh,,2030.0,4274.0,4274.0
SouthSudan,SouthSudan,Demand: GWh,,2036.0,5705.5,5705.5
Ethiopia,Ethiopia,Demand: GWh,,2036.0,56139.0,56139.0
Ethiopia,Ethiopia,Demand: GWh,,2030.0,33997.0,33997.0
Rwanda,Rwanda,Demand: GWh,,2036.0,4294.0,4294.0
Rwanda,Rwanda,Demand: GWh,,2030.0,2424.0,2424.0
Tanzania,Tanzania,Generation: GWh,,2024.0,8153.8,8153.7
Sudan,Sudan,Generation: GWh,,2036.0,42847.1,37257.6
Egypt,Egypt,Generation: GWh,,2024.0,209546.6,209546.3
