uni,value
WACC,0.1
DR,0.06
VOLL,10000.0
ReserveVoLL,60000.0
SpinReserveVoLL,100.0
costSurplus,1000.0
costcurtail,1000.0
CO2backstop,300.0
H2UnservedCost,3000.0
includeStorage,1.0
econRetire,1.0
interconMode,1.0
altDemand,1.0
Captraj,1.0
planning_reserve_constraints,1.0
system_reserve_margin,0.1
system_spinning_reserve_constraints,1.0
RETargetYr,2025.0
MaxCapital,1000.0
MaxImports,1.0
MaxExports,1.0
VREForecastError,0.1
VRECapacityCredits,1.0
Systemresultreporting,1.0
FuelPriceScenario,1.0
CapCreditSolar,0.1
CapCreditWind,0.25
IncludeMaxAnnualBuild,1.0
EarlyRetirement,2026.0
MaxLoadFractionCCCalc,0.1
