uni_0,uni_1,value
SMR_Northwest,2028,0.9945454545454544
SMR_Northwest,2029,0.9927272727272728
SMR_Northwest,2030,0.990909090909091
SMR_Northwest,2031,0.9890909090909092
SMR_Northwest,2032,0.9872727272727272
SMR_Northwest,2033,0.9854545454545456
SMR_Northwest,2034,0.9836363636363636
SMR_Northwest,2035,0.9818181818181818
SMR_Northwest,2036,0.98
SMR_Northwest,2037,0.9781818181818182
SMR_Northwest,2038,0.9763636363636364
SMR_Northwest,2039,0.9745454545454546
SMR_Northwest,2040,0.9727272727272728
SMR_Northwest,2041,0.9709090909090908
SMR_Northwest,2042,0.9690909090909092
SMR_Northwest,2043,0.9672727272727272
SMR_Northwest,2044,0.9654545454545456
SMR_Northwest,2045,0.9636363636363636
SMR_Northwest,2046,0.961818181818182
SMR_Northwest,2047,0.96
SMR_Northwest,2048,0.9581818181818182
SMR_Northwest,2049,0.9563636363636364
SMR_Northwest,2050,0.9545454545454546
SMR_Northwest,2051,0.9545454545454546
SMR_Northwest,2052,0.9545454545454546
SMR_Northwest,2053,0.9545454545454546
SMR_WestAna,2024,1.0
SMR_WestAna,2025,1.0
SMR_WestAna,2026,0.9981818181818182
SMR_WestAna,2027,0.9963636363636365
SMR_WestAna,2028,0.9945454545454544
SMR_WestAna,2029,0.9927272727272728
SMR_WestAna,2030,0.990909090909091
SMR_WestAna,2031,0.9890909090909092
SMR_WestAna,2032,0.9872727272727272
SMR_WestAna,2033,0.9854545454545456
SMR_WestAna,2034,0.9836363636363636
SMR_WestAna,2035,0.9818181818181818
SMR_WestAna,2036,0.98
SMR_WestAna,2037,0.9781818181818182
SMR_WestAna,2038,0.9763636363636364
SMR_WestAna,2039,0.9745454545454546
SMR_WestAna,2040,0.9727272727272728
SMR_WestAna,2041,0.9709090909090908
SMR_WestAna,2042,0.9690909090909092
SMR_WestAna,2043,0.9672727272727272
SMR_WestAna,2044,0.9654545454545456
SMR_WestAna,2045,0.9636363636363636
SMR_WestAna,2046,0.961818181818182
SMR_WestAna,2047,0.96
SMR_WestAna,2048,0.9581818181818182
SMR_WestAna,2049,0.9563636363636364
SMR_WestAna,2050,0.9545454545454546
SMR_WestAna,2051,0.9545454545454546
SMR_WestAna,2052,0.9545454545454546
SMR_WestAna,2053,0.9545454545454546
GEBZE_1_NG,2024,1.0
GEBZE_1_NG,2025,1.0
GEBZE_1_NG,2026,1.0
GEBZE_1_NG,2027,1.0
GEBZE_1_NG,2028,1.0
GEBZE_1_NG,2029,1.0
GEBZE_1_NG,2030,1.0
GEBZE_1_NG,2031,1.0
GEBZE_1_NG,2032,1.0
GEBZE_1_NG,2033,1.0
GEBZE_1_NG,2034,1.0
GEBZE_1_NG,2035,1.0
GEBZE_1_NG,2036,1.0
GEBZE_1_NG,2037,1.0
GEBZE_1_NG,2038,1.0
GEBZE_1_NG,2039,1.0
GEBZE_1_NG,2040,1.0
GEBZE_1_NG,2041,1.0
GEBZE_1_NG,2042,1.0
GEBZE_1_NG,2043,1.0
GEBZE_1_NG,2044,1.0
GEBZE_1_NG,2045,1.0
GEBZE_1_NG,2046,1.0
GEBZE_1_NG,2047,1.0
GEBZE_1_NG,2048,1.0
GEBZE_1_NG,2049,1.0
GEBZE_1_NG,2050,1.0
GEBZE_1_NG,2051,1.0
GEBZE_1_NG,2052,1.0
GEBZE_1_NG,2053,1.0
GEBZE_2_NG,2024,1.0
GEBZE_2_NG,2025,1.0
GEBZE_2_NG,2026,1.0
GEBZE_2_NG,2027,1.0
GEBZE_2_NG,2028,1.0
GEBZE_2_NG,2029,1.0
GEBZE_2_NG,2030,1.0
GEBZE_2_NG,2031,1.0
GEBZE_2_NG,2032,1.0
GEBZE_2_NG,2033,1.0
GEBZE_2_NG,2034,1.0
GEBZE_2_NG,2035,1.0
GEBZE_2_NG,2036,1.0
GEBZE_2_NG,2037,1.0
GEBZE_2_NG,2038,1.0
GEBZE_2_NG,2039,1.0
GEBZE_2_NG,2040,1.0
GEBZE_2_NG,2041,1.0
GEBZE_2_NG,2042,1.0
GEBZE_2_NG,2043,1.0
GEBZE_2_NG,2044,1.0
GEBZE_2_NG,2045,1.0
GEBZE_2_NG,2046,1.0
GEBZE_2_NG,2047,1.0
GEBZE_2_NG,2048,1.0
GEBZE_2_NG,2049,1.0
GEBZE_2_NG,2050,1.0
GEBZE_2_NG,2051,1.0
GEBZE_2_NG,2052,1.0
GEBZE_2_NG,2053,1.0
ADA_NG,2024,1.0
ADA_NG,2025,1.0
ADA_NG,2026,1.0
ADA_NG,2027,1.0
ADA_NG,2028,1.0
ADA_NG,2029,1.0
ADA_NG,2030,1.0
ADA_NG,2031,1.0
ADA_NG,2032,1.0
ADA_NG,2033,1.0
ADA_NG,2034,1.0
ADA_NG,2035,1.0
ADA_NG,2036,1.0
ADA_NG,2037,1.0
ADA_NG,2038,1.0
ADA_NG,2039,1.0
ADA_NG,2040,1.0
ADA_NG,2041,1.0
ADA_NG,2042,1.0
ADA_NG,2043,1.0
ADA_NG,2044,1.0
ADA_NG,2045,1.0
ADA_NG,2046,1.0
ADA_NG,2047,1.0
ADA_NG,2048,1.0
ADA_NG,2049,1.0
ADA_NG,2050,1.0
ADA_NG,2051,1.0
ADA_NG,2052,1.0
ADA_NG,2053,1.0
ALES_NG,2024,1.0
ALES_NG,2025,1.0
ALES_NG,2026,1.0
ALES_NG,2027,1.0
ALES_NG,2028,1.0
ALES_NG,2029,1.0
ALES_NG,2030,1.0
ALES_NG,2031,1.0
ALES_NG,2032,1.0
ALES_NG,2033,1.0
ALES_NG,2034,1.0
ALES_NG,2035,1.0
ALES_NG,2036,1.0
ALES_NG,2037,1.0
ALES_NG,2038,1.0
ALES_NG,2039,1.0
