uni_0,uni_1
WestMed,WestAna
WestMed,EastMed
WestMed,NorthWest
WestMed,CenterAna
WestAna,WestMed
WestAna,NorthWest
WestAna,Trakia
EastMed,WestMed
EastMed,SouthEast
EastMed,CenterAna
EastAna,SouthEast
EastAna,CenterBlack
EastAna,Inter_EastAna
SouthEast,EastMed
SouthEast,EastAna
SouthEast,CenterAna
SouthEast,CenterBlack
SouthEast,Inter_SouthEast
NorthWest,WestMed
NorthWest,WestAna
NorthWest,CenterAna
NorthWest,CenterBlack
NorthWest,Trakia
CenterAna,WestMed
CenterAna,EastMed
CenterAna,SouthEast
CenterAna,NorthWest
CenterAna,CenterBlack
CenterBlack,EastAna
CenterBlack,SouthEast
CenterBlack,NorthWest
CenterBlack,CenterAna
Trakia,WestAna
Trakia,NorthWest
Trakia,Inter_Trakia
Inter_Trakia,Trakia
Inter_EastAna,EastAna
Inter_SouthEast,SouthEast
Bulgaria,Trakia
Trakia,Bulgaria
CenterBlack,Georgia
Georgia,CenterBlack
Romania,Bulgaria
Bulgaria,Romania
Georgia,Armenia
Armenia,Georgia
Georgia,AzerbaijanMain
AzerbaijanMain,Georgia
Nakhchivan,AzerbaijanMain
AzerbaijanMain,Nakhchivan
Nakhchivan,EastAna
EastAna,Nakhchivan
Nakhchivan,Inter_Nakhchivan_Iran
