q,d,Angola,Botswana,DRC,DRC_South,Eswatini,Lesotho,Malawi,Mozambique,Namibia,South_Africa,Tanzania,Zambia,Zimbabwe
Q1,d1,0.091875,0.224708333,0.039375,0.039375,0.144208333,0.4185,0.064583333,0.242708333,0.378416667,0.254958333,0.038666667,0.516333333,0.544583333
Q1,d2,0.092125,0.677666667,0.064541667,0.064541667,0.066125,0.003625,0.036083333,0.092,0.620541667,0.0775,0.025416667,0.042125,0.177166667
Q1,d3,0.184208333,0.230916667,0.02925,0.02925,0.38975,0.069083333,0.212416667,0.114791667,0.086833333,0.176875,0.086416667,0.147791667,0.077583333
Q1,d4,0.004833333,0.407666667,0.070291667,0.070291667,0.0535,0.006125,0.139666667,0.375333333,0.413291667,0.240875,0.120375,0.238125,0.546166667
Q2,d1,0.390125,0.438583333,0.054041667,0.054041667,0.219625,0.078041667,0.2655,0.047,0.172458333,0.391208333,0.2705,0.376375,0.145458333
Q2,d2,0.057708333,0.208,0.035208333,0.035208333,0.174125,0.048375,0.558291667,0.151125,0.181083333,0.33425,0.262125,0.439708333,0.21225
Q2,d3,0.172041667,0.549958333,0.027333333,0.027333333,0.182458333,0.254875,0.145583333,0.025125,0.682333333,0.292833333,0.24775,0.180208333,0.319916667
Q2,d4,0.352125,0.733708333,0.083291667,0.083291667,0.264333333,0.305208333,0.036875,0.108333333,0.250833333,0.167958333,0.251791667,0.093333333,0.01125
Q3,d1,0.386791667,0.413041667,0.134125,0.134125,0.193166667,0.080791667,0.214041667,0.487625,0.717208333,0.093416667,0.325083333,0.47475,0.271125
Q3,d2,0.301458333,0.070583333,0.068333333,0.068333333,0.622666667,0.21575,0.073666667,0.11525,0.907666667,0.440791667,0.26675,0.216416667,0.116291667
Q3,d3,0.502958333,0.719916667,0.092,0.092,0.302958333,0.5775,0.047625,0.148333333,0.104666667,0.407541667,0.354916667,0.303541667,0.143458333
Q3,d4,0.137,0.38625,0.126416667,0.126416667,0.234208333,0.363833333,0.415333333,0.235458333,0.667541667,0.57475,0.442958333,0.583125,0.278041667
Q4,d1,0.124958333,0.702875,0.076291667,0.076291667,0.121875,0.072041667,0.181416667,0.129708333,0.11575,0.592291667,0.531791667,0.84275,0.866291667
Q4,d2,0.089125,0.804916667,0.074375,0.074375,0.170958333,0.677791667,0.311958333,0.195291667,0.077958333,0.433458333,0.454708333,0.533083333,0.294708333
Q4,d3,0.275083333,0.37025,0.040541667,0.040541667,0.456291667,0.087083333,0.189958333,0.190291667,0.239625,0.180916667,0.378708333,0.096666667,0.122958333
Q4,d4,0.040875,0.196208333,0.072708333,0.072708333,0.123708333,0.303,0.252875,0.251041667,0.304833333,0.802416667,0.129041667,0.377083333,0.357375
