Plants,StYr,RetrYr,Zone,Capacity,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,Type,fuel1,fuel2,Status,HeatRate2,VRETech,UnitSize,pvwsto,stowpv,RE_Flag,CapacityCredit,Error
AE,2018,2090,1,100000,0,2.7296,1,1,,,1600,5.1,,0.3,12.84246575,100000,100000,0,1,,,3,,,100000,,,,,305735.9721
PEM,2018,2090,2,100000,0,2.52488,1,1,,,1600,5.1,,0.3,12.84246575,100000,100000,0,1,,,3,,,100000,,,,,305736.7673
SOE,2051,2080,1,100000,0,3.0708,1,1,,,1600,5.1,,0.65,8.989726027,100000,100000,0,1,,,3,,,100000,,,,,305755.8105
AE2,2018,2035,2,100000,0,2.7296,1,1,,,1600,5.1,,0.3,12.84246575,100000,100000,0,1,,,3,,,100000,,,,,305681.9721
