,,,,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Liberia,HydroMC,m1,d18,0.173200686,0.170376762,0.170376762,0.173200686,0.173200686,0.173200686,0.170376762,0.17131807,0.173200686,0,0,0,0.172259378,0.17131807,0.174141994,0.17131807,0.172259378,0.174141994,0.172259378,0.17131807,0.174141994,0.17131807,0.173200686,0.174141994
Liberia,HydroMC,m1,d19,0.172259378,0.170376762,0.174141994,0.170376762,0.173200686,0.17131807,0.172259378,0.174141994,0.1515506,0,0,0,0.057419793,0.173200686,0.174141994,0.174141994,0.174141994,0.173200686,0.17131807,0.17131807,0.174141994,0.17131807,0.174141994,0.172259378
Liberia,HydroMC,m1,d20,0.173200686,0.170376762,0.170376762,0.170376762,0.173200686,0.173200686,0.173200686,0.173200686,0.173200686,0,0,0,0,0,0,0.17602461,0.174141994,0.172259378,0.172259378,0.174141994,0.174141994,0.174141994,0.174141994,0.174141994
Liberia,HydroMC,m1,d21,0.174141994,0.173200686,0.173200686,0.17131807,0.172259378,0.174141994,0.170376762,0.173200686,0.173200686,0,0,0,0,0,0,0,0.173200686,0.175083302,0.172259378,0.175083302,0.172259378,0.173200686,0.173200686,0.174141994
Liberia,HydroMC,m1,d22,0.172259378,0.17131807,0.17131807,0.174141994,0.17131807,0.17131807,0.172259378,0.17131807,0.172259378,0.169435454,0,0,0,0,0,0.100719964,0.174141994,0.175083302,0.173200686,0.173200686,0.173200686,0.175083302,0.175083302,0.172259378
Liberia,HydroMC,m1,d23,0.174141994,0.173200686,0.17131807,0.17131807,0.174141994,0.172259378,0.174141994,0.174141994,0,0,0,0,0,0,0,0.173200686,0.172259378,0.17602461,0.175083302,0.174141994,0.17131807,0.176965918,0.17602461,0.174141994
Liberia,HydroMC,m1,d24,0,0,0,0,0,0,0.17602461,0.17602461,0.175083302,0.175083302,0.175083302,0.172259378,0.173200686,0.173200686,0.172259378,0.175083302,0.174141994,0.17131807,0.17131807,0.174141994,0.17131807,0.170376762,0.173200686,0.1515506
Liberia,HydroMC,m1,d25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080952495,0.125193974,0.174141994,0.17131807,0.17131807,0.17131807,0.173200686,0.173200686,0.172259378,0.176965918,0.173200686
Liberia,HydroMC,m1,d26,0.17602461,0.173200686,0.17602461,0,0,0,0,0,0,0.00470654,0.174141994,0.174141994,0.174141994,0.172259378,0.172259378,0.173200686,0.174141994,0.174141994,0.174141994,0.17131807,0.17131807,0.170376762,0.170376762,0.174141994
Liberia,HydroMC,m1,d27,0.174141994,0.174141994,0.176965918,0,0,0,0.177907226,0.175083302,0.175083302,0.176965918,0.176965918,0.176965918,0.175083302,0.176965918,0.176965918,0,0,0,0.17602461,0.175083302,0.177907226,0.176965918,0.17602461,0.177907226
