Plant,Season,Day,cf
MTCoffee ,m1,d1,0.429672
MTCoffee ,m1,d2,0.419381
MTCoffee ,m1,d3,0.40928
MTCoffee ,m1,d4,0.368561
MTCoffee ,m1,d5,0.350758
MTCoffee ,m1,d6,0.347664
MTCoffee ,m1,d7,0.332765
MTCoffee ,m1,d8,0.321402
MTCoffee ,m1,d9,0.347348
MTCoffee ,m1,d10,0.285669
MTCoffee ,m1,d11,0.339646
MTCoffee ,m1,d12,0.292551
MTCoffee ,m1,d13,0.282197
MTCoffee ,m1,d14,0.280556
MTCoffee ,m1,d15,0.278977
MTCoffee ,m1,d16,0.277778
MTCoffee ,m1,d17,0.18428
MTCoffee ,m1,d18,0.242803
MTCoffee ,m1,d19,0.234091
MTCoffee ,m1,d20,0.208965
MTCoffee ,m1,d21,0.197412
MTCoffee ,m1,d22,0.215215
MTCoffee ,m1,d23,0.198106
MTCoffee ,m1,d24,0.207955
MTCoffee ,m1,d25,0.118245
MTCoffee ,m1,d26,0.197854
MTCoffee ,m1,d27,0.212816
MTCoffee ,m1,d28,0.286237
MTCoffee ,m1,d29,0.351705
MTCoffee ,m1,d30,0.575316
MTCoffee ,m1,d31,0.381313
MTCoffee ,m2,d1,0.377588
MTCoffee ,m2,d2,0.443497
MTCoffee ,m2,d3,0.288889
MTCoffee ,m2,d4,0.288384
MTCoffee ,m2,d5,0.283207
MTCoffee ,m2,d6,0.278535
MTCoffee ,m2,d7,0.168056
MTCoffee ,m2,d8,0.182008
MTCoffee ,m2,d9,0.17721
MTCoffee ,m2,d10,0.173864
MTCoffee ,m2,d11,0.173864
MTCoffee ,m2,d12,0.177462
MTCoffee ,m2,d13,0.181944
MTCoffee ,m2,d14,0.197222
MTCoffee ,m2,d15,0.21875
MTCoffee ,m2,d16,0.22077
MTCoffee ,m2,d17,0.279482
MTCoffee ,m2,d18,0.278346
MTCoffee ,m2,d19,0.276136
MTCoffee ,m2,d20,0.211048
MTCoffee ,m2,d21,0.208775
MTCoffee ,m2,d22,0.17279
MTCoffee ,m2,d23,0.161742
MTCoffee ,m2,d24,0.16976
MTCoffee ,m2,d25,0.134659
MTCoffee ,m2,d26,0.113699
MTCoffee ,m2,d27,0.10423
MTCoffee ,m2,d28,0.113763
MTCoffee ,m3,d1,0.091982
MTCoffee ,m3,d2,0.080871
MTCoffee ,m3,d3,0.086427
MTCoffee ,m3,d4,0.098169
MTCoffee ,m3,d5,0.120265
MTCoffee ,m3,d6,0.13649
MTCoffee ,m3,d7,0.195265
MTCoffee ,m3,d8,0.231566
MTCoffee ,m3,d9,0.261174
MTCoffee ,m3,d10,0.332513
MTCoffee ,m3,d11,0.319003
MTCoffee ,m3,d12,0.275126
MTCoffee ,m3,d13,0.268308
MTCoffee ,m3,d14,0.213889
MTCoffee ,m3,d15,0.217298
MTCoffee ,m3,d16,0.209722
MTCoffee ,m3,d17,0.187753
MTCoffee ,m3,d18,0.217992
MTCoffee ,m3,d19,0.150316
MTCoffee ,m3,d20,0.281566
MTCoffee ,m3,d21,0.274116
MTCoffee ,m3,d22,0.28548
MTCoffee ,m3,d23,0.270707
MTCoffee ,m3,d24,0.253157
MTCoffee ,m3,d25,0.228283
MTCoffee ,m3,d26,0.238005
MTCoffee ,m3,d27,0.194255
MTCoffee ,m3,d28,0.212247
MTCoffee ,m3,d29,0.193308
MTCoffee ,m3,d30,0.343182
MTCoffee ,m3,d31,0.401831
MTCoffee ,m4,d1,0.509154
MTCoffee ,m4,d2,0.496907
MTCoffee ,m4,d3,0.455114
MTCoffee ,m4,d4,0.42197
MTCoffee ,m4,d5,0.340909
MTCoffee ,m4,d6,0.332323
MTCoffee ,m4,d7,0.350316
MTCoffee ,m4,d8,0.272664
MTCoffee ,m4,d9,0.297854
MTCoffee ,m4,d10,0.34154
MTCoffee ,m4,d11,0.36471
MTCoffee ,m4,d12,0.333333
MTCoffee ,m4,d13,0.277715
MTCoffee ,m4,d14,0.344823
