,,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
Liberia,Peak,84,95,107,121,137,155,175,198,223,252,285,322
Liberia,Energy,453,512,578,654,739,835,943,1066,1204,1361,1538,1738
