Fuel Type,CO2
Gas,0.05306
RFO,0.0751
Diesel,0.07325
Coal,0.09717
Hydro,0
HFO,0.0751
Import,0
Wind,0
Solar,0
LCO,0.0775425
Biomass,0
CustomFuel,0
Battery,0
