paramNames,file
pFuelPrice,data/FuelPrice.csv
ftfindex,data/ftfindex.csv
pAvailability,data/pAvailability_baseline.csv
pProbaScenarios,data/pProbaScenarios_baseline.csv
pAvailabilityH2,data/pAvailabilityH2.csv
pCapexTrajectory,data/pCapexTrajectory.csv
pCapexTrajectoryH2,data/pCapexTrajectoryH2.csv
pCarbonPrice,data/pCarbonPrice.csv
pCSPData,data/pCSPData.csv
pDemandData,data/pDemandData.csv
pDemandForecast,data/pDemandForecast.csv
pDemandProfile,data/pDemandProfile.csv
peak,data/peak.csv
pEmissionsTotal,data/pEmissionsTotal.csv
pEmissionsCountry,data/pEmissionsCountry.csv
pEnergyEfficiencyFactor,data/pEnergyEfficiencyFactor.csv
pExternalH2,data/pExternalH2.csv
pExtTransferLimit,data/pExtTransferLimit.csv
pFuelData,data/pFuelData.csv
pFuelPrice,data/pFuelPrice.csv
pFuelTypeCarbonContent,data/pFuelTypeCarbonContent.csv
pGenDataExcel,data/pGenData.csv
pH2DataExcel,data/pH2DataExcel.csv
pHours,data/pHours.csv
pLossFactor,data/pLossFactor.csv
pMaxExchangeShare,data/pMaxExchangeShare.csv
pMaxFuellimit,data/pMaxFuellimit.csv
pMaxPriceImportShare,data/pMaxPriceImportShare.csv
pNewTransmission,data/pNewTransmission.csv
pPlanningReserveMargin,data/pPlanningReserveMargin.csv
pSpinningReserveReqCountry,data/pSpinningReserveReqCountry.csv
pSpinningReserveReqSystem,data/pSpinningReserveReqSystem.csv
pScalars,data/pScalars.csv
pStorDataExcel,data/pStorDataExcel.csv
pTechDataExcel,data/pTechDataExcel.csv
pTradePrice,data/pTradePrice.csv
pTransferLimit,data/pTransferLimit.csv
pVREgenProfile,data/pVREgenProfile.csv
pVREProfile,data/pVREProfile.csv
pZoneIndex,data/pZoneIndex.csv
relevant,data/relevant.csv
reserve,data/reserve.csv
sTopology,data/sTopology.csv
y,data/y.csv
zcmapExcel,data/zcmapExcel.csv
zext,data/zext.csv
