,,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Liberia,HFO,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Liberia,Diesel,14.37248388,14.32319099,14.2740882,14.22517476,14.17644994,14.12791303,14.07956329,14.03140001,13.85261566,13.6764005,13.50271762,13.33153062,13.16280365,12.99650134,12.83258885,12.67103184,12.51179647,12.35484936,12.35484936,12.35484936,12.35484936,12.35484936,12.35484936,12.35484936,12.35484936,12.35484936,12.35484936,12.35484936
Liberia,LNG,12.76535295,12.72769436,12.69018099,12.65281228,12.61558769,12.57850664,12.54156859,12.50477299,12.368186,12.23356182,12.10087223,11.97008944,11.84118604,11.71413503,11.58890979,11.46548409,11.34383205,11.2239282,11.2239282,11.2239282,11.2239282,11.2239282,11.2239282,11.2239282,11.2239282,11.2239282,11.2239282,11.2239282
Liberia,Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
