Zone,m,d,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Liberia,m1,d1,0.734141,0.705354,0.686162,0.66697,0.647778,0.657374,0.657374,0.657374,0.695758,0.695758,0.66697,0.609394,0.61899,0.695758,0.714949,0.714949,0.686162,0.686162,0.772525,0.791717,0.839697,0.839697,0.782121,0.762929
Liberia,m1,d2,0.724545,0.657374,0.628586,0.609394,0.647778,0.657374,0.657374,0.647778,0.647778,0.657374,0.676566,0.695758,0.686162,0.714949,0.714949,0.753333,0.714949,0.66697,0.724545,0.820505,0.830101,0.830101,0.801313,0.762929
Liberia,m1,d3,0.724545,0.695758,0.676566,0.657374,0.657374,0.676566,0.695758,0.695758,0.724545,0.724545,0.724545,0.695758,0.695758,0.714949,0.714949,0.724545,0.724545,0.724545,0.714949,0.830101,0.878081,0.858889,0.782121,0.753333
Liberia,m1,d4,0.714949,0.686162,0.66697,0.657374,0.657374,0.695758,0.714949,0.695758,0.705354,0.705354,0.705354,0.686162,0.695758,0.705354,0.714949,0.66697,0.705354,0.66697,0.791717,0.858889,0.868485,0.858889,0.810909,0.762929
Liberia,m1,d5,0.714949,0.686162,0.66697,0.647778,0.52303,0.686162,0.714949,0.676566,0.647778,0.695758,0.66697,0.657374,0.647778,0.66697,0.638182,0.61899,0.628586,0.647778,0.734141,0.839697,0.858889,0.839697,0.830101,0.695758
Liberia,m1,d6,0.705354,0.66697,0.647778,0.638182,0.647778,0.676566,0.695758,0.686162,0.695758,0.695758,0.676566,0.647778,0.628586,0.647778,0.66697,0.695758,0.686162,0.714949,0.772525,0.858889,0.878081,0.858889,0.830101,0.772525
Liberia,m1,d7,0.734141,0.714949,0.695758,0.676566,0.66697,0.695758,0.695758,0.695758,0.628586,0.657374,0.66697,0.676566,0.676566,0.686162,0.66697,0.695758,0.705354,0.66697,0.772525,0.849293,0.868485,0.858889,0.830101,0.734141
Liberia,m1,d8,0.743737,0.714949,0.695758,0.676566,0.66697,0.686162,0.695758,0.695758,0.705354,0.705354,0.66697,0.66697,0.647778,0.695758,0.705354,0.705354,0.657374,0.705354,0.782121,0.839697,0.849293,0.849293,0.810909,0.762929
Liberia,m1,d9,0.734141,0.705354,0.686162,0.66697,0.686162,0.772525,0.791717,0.657374,0.686162,0.676566,0.676566,0.705354,0.638182,0.657374,0.695758,0.714949,0.714949,0.714949,0.801313,0.878081,0.887677,0.868485,0.810909,0.762929
Liberia,m1,d10,0.695758,0.705354,0.686162,0.66697,0.686162,0.772525,0.801313,0.686162,0.686162,0.695758,0.695758,0.695758,0.695758,0.686162,0.695758,0.66697,0.705354,0.714949,0.801313,0.878081,0.906869,0.887677,0.839697,0.791717
Liberia,m1,d11,0.753333,0.724545,0.714949,0.695758,0.714949,0.791717,0.801313,0.705354,0.705354,0.705354,0.705354,0.66697,0.66697,0.676566,0.695758,0.686162,0.676566,0.657374,0.762929,0.830101,0.878081,0.878081,0.839697,0.791717
Liberia,m1,d12,0.753333,0.734141,0.714949,0.705354,0.714949,0.791717,0.782121,0.686162,0.676566,0.695758,0.66697,0.66697,0.676566,0.676566,0.657374,0.676566,0.628586,0.695758,0.782121,0.868485,0.887677,0.810909,0.820505,0.772525
Liberia,m1,d13,0.724545,0.714949,0.695758,0.686162,0.695758,0.772525,0.810909,0.714949,0.714949,0.714949,0.724545,0.724545,0.686162,0.705354,0.705354,0.714949,0.686162,0.695758,0.724545,0.858889,0.849293,0.839697,0.801313,0.772525
Liberia,m1,d14,0.753333,0.724545,0.686162,0.628586,0.676566,0.705354,0.714949,0.676566,0.66697,0.676566,0.676566,0.638182,0.638182,0.66697,0.686162,0.686162,0.676566,0.714949,0.868485,0.820505,0.849293,0.657374,0.714949,0.705354
Liberia,m1,d15,0.676566,0.647778,0.628586,0.61899,0.609394,0.61899,0.695758,0.705354,0.714949,0.714949,0.695758,0.695758,0.638182,0.714949,0.686162,0.714949,0.714949,0.714949,0.772525,0.734141,0.743737,0.743737,0.753333,0.714949
Liberia,m1,d16,0.734141,0.705354,0.647778,0.66697,0.686162,0.772525,0.743737,0.647778,0.647778,0.66697,0.676566,0.676566,0.686162,0.695758,0.705354,0.714949,0.734141,0.695758,0.762929,0.695758,0.686162,0.676566,0.628586,0.647778
Liberia,m1,d17,0.628586,0.609394,0.647778,0.638182,0.657374,0.743737,0.753333,0.484646,0.494242,0.455859,0.503838,0.503838,0.503838,0.513434,0.52303,0.599798,0.647778,0.676566,0.695758,0.724545,0.724545,0.686162,0.686162,0.66697
Liberia,m1,d18,0.590202,0.647778,0.647778,0.657374,0.676566,0.695758,0.657374,0.609394,0.628586,0.52303,0.532626,0.52303,0.61899,0.66697,0.61899,0.61899,0.657374,0.705354,0.724545,0.705354,0.734141,0.705354,0.676566,0.695758
Liberia,m1,d19,0.676566,0.657374,0.657374,0.647778,0.66697,0.695758,0.705354,0.657374,0.647778,0.513434,0.52303,0.52303,0.532626,0.66697,0.686162,0.657374,0.686162,0.686162,0.686162,0.695758,0.705354,0.705354,0.66697,0.695758
Liberia,m1,d20,0.705354,0.686162,0.66697,0.66697,0.686162,0.705354,0.686162,0.657374,0.657374,0.455859,0.475051,0.494242,0.484646,0.503838,0.503838,0.638182,0.676566,0.705354,0.714949,0.714949,0.724545,0.714949,0.676566,0.676566
Liberia,m1,d21,0.695758,0.676566,0.676566,0.66697,0.657374,0.686162,0.705354,0.695758,0.686162,0.484646,0.494242,0.484646,0.494242,0.503838,0.513434,0.657374,0.647778,0.657374,0.714949,0.734141,0.705354,0.705354,0.657374,0.638182
Liberia,m1,d22,0.686162,0.705354,0.686162,0.686162,0.676566,0.676566,0.705354,0.705354,0.714949,0.705354,0.455859,0.494242,0.494242,0.513434,0.532626,0.599798,0.686162,0.714949,0.686162,0.714949,0.695758,0.695758,0.66697,0.66697
Liberia,m1,d23,0.686162,0.66697,0.657374,0.647778,0.676566,0.753333,0.676566,0.686162,0.494242,0.455859,0.427071,0.465455,0.446263,0.513434,0.551818,0.686162,0.714949,0.676566,0.724545,0.686162,0.695758,0.695758,0.695758,0.66697
Liberia,m1,d24,0.503838,0.494242,0.503838,0.465455,0.427071,0.484646,0.705354,0.705354,0.695758,0.705354,0.686162,0.705354,0.686162,0.695758,0.705354,0.705354,0.695758,0.724545,0.66697,0.714949,0.724545,0.714949,0.686162,0.628586
Liberia,m1,d25,0.475051,0.455859,0.475051,0.475051,0.475051,0.52303,0.465455,0.475051,0.503838,0.513434,0.52303,0.532626,0.427071,0.427071,0.427071,0.57101,0.609394,0.628586,0.695758,0.686162,0.705354,0.66697,0.657374,0.647778
Liberia,m1,d26,0.657374,0.647778,0.638182,0.484646,0.484646,0.52303,0.513434,0.465455,0.475051,0.494242,0.551818,0.57101,0.561414,0.57101,0.61899,0.61899,0.590202,0.657374,0.686162,0.734141,0.724545,0.714949,0.686162,0.66697
Liberia,m1,d27,0.686162,0.686162,0.676566,0.484646,0.494242,0.494242,0.599798,0.657374,0.686162,0.705354,0.714949,0.705354,0.676566,0.66697,0.695758,0.494242,0.484646,0.465455,0.513434,0.609394,0.657374,0.676566,0.580606,0.638182
Liberia,m1,d28,0.61899,0.599798,0.599798,0.580606,0.580606,0.609394,0.628586,0.628586,0.61899,0.580606,0.580606,0.561414,0.542222,0.590202,0.609394,0.61899,0.638182,0.657374,0.676566,0.724545,0.724545,0.734141,0.676566,0.676566
Liberia,m1,d29,0.686162,0.647778,0.638182,0.628586,0.628586,0.638182,0.657374,0.647778,0.66697,0.647778,0.61899,0.61899,0.609394,0.628586,0.657374,0.657374,0.676566,0.676566,0.753333,0.820505,0.830101,0.830101,0.791717,0.743737
