,,,,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Liberia,HydroMC,m1,d1,0.568182,0.531818,0.292424,0.287879,0.290909,0.293939,0.289394,0.289394,0.293939,0.290909,0.295455,0.295455,0.290909,0.309091,0.578788,0.563636,0.568182,0.566667,0.572727,0.566667,0.566667,0.568182,0.572727,0.568182
Liberia,HydroMC,m1,d2,0.292424,0.292424,0.292424,0.292424,0.289394,0.289394,0.293939,0.293939,0.289394,0.293939,0.295455,0.295455,0.295455,0.566667,0.571212,0.574242,0.572727,0.571212,0.565152,0.569697,0.568182,0.572727,0.562121,0.565152
Liberia,HydroMC,m1,d3,0.286364,0.287879,0.289394,0.293939,0.290909,0.292424,0.293939,0.290909,0.293939,0.292424,0.293939,0.293939,0.290909,0.337879,0.572727,0.572727,0.569697,0.574242,0.565152,0.565152,0.571212,0.571212,0.566667,0.565152
Liberia,HydroMC,m1,d4,0.284848,0.284848,0.283333,0.287879,0.289394,0.284848,0.289394,0.290909,0.290909,0.289394,0.289394,0.290909,0.290909,0.290909,0.287879,0.286364,0.292424,0.560606,0.563636,0.562121,0.559091,0.566667,0.565152,0.563636
Liberia,HydroMC,m1,d5,0.565152,0.556061,0.287879,0.283333,0.281818,0.287879,0.283333,0.283333,0.283333,0.284848,0.284848,0.289394,0.283333,0.289394,0.284848,0.289394,0.284848,0.289394,0.289394,0.477273,0.560606,0.554545,0.562121,0.281818
Liberia,HydroMC,m1,d6,0.287879,0.283333,0.281818,0.287879,0.287879,0.287879,0.289394,0.287879,0.284848,0.284848,0.289394,0.289394,0.289394,0.284848,0.287879,0.290909,0.287879,0.290909,0.566667,0.566667,0.563636,0.565152,0.566667,0.340909
Liberia,HydroMC,m1,d7,0.283333,0.283333,0.287879,0.283333,0.286364,0.287879,0.284848,0.284848,0.284848,0.289394,0.286364,0.287879,0.286364,0.286364,0.289394,0.286364,0.289394,0.284848,0.289394,0.562121,0.569697,0.565152,0.565152,0.281818
Liberia,HydroMC,m1,d8,0.286364,0.284848,0.284848,0.286364,0.286364,0.284848,0.284848,0.287879,0.286364,0.286364,0.281818,0.283333,0.281818,0.287879,0.284848,0.289394,0.289394,0.289394,0.290909,0.290909,0.290909,0.563636,0.565152,0.565152
Liberia,HydroMC,m1,d9,0.401515,0.284848,0.283333,0.281818,0.286364,0.281818,0.286364,0.281818,0.284848,0.286364,0.286364,0.286364,0.281818,0.286364,0.286364,0.289394,0.289394,0.290909,0.290909,0.563636,0.559091,0.556061,0.554545,0.556061
Liberia,HydroMC,m1,d10,0.362121,0.281818,0.278788,0.283333,0.284848,0.278788,0.283333,0.284848,0.284848,0.284848,0.283333,0.281818,0.280303,0.280303,0.283333,0.283333,0.280303,0.284848,0.284848,0.280303,0.283333,0.283333,0.280303,0.278788
Liberia,HydroMC,m1,d11,0.280303,0.280303,0.284848,0.284848,0.283333,0.284848,0.280303,0.284848,0.280303,0.280303,0.281818,0.280303,0.280303,0.284848,0.286364,0.284848,0.281818,0.287879,0.281818,0.560606,0.554545,0.554545,0.554545,0.55303
Liberia,HydroMC,m1,d12,0.55,0.281818,0.280303,0.278788,0.278788,0.281818,0.280303,0.280303,0.283333,0.281818,0.281818,0.284848,0.280303,0.281818,0.278788,0.283333,0.281818,0.280303,0.283333,0.278788,0.281818,0.281818,0.281818,0.283333
Liberia,HydroMC,m1,d13,0.281818,0.283333,0.284848,0.283333,0.281818,0.284848,0.284848,0.283333,0.283333,0.283333,0.283333,0.283333,0.283333,0.274242,0.278788,0.283333,0.280303,0.283333,0.283333,0.278788,0.280303,0.281818,0.283333,0.280303
Liberia,HydroMC,m1,d14,0.283333,0.278788,0.277273,0.283333,0.280303,0.278788,0.280303,0.278788,0.281818,0.283333,0.283333,0.280303,0.283333,0.280303,0.277273,0.277273,0.280303,0.281818,0.281818,0.278788,0.281818,0.280303,0.281818,0.278788
Liberia,HydroMC,m1,d15,0.278788,0.280303,0.281818,0.281818,0.278788,0.280303,0.278788,0.280303,0.281818,0.280303,0.278788,0.277273,0.281818,0.277273,0.275758,0.277273,0.275758,0.277273,0.280303,0.280303,0.278788,0.277273,0.274242,0.280303
Liberia,HydroMC,m1,d16,0.278788,0.280303,0.280303,0.280303,0.280303,0.280303,0.275758,0.280303,0.277273,0.275758,0.278788,0.280303,0.277273,0.275758,0.280303,0.274242,0.278788,0.278788,0.278788,0.274242,0.274242,0.274242,0.278788,0.272727
Liberia,HydroMC,m1,d17,0.278788,0.274242,0.278788,0.278788,0.278788,0.275758,0.272727,0,0,0,0,0,0,0,0,0.274242,0.274242,0.278788,0.274242,0.278788,0.274242,0.274242,0.278788,0.277273
Liberia,HydroMC,m1,d18,0.278788,0.274242,0.274242,0.278788,0.278788,0.278788,0.274242,0.275758,0.278788,0,0,0,0.277273,0.275758,0.280303,0.275758,0.277273,0.280303,0.277273,0.275758,0.280303,0.275758,0.278788,0.280303
Liberia,HydroMC,m1,d19,0.277273,0.274242,0.280303,0.274242,0.278788,0.275758,0.277273,0.280303,0.243939,0,0,0,0.092424,0.278788,0.280303,0.280303,0.280303,0.278788,0.275758,0.275758,0.280303,0.275758,0.280303,0.277273
Liberia,HydroMC,m1,d20,0.278788,0.274242,0.274242,0.274242,0.278788,0.278788,0.278788,0.278788,0.278788,0,0,0,0,0,0,0.283333,0.280303,0.277273,0.277273,0.280303,0.280303,0.280303,0.280303,0.280303
Liberia,HydroMC,m1,d21,0.280303,0.278788,0.278788,0.275758,0.277273,0.280303,0.274242,0.278788,0.278788,0,0,0,0,0,0,0,0.278788,0.281818,0.277273,0.281818,0.277273,0.278788,0.278788,0.280303
Liberia,HydroMC,m1,d22,0.277273,0.275758,0.275758,0.280303,0.275758,0.275758,0.277273,0.275758,0.277273,0.272727,0,0,0,0,0,0.162121,0.280303,0.281818,0.278788,0.278788,0.278788,0.281818,0.281818,0.277273
Liberia,HydroMC,m1,d23,0.280303,0.278788,0.275758,0.275758,0.280303,0.277273,0.280303,0.280303,0,0,0,0,0,0,0,0.278788,0.277273,0.283333,0.281818,0.280303,0.275758,0.284848,0.283333,0.280303
