Plant,Season,Day,cf
MTCoffee ,m6,d8,0.6296
MTCoffee ,m6,d9,0.6667
MTCoffee ,m6,d10,0.6442
MTCoffee ,m6,d11,0.6313
MTCoffee ,m6,d12,0.6379
MTCoffee ,m6,d13,0.5796
MTCoffee ,m6,d14,0.4625
MTCoffee ,m6,d15,0.4467
MTCoffee ,m6,d16,0.3696
MTCoffee ,m6,d17,0.3879
MTCoffee ,m6,d18,0.3321
MTCoffee ,m6,d19,0.3575
MTCoffee ,m6,d20,0.3492
MTCoffee ,m6,d21,0.4125
MTCoffee ,m6,d22,0.5417
MTCoffee ,m6,d23,0.5967
MTCoffee ,m6,d24,0.6833
MTCoffee ,m6,d25,0.7171
MTCoffee ,m6,d26,0.7288
MTCoffee ,m6,d27,0.7304
MTCoffee ,m6,d28,0.7204
MTCoffee ,m6,d29,0.7246
MTCoffee ,m6,d30,0.7292
MTCoffee ,m7,d1,0.8829
MTCoffee ,m7,d2,0.8842
MTCoffee ,m7,d3,0.8363
MTCoffee ,m7,d4,0.7433
MTCoffee ,m7,d5,0.8542
MTCoffee ,m7,d6,0.8613
MTCoffee ,m7,d7,0.8617
MTCoffee ,m7,d8,0.8588
MTCoffee ,m7,d9,0.7596
MTCoffee ,m7,d10,0.845
MTCoffee ,m7,d11,0.8729
MTCoffee ,m7,d12,0.8713
MTCoffee ,m7,d13,0.805
MTCoffee ,m7,d14,0.8025
MTCoffee ,m7,d15,0.8675
MTCoffee ,m7,d16,0.8604
MTCoffee ,m7,d17,0.86
MTCoffee ,m7,d18,0.8633
MTCoffee ,m7,d19,0.8654
MTCoffee ,m7,d20,0.8646
MTCoffee ,m7,d21,0.8617
MTCoffee ,m7,d22,0.8588
MTCoffee ,m7,d23,0.8413
MTCoffee ,m7,d24,0.8525
MTCoffee ,m7,d25,0.8579
MTCoffee ,m7,d26,0.8592
MTCoffee ,m7,d27,0.8621
MTCoffee ,m7,d28,0.8617
MTCoffee ,m7,d29,0.8613
MTCoffee ,m7,d30,0.8629
MTCoffee ,m7,d31,0.8713
MTCoffee ,m8,d1,0.7738
MTCoffee ,m8,d2,0.8083
MTCoffee ,m8,d3,0.8329
MTCoffee ,m8,d4,0.98
MTCoffee ,m8,d5,0.9633
MTCoffee ,m8,d6,0.9854
MTCoffee ,m8,d7,0.9854
MTCoffee ,m8,d8,0.9908
MTCoffee ,m8,d9,0.9871
MTCoffee ,m8,d10,0.9833
MTCoffee ,m8,d11,0.9721
MTCoffee ,m8,d12,0.9608
MTCoffee ,m8,d13,0.955
MTCoffee ,m8,d14,0.9517
MTCoffee ,m8,d15,0.9567
MTCoffee ,m8,d16,0.9571
MTCoffee ,m8,d17,0.9621
MTCoffee ,m8,d18,0.965
MTCoffee ,m8,d19,0.9613
MTCoffee ,m8,d20,0.9588
MTCoffee ,m8,d21,0.885
MTCoffee ,m8,d22,0.9571
MTCoffee ,m8,d23,0.9596
MTCoffee ,m8,d24,0.9613
MTCoffee ,m8,d25,0.9654
MTCoffee ,m8,d26,0.9721
MTCoffee ,m8,d27,0.9717
MTCoffee ,m8,d28,0.9717
MTCoffee ,m8,d29,0.9688
MTCoffee ,m8,d30,0.9713
MTCoffee ,m8,d31,0.9738
MTCoffee ,m9,d1,0.9579
MTCoffee ,m9,d2,0.9783
MTCoffee ,m9,d3,0.9788
MTCoffee ,m9,d4,0.955
MTCoffee ,m9,d5,0.9504
MTCoffee ,m9,d6,0.9542
MTCoffee ,m9,d7,0.9675
MTCoffee ,m9,d8,0.9742
MTCoffee ,m9,d9,0.9771
MTCoffee ,m9,d10,0.9613
MTCoffee ,m9,d11,0.9658
MTCoffee ,m9,d12,0.9692
MTCoffee ,m9,d13,0.96
MTCoffee ,m9,d14,0.9729
MTCoffee ,m9,d15,0.975
MTCoffee ,m9,d16,0.98
MTCoffee ,m9,d17,0.9708
MTCoffee ,m9,d18,0.9717
MTCoffee ,m9,d19,0.9717
MTCoffee ,m9,d20,0.9688
MTCoffee ,m9,d21,0.9654
MTCoffee ,m9,d22,0.9654
MTCoffee ,m9,d23,0.9663
MTCoffee ,m9,d24,0.935
MTCoffee ,m9,d25,0.9488
MTCoffee ,m9,d26,0.8033
MTCoffee ,m9,d27,0.8158
MTCoffee ,m9,d28,0.8429
MTCoffee ,m9,d29,0.9129
MTCoffee ,m9,d30,0.9792
MTCoffee ,m10,d1,0.9908
MTCoffee ,m10,d2,0.9954
MTCoffee ,m10,d3,0.9933
MTCoffee ,m10,d4,0.9854
MTCoffee ,m10,d5,0.9804
MTCoffee ,m10,d6,0.975
MTCoffee ,m10,d7,0.8638
MTCoffee ,m10,d8,0.9808
MTCoffee ,m10,d9,0.9813
MTCoffee ,m10,d10,0.9742
MTCoffee ,m10,d11,0.9783
MTCoffee ,m10,d12,0.9779
MTCoffee ,m10,d13,0.9821
MTCoffee ,m10,d14,0.9863
MTCoffee ,m10,d15,0.5975
MTCoffee ,m10,d16,0.9929
MTCoffee ,m10,d17,0.9971
MTCoffee ,m10,d18,0.9963
MTCoffee ,m10,d19,0.9788
MTCoffee ,m10,d20,0.995
MTCoffee ,m10,d21,0.9954
MTCoffee ,m10,d22,0.9963
MTCoffee ,m10,d23,0.9992
MTCoffee ,m10,d24,0.9996
MTCoffee ,m10,d25,0.9942
MTCoffee ,m10,d26,0.7846
MTCoffee ,m10,d27,0.9333
MTCoffee ,m10,d28,1
MTCoffee ,m10,d29,0.8713
MTCoffee ,m10,d30,0.7504
MTCoffee ,m10,d31,0.8846
MTCoffee ,m11,d1,0.4775
MTCoffee ,m11,d2,0.015
MTCoffee ,m11,d3,0
MTCoffee ,m11,d4,0.1204
MTCoffee ,m11,d5,0.7208
MTCoffee ,m11,d6,0.5317
MTCoffee ,m11,d7,0.6479
MTCoffee ,m11,d8,0.5721
MTCoffee ,m11,d9,0.3629
MTCoffee ,m11,d10,0.7433
MTCoffee ,m11,d11,0.6538
MTCoffee ,m11,d12,1
MTCoffee ,m11,d13,1
MTCoffee ,m11,d14,1
MTCoffee ,m11,d15,1
MTCoffee ,m11,d16,0.8342
MTCoffee ,m11,d17,0.8758
MTCoffee ,m11,d18,1
MTCoffee ,m11,d19,1
MTCoffee ,m11,d20,0.9638
MTCoffee ,m11,d21,1
MTCoffee ,m11,d22,1
MTCoffee ,m11,d23,0.9321
MTCoffee ,m11,d24,0.9892
MTCoffee ,m11,d25,1
MTCoffee ,m11,d26,1
MTCoffee ,m11,d27,1
MTCoffee ,m11,d28,1
MTCoffee ,m11,d29,1
MTCoffee ,m11,d30,1
MTCoffee ,m12,d1,0.5454
MTCoffee ,m12,d2,0.5417
MTCoffee ,m12,d3,0.4821
MTCoffee ,m12,d4,0.5388
MTCoffee ,m12,d5,0.5404
MTCoffee ,m12,d6,0.54
MTCoffee ,m12,d7,0.545
MTCoffee ,m12,d8,0.5388
MTCoffee ,m12,d9,0.5329
MTCoffee ,m12,d10,0.5463
MTCoffee ,m12,d11,0.5421
MTCoffee ,m12,d12,0.4996
MTCoffee ,m12,d13,0.4575
MTCoffee ,m12,d14,0.4517
MTCoffee ,m12,d15,0.4521
MTCoffee ,m12,d16,0.3825
MTCoffee ,m12,d17,0.4138
MTCoffee ,m12,d18,0.3479
MTCoffee ,m12,d19,0.2254
MTCoffee ,m12,d20,0.3588
MTCoffee ,m12,d21,0.3117
MTCoffee ,m12,d22,0.3079
MTCoffee ,m12,d23,0.2388
MTCoffee ,m12,d24,0.2396
MTCoffee ,m12,d25,0.38
MTCoffee ,m12,d26,0.255
MTCoffee ,m12,d27,0.2571
MTCoffee ,m12,d28,0.255
MTCoffee ,m12,d29,0.2613
MTCoffee ,m12,d30,0.25
MTCoffee ,m12,d31,0.1871
MTCoffee_extension,m1,d1,0.2658
MTCoffee_extension,m1,d2,0.2592
MTCoffee_extension,m1,d3,0.2538
MTCoffee_extension,m1,d4,0.2296
MTCoffee_extension,m1,d5,0.22
MTCoffee_extension,m1,d6,0.2167
MTCoffee_extension,m1,d7,0.2083
MTCoffee_extension,m1,d8,0.2013
MTCoffee_extension,m1,d9,0.2179
MTCoffee_extension,m1,d10,0.1783
MTCoffee_extension,m1,d11,0.2108
MTCoffee_extension,m1,d12,0.1813
MTCoffee_extension,m1,d13,0.1771
MTCoffee_extension,m1,d14,0.1725
MTCoffee_extension,m1,d15,0.1704
MTCoffee_extension,m1,d16,0.17
MTCoffee_extension,m1,d17,0.1133
MTCoffee_extension,m1,d18,0.1488
MTCoffee_extension,m1,d19,0.1433
MTCoffee_extension,m1,d20,0.1279
MTCoffee_extension,m1,d21,0.1213
MTCoffee_extension,m1,d22,0.1329
MTCoffee_extension,m1,d23,0.1221
MTCoffee_extension,m1,d24,0.1292
MTCoffee_extension,m1,d25,0.0729
MTCoffee_extension,m1,d26,0.1213
MTCoffee_extension,m1,d27,0.1342
MTCoffee_extension,m1,d28,0.18
MTCoffee_extension,m1,d29,0.2171
MTCoffee_extension,m1,d30,0.3579
MTCoffee_extension,m1,d31,0.2367
MTCoffee_extension,m2,d1,0.3067
MTCoffee_extension,m2,d2,0.3617
MTCoffee_extension,m2,d3,0.2367
MTCoffee_extension,m2,d4,0.2358
MTCoffee_extension,m2,d5,0.23
MTCoffee_extension,m2,d6,0.2267
MTCoffee_extension,m2,d7,0.1375
MTCoffee_extension,m2,d8,0.1492
MTCoffee_extension,m2,d9,0.1442
MTCoffee_extension,m2,d10,0.1421
MTCoffee_extension,m2,d11,0.1425
MTCoffee_extension,m2,d12,0.145
MTCoffee_extension,m2,d13,0.1471
MTCoffee_extension,m2,d14,0.1596
MTCoffee_extension,m2,d15,0.1775
MTCoffee_extension,m2,d16,0.1804
MTCoffee_extension,m2,d17,0.2292
MTCoffee_extension,m2,d18,0.2271
MTCoffee_extension,m2,d19,0.2242
MTCoffee_extension,m2,d20,0.1721
MTCoffee_extension,m2,d21,0.17
MTCoffee_extension,m2,d22,0.1396
MTCoffee_extension,m2,d23,0.1333
MTCoffee_extension,m2,d24,0.1371
MTCoffee_extension,m2,d25,0.1088
MTCoffee_extension,m2,d26,0.0921
MTCoffee_extension,m2,d27,0.0846
MTCoffee_extension,m2,d28,0.0921
MTCoffee_extension,m3,d1,0.0767
MTCoffee_extension,m3,d2,0.0671
MTCoffee_extension,m3,d3,0.0725
MTCoffee_extension,m3,d4,0.0817
MTCoffee_extension,m3,d5,0.1004
MTCoffee_extension,m3,d6,0.1133
MTCoffee_extension,m3,d7,0.1629
MTCoffee_extension,m3,d8,0.1933
MTCoffee_extension,m3,d9,0.2171
MTCoffee_extension,m3,d10,0.2763
MTCoffee_extension,m3,d11,0.2658
MTCoffee_extension,m3,d12,0.23
MTCoffee_extension,m3,d13,0.2246
MTCoffee_extension,m3,d14,0.1792
MTCoffee_extension,m3,d15,0.1821
MTCoffee_extension,m3,d16,0.1754
MTCoffee_extension,m3,d17,0.1571
MTCoffee_extension,m3,d18,0.1821
MTCoffee_extension,m3,d19,0.1246
MTCoffee_extension,m3,d20,0.2317
MTCoffee_extension,m3,d21,0.2271
MTCoffee_extension,m3,d22,0.2363
MTCoffee_extension,m3,d23,0.2246
MTCoffee_extension,m3,d24,0.2104
MTCoffee_extension,m3,d25,0.195
MTCoffee_extension,m3,d26,0.1917
MTCoffee_extension,m3,d27,0.1688
MTCoffee_extension,m3,d28,0.1738
MTCoffee_extension,m3,d29,0.1692
MTCoffee_extension,m3,d30,0.295
MTCoffee_extension,m3,d31,0.3283
MTCoffee_extension,m4,d1,0.2613
MTCoffee_extension,m4,d2,0.2558
MTCoffee_extension,m4,d3,0.2333
MTCoffee_extension,m4,d4,0.2154
MTCoffee_extension,m4,d5,0.1754
MTCoffee_extension,m4,d6,0.1688
MTCoffee_extension,m4,d7,0.18
MTCoffee_extension,m4,d8,0.1283
MTCoffee_extension,m4,d9,0.1617
MTCoffee_extension,m4,d10,0.1738
MTCoffee_extension,m4,d11,0.1863
MTCoffee_extension,m4,d12,0.1683
MTCoffee_extension,m4,d13,0.1342
MTCoffee_extension,m4,d14,0.1754
MTCoffee_extension,m4,d15,0.1821
MTCoffee_extension,m4,d16,0.1504
MTCoffee_extension,m4,d17,0.1438
MTCoffee_extension,m4,d18,0.1742
MTCoffee_extension,m4,d19,0.1438
MTCoffee_extension,m4,d20,0.1733
MTCoffee_extension,m4,d21,0.1621
MTCoffee_extension,m4,d22,0.1404
MTCoffee_extension,m4,d23,0.1308
MTCoffee_extension,m4,d24,0.1192
MTCoffee_extension,m4,d25,0.1233
MTCoffee_extension,m4,d26,0.1692
MTCoffee_extension,m4,d27,0.2454
MTCoffee_extension,m4,d28,0.2788
MTCoffee_extension,m4,d29,0.2663
MTCoffee_extension,m4,d30,0.2796
MTCoffee_extension,m5,d1,0.1946
MTCoffee_extension,m5,d2,0.1813
MTCoffee_extension,m5,d3,0.1875
MTCoffee_extension,m5,d4,0.1888
MTCoffee_extension,m5,d5,0.1671
MTCoffee_extension,m5,d6,0.13
MTCoffee_extension,m5,d7,0.0767
MTCoffee_extension,m5,d8,0.13
MTCoffee_extension,m5,d9,0.0921
MTCoffee_extension,m5,d10,0.0921
MTCoffee_extension,m5,d11,0.0758
MTCoffee_extension,m5,d12,0.0808
MTCoffee_extension,m5,d13,0.0658
MTCoffee_extension,m5,d14,0.0725
MTCoffee_extension,m5,d15,0.095
MTCoffee_extension,m5,d16,0.1183
MTCoffee_extension,m5,d17,0.1042
MTCoffee_extension,m5,d18,0.13
MTCoffee_extension,m5,d19,0.0971
MTCoffee_extension,m5,d20,0.1233
MTCoffee_extension,m5,d21,0.2142
MTCoffee_extension,m5,d22,0.3583
MTCoffee_extension,m5,d23,0.2871
MTCoffee_extension,m5,d24,0.285
MTCoffee_extension,m5,d25,0.2908
MTCoffee_extension,m5,d26,0.2908
MTCoffee_extension,m5,d27,0.3592
MTCoffee_extension,m5,d28,0.3921
MTCoffee_extension,m5,d29,0.3846
MTCoffee_extension,m5,d30,0.2208
MTCoffee_extension,m5,d31,0.2321
MTCoffee_extension,m6,d1,0.3379
MTCoffee_extension,m6,d2,0.3717
MTCoffee_extension,m6,d3,0.4146
MTCoffee_extension,m6,d4,0.5163
MTCoffee_extension,m6,d5,0.5413
MTCoffee_extension,m6,d6,0.5875
MTCoffee_extension,m6,d7,0.5896
MTCoffee_extension,m6,d8,0.6296
MTCoffee_extension,m6,d9,0.6667
MTCoffee_extension,m6,d10,0.6442
MTCoffee_extension,m6,d11,0.6313
MTCoffee_extension,m6,d12,0.6379
MTCoffee_extension,m6,d13,0.5796
MTCoffee_extension,m6,d14,0.4625
MTCoffee_extension,m6,d15,0.4467
MTCoffee_extension,m6,d16,0.3696
MTCoffee_extension,m6,d17,0.3879
MTCoffee_extension,m6,d18,0.3321
MTCoffee_extension,m6,d19,0.3575
MTCoffee_extension,m6,d20,0.3492
MTCoffee_extension,m6,d21,0.4125
MTCoffee_extension,m6,d22,0.5417
MTCoffee_extension,m6,d23,0.5967
MTCoffee_extension,m6,d24,0.6833
MTCoffee_extension,m6,d25,0.7171
MTCoffee_extension,m6,d26,0.7288
MTCoffee_extension,m6,d27,0.7304
MTCoffee_extension,m6,d28,0.7204
MTCoffee_extension,m6,d29,0.7246
MTCoffee_extension,m6,d30,0.7292
MTCoffee_extension,m7,d1,0.8829
MTCoffee_extension,m7,d2,0.8842
MTCoffee_extension,m7,d3,0.8363
MTCoffee_extension,m7,d4,0.7433
MTCoffee_extension,m7,d5,0.8542
MTCoffee_extension,m7,d6,0.8613
MTCoffee_extension,m7,d7,0.8617
MTCoffee_extension,m7,d8,0.8588
MTCoffee_extension,m7,d9,0.7596
MTCoffee_extension,m7,d10,0.845
MTCoffee_extension,m7,d11,0.8729
MTCoffee_extension,m7,d12,0.8713
MTCoffee_extension,m7,d13,0.805
MTCoffee_extension,m7,d14,0.8025
MTCoffee_extension,m7,d15,0.8675
MTCoffee_extension,m7,d16,0.8604
MTCoffee_extension,m7,d17,0.86
MTCoffee_extension,m7,d18,0.8633
MTCoffee_extension,m7,d19,0.8654
MTCoffee_extension,m7,d20,0.8646
MTCoffee_extension,m7,d21,0.8617
MTCoffee_extension,m7,d22,0.8588
MTCoffee_extension,m7,d23,0.8413
MTCoffee_extension,m7,d24,0.8525
MTCoffee_extension,m7,d25,0.8579
MTCoffee_extension,m7,d26,0.8592
MTCoffee_extension,m7,d27,0.8621
MTCoffee_extension,m7,d28,0.8617
MTCoffee_extension,m7,d29,0.8613
MTCoffee_extension,m7,d30,0.8629
MTCoffee_extension,m7,d31,0.8713
MTCoffee_extension,m8,d1,0.7738
MTCoffee_extension,m8,d2,0.8083
MTCoffee_extension,m8,d3,0.8329
MTCoffee_extension,m8,d4,0.98
MTCoffee_extension,m8,d5,0.9633
MTCoffee_extension,m8,d6,0.9854
MTCoffee_extension,m8,d7,0.9854
MTCoffee_extension,m8,d8,0.9908
MTCoffee_extension,m8,d9,0.9871
MTCoffee_extension,m8,d10,0.9833
MTCoffee_extension,m8,d11,0.9721
MTCoffee_extension,m8,d12,0.9608
MTCoffee_extension,m8,d13,0.955
MTCoffee_extension,m8,d14,0.9517
MTCoffee_extension,m8,d15,0.9567
MTCoffee_extension,m8,d16,0.9571
MTCoffee_extension,m8,d17,0.9621
MTCoffee_extension,m8,d18,0.965
MTCoffee_extension,m8,d19,0.9613
MTCoffee_extension,m8,d20,0.9588
MTCoffee_extension,m8,d21,0.885
MTCoffee_extension,m8,d22,0.9571
MTCoffee_extension,m8,d23,0.9596
MTCoffee_extension,m8,d24,0.9613
MTCoffee_extension,m8,d25,0.9654
MTCoffee_extension,m8,d26,0.9721
MTCoffee_extension,m8,d27,0.9717
MTCoffee_extension,m8,d28,0.9717
MTCoffee_extension,m8,d29,0.9688
MTCoffee_extension,m8,d30,0.9713
MTCoffee_extension,m8,d31,0.9738
MTCoffee_extension,m9,d1,0.9579
MTCoffee_extension,m9,d2,0.9783
MTCoffee_extension,m9,d3,0.9788
MTCoffee_extension,m9,d4,0.955
MTCoffee_extension,m9,d5,0.9504
MTCoffee_extension,m9,d6,0.9542
MTCoffee_extension,m9,d7,0.9675
MTCoffee_extension,m9,d8,0.9742
MTCoffee_extension,m9,d9,0.9771
MTCoffee_extension,m9,d10,0.9613
MTCoffee_extension,m9,d11,0.9658
MTCoffee_extension,m9,d12,0.9692
MTCoffee_extension,m9,d13,0.96
MTCoffee_extension,m9,d14,0.9729
MTCoffee_extension,m9,d15,0.975
MTCoffee_extension,m9,d16,0.98
MTCoffee_extension,m9,d17,0.9708
MTCoffee_extension,m9,d18,0.9717
MTCoffee_extension,m9,d19,0.9717
MTCoffee_extension,m9,d20,0.9688
MTCoffee_extension,m9,d21,0.9654
MTCoffee_extension,m9,d22,0.9654
MTCoffee_extension,m9,d23,0.9663
MTCoffee_extension,m9,d24,0.935
MTCoffee_extension,m9,d25,0.9488
MTCoffee_extension,m9,d26,0.8033
MTCoffee_extension,m9,d27,0.8158
MTCoffee_extension,m9,d28,0.8429
MTCoffee_extension,m9,d29,0.9129
MTCoffee_extension,m9,d30,0.9792
MTCoffee_extension,m10,d1,0.9908
MTCoffee_extension,m10,d2,0.9954
MTCoffee_extension,m10,d3,0.9933
MTCoffee_extension,m10,d4,0.9854
MTCoffee_extension,m10,d5,0.9804
MTCoffee_extension,m10,d6,0.975
MTCoffee_extension,m10,d7,0.8638
MTCoffee_extension,m10,d8,0.9808
MTCoffee_extension,m10,d9,0.9813
MTCoffee_extension,m10,d10,0.9742
MTCoffee_extension,m10,d11,0.9783
MTCoffee_extension,m10,d12,0.9779
MTCoffee_extension,m10,d13,0.9821
MTCoffee_extension,m10,d14,0.9863
MTCoffee_extension,m10,d15,0.5975
MTCoffee_extension,m10,d16,0.9929
MTCoffee_extension,m10,d17,0.9971
MTCoffee_extension,m10,d18,0.9963
MTCoffee_extension,m10,d19,0.9788
MTCoffee_extension,m10,d20,0.995
MTCoffee_extension,m10,d21,0.9954
MTCoffee_extension,m10,d22,0.9963
MTCoffee_extension,m10,d23,0.9992
MTCoffee_extension,m10,d24,0.9996
MTCoffee_extension,m10,d25,0.9942
MTCoffee_extension,m10,d26,0.7846
MTCoffee_extension,m10,d27,0.9333
MTCoffee_extension,m10,d28,1
MTCoffee_extension,m10,d29,0.8713
MTCoffee_extension,m10,d30,0.7504
MTCoffee_extension,m10,d31,0.8846
MTCoffee_extension,m11,d1,0.4775
MTCoffee_extension,m11,d2,0.015
MTCoffee_extension,m11,d3,0
MTCoffee_extension,m11,d4,0.1204
MTCoffee_extension,m11,d5,0.7208
MTCoffee_extension,m11,d6,0.5317
MTCoffee_extension,m11,d7,0.6479
MTCoffee_extension,m11,d8,0.5721
MTCoffee_extension,m11,d9,0.3629
MTCoffee_extension,m11,d10,0.7433
MTCoffee_extension,m11,d11,0.6538
MTCoffee_extension,m11,d12,1
MTCoffee_extension,m11,d13,1
MTCoffee_extension,m11,d14,1
MTCoffee_extension,m11,d15,1
MTCoffee_extension,m11,d16,0.8342
MTCoffee_extension,m11,d17,0.8758
MTCoffee_extension,m11,d18,1
MTCoffee_extension,m11,d19,1
MTCoffee_extension,m11,d20,0.9638
MTCoffee_extension,m11,d21,1
MTCoffee_extension,m11,d22,1
MTCoffee_extension,m11,d23,0.9321
MTCoffee_extension,m11,d24,0.9892
MTCoffee_extension,m11,d25,1
MTCoffee_extension,m11,d26,1
MTCoffee_extension,m11,d27,1
MTCoffee_extension,m11,d28,1
MTCoffee_extension,m11,d29,1
MTCoffee_extension,m11,d30,1
MTCoffee_extension,m12,d1,0.5454
MTCoffee_extension,m12,d2,0.5417
MTCoffee_extension,m12,d3,0.4821
MTCoffee_extension,m12,d4,0.5388
MTCoffee_extension,m12,d5,0.5404
MTCoffee_extension,m12,d6,0.54
MTCoffee_extension,m12,d7,0.545
MTCoffee_extension,m12,d8,0.5388
