2020,232159440.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,227516251.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,222873062.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,218229873.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,213586685.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,208943496.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,204300307.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,199657118.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,195013929.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,190370741.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,185727552.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,181084363.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,176441174.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,171797985.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,167154797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,162511608.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,157868419.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,153225230.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,148582041.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,143938853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,139295664.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,132330881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,125366097.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,118401314.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,111436531.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,104471748.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,97506964.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,90542181.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,83577398.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,76612615.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,69647832.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
