,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
South_Africa,2500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
Lesotho,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Eswatini,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Mozambique,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
Zimbabwe,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Botswana,75,75,75,75,75,75,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Namibia,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Zambia,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
Angola,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Tanzania,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
DRC,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175
Malawi,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
