paramNames,MIP
modeltype,MIP
cplexfile,
SETTINGS,
pSettings,
y,
zcmap,
pHours,
RESOURCES,
ftfindex,
pFuelCarbonContent,
pTechData,
LOAD,
pDemandData,
pDemandForecast,
pDemandProfile,
sRelevant,
pEnergyEfficiencyFactor,
SUPPLY,
pGenDataInput,
pGenDataInputDefault,
pAvailability,
pAvailabilityDefault,
pCapexTrajectories,
pCapexTrajectoriesDefault,
pCSPData,
pFuelPrice,
pVREgenProfile,
pVREProfile,
pStorDataExcel,
RESERVE,
pPlanningReserveMargin,
pSpinningReserveReqCountry,
pSpinningReserveReqSystem,
CONSTRAINT,
pEmissionsTotal,
pEmissionsCountry,
pMaxFuellimit,
pCarbonPrice,
TRADE,
zext,
pExtTransferLimit,
pLossFactorInternal,
pMaxPriceImportShare,
pMaxAnnualExternalTradeShare,
pMinImport,
pNewTransmission,
pTradePrice,
pTransferLimit,
H2,
pH2DataExcel,
pAvailabilityH2,
pCapexTrajectoryH2,
pExternalH2,
pFuelDataH2,
