Plant,Season,Day,cf
MTCoffee ,m1,d1,0.53709
MTCoffee ,m1,d2,0.52422625
MTCoffee ,m1,d3,0.5116
MTCoffee ,m1,d4,0.46070125
MTCoffee ,m1,d5,0.4384475
MTCoffee ,m1,d6,0.43458
MTCoffee ,m1,d7,0.41595625
MTCoffee ,m1,d8,0.4017525
MTCoffee ,m1,d9,0.434185
MTCoffee ,m1,d10,0.35708625
MTCoffee ,m1,d11,0.4245575
MTCoffee ,m1,d12,0.36568875
MTCoffee ,m1,d13,0.35274625
MTCoffee ,m1,d14,0.350695
MTCoffee ,m1,d15,0.34872125
MTCoffee ,m1,d16,0.3472225
MTCoffee ,m1,d17,0.23035
MTCoffee ,m1,d18,0.30350375
MTCoffee ,m1,d19,0.29261375
MTCoffee ,m1,d20,0.26120625
MTCoffee ,m1,d21,0.246765
MTCoffee ,m1,d22,0.26901875
MTCoffee ,m1,d23,0.2476325
MTCoffee ,m1,d24,0.25994375
MTCoffee ,m1,d25,0.14780625
MTCoffee ,m1,d26,0.2473175
MTCoffee ,m1,d27,0.26602
MTCoffee ,m1,d28,0.35779625
MTCoffee ,m1,d29,0.43963125
MTCoffee ,m1,d30,0.719145
MTCoffee ,m1,d31,0.47664125
MTCoffee ,m2,d1,0.471985
MTCoffee ,m2,d2,0.55437125
MTCoffee ,m2,d3,0.36111125
MTCoffee ,m2,d4,0.36048
MTCoffee ,m2,d5,0.35400875
MTCoffee ,m2,d6,0.34816875
MTCoffee ,m2,d7,0.21007
MTCoffee ,m2,d8,0.22751
MTCoffee ,m2,d9,0.2215125
MTCoffee ,m2,d10,0.21733
MTCoffee ,m2,d11,0.21733
MTCoffee ,m2,d12,0.2218275
MTCoffee ,m2,d13,0.22743
MTCoffee ,m2,d14,0.2465275
MTCoffee ,m2,d15,0.2734375
MTCoffee ,m2,d16,0.2759625
MTCoffee ,m2,d17,0.3493525
MTCoffee ,m2,d18,0.3479325
MTCoffee ,m2,d19,0.34517
MTCoffee ,m2,d20,0.26381
MTCoffee ,m2,d21,0.26096875
MTCoffee ,m2,d22,0.2159875
MTCoffee ,m2,d23,0.2021775
MTCoffee ,m2,d24,0.2122
MTCoffee ,m2,d25,0.16832375
MTCoffee ,m2,d26,0.14212375
MTCoffee ,m2,d27,0.1302875
MTCoffee ,m2,d28,0.14220375
MTCoffee ,m3,d1,0.1149775
MTCoffee ,m3,d2,0.10108875
MTCoffee ,m3,d3,0.10803375
MTCoffee ,m3,d4,0.12271125
MTCoffee ,m3,d5,0.15033125
MTCoffee ,m3,d6,0.1706125
MTCoffee ,m3,d7,0.24408125
MTCoffee ,m3,d8,0.2894575
MTCoffee ,m3,d9,0.3264675
MTCoffee ,m3,d10,0.41564125
MTCoffee ,m3,d11,0.39875375
MTCoffee ,m3,d12,0.3439075
MTCoffee ,m3,d13,0.335385
MTCoffee ,m3,d14,0.26736125
MTCoffee ,m3,d15,0.2716225
MTCoffee ,m3,d16,0.2621525
MTCoffee ,m3,d17,0.23469125
MTCoffee ,m3,d18,0.27249
MTCoffee ,m3,d19,0.187895
MTCoffee ,m3,d20,0.3519575
MTCoffee ,m3,d21,0.342645
MTCoffee ,m3,d22,0.35685
MTCoffee ,m3,d23,0.33838375
MTCoffee ,m3,d24,0.31644625
MTCoffee ,m3,d25,0.28535375
MTCoffee ,m3,d26,0.29750625
MTCoffee ,m3,d27,0.24281875
MTCoffee ,m3,d28,0.26530875
MTCoffee ,m3,d29,0.241635
MTCoffee ,m3,d30,0.4289775
MTCoffee ,m3,d31,0.50228875
MTCoffee ,m4,d1,0.6364425
MTCoffee ,m4,d2,0.62113375
MTCoffee ,m4,d3,0.5688925
MTCoffee ,m4,d4,0.5274625
MTCoffee ,m4,d5,0.42613625
MTCoffee ,m4,d6,0.41540375
MTCoffee ,m4,d7,0.437895
MTCoffee ,m4,d8,0.34083
MTCoffee ,m4,d9,0.3723175
MTCoffee ,m4,d10,0.426925
MTCoffee ,m4,d11,0.4558875
MTCoffee ,m4,d12,0.41666625
MTCoffee ,m4,d13,0.34714375
MTCoffee ,m4,d14,0.43102875
MTCoffee ,m4,d15,0.4446025
MTCoffee ,m4,d16,0.36040125
MTCoffee ,m4,d17,0.3610325
MTCoffee ,m4,d18,0.41256375
MTCoffee ,m4,d19,0.36632
MTCoffee ,m4,d20,0.4100375
MTCoffee ,m4,d21,0.41343125
MTCoffee ,m4,d22,0.34493375
MTCoffee ,m4,d23,0.32189125
MTCoffee ,m4,d24,0.29079875
MTCoffee ,m4,d25,0.30113625
MTCoffee ,m4,d26,0.399305
MTCoffee ,m4,d27,0.59927375
MTCoffee ,m4,d28,0.6822125
MTCoffee ,m4,d29,0.65230375
MTCoffee ,m4,d30,0.68718375
MTCoffee ,m5,d1,0.51444125
MTCoffee ,m5,d2,0.4816125
MTCoffee ,m5,d3,0.50031625
MTCoffee ,m5,d4,0.513415
MTCoffee ,m5,d5,0.44870625
MTCoffee ,m5,d6,0.344145
MTCoffee ,m5,d7,0.20391375
MTCoffee ,m5,d8,0.3468275
MTCoffee ,m5,d9,0.24605375
MTCoffee ,m5,d10,0.245265
MTCoffee ,m5,d11,0.19886375
MTCoffee ,m5,d12,0.21291
MTCoffee ,m5,d13,0.17471625
MTCoffee ,m5,d14,0.19255
MTCoffee ,m5,d15,0.25370875
MTCoffee ,m5,d16,0.3009
