Plant,Season,Day,cf
MTCoffee ,m1,d1,0.322259
MTCoffee ,m1,d2,0.314493
MTCoffee ,m1,d3,0.306894
MTCoffee ,m1,d4,0.27642
MTCoffee ,m1,d5,0.263068
MTCoffee ,m1,d6,0.260748
MTCoffee ,m1,d7,0.249574
MTCoffee ,m1,d8,0.241051
MTCoffee ,m1,d9,0.260511
MTCoffee ,m1,d10,0.214252
MTCoffee ,m1,d11,0.254664
MTCoffee ,m1,d12,0.219361
MTCoffee ,m1,d13,0.211714
MTCoffee ,m1,d14,0.210237
MTCoffee ,m1,d15,0.2092
MTCoffee ,m1,d16,0.208277
MTCoffee ,m1,d17,0.138201
MTCoffee ,m1,d18,0.182102
MTCoffee ,m1,d19,0.175568
MTCoffee ,m1,d20,0.156723
MTCoffee ,m1,d21,0.148059
MTCoffee ,m1,d22,0.161411
MTCoffee ,m1,d23,0.14858
MTCoffee ,m1,d24,0.155966
MTCoffee ,m1,d25,0.088684
MTCoffee ,m1,d26,0.14839
MTCoffee ,m1,d27,0.159612
MTCoffee ,m1,d28,0.214678
MTCoffee ,m1,d29,0.263774
MTCoffee ,m1,d30,0.431487
MTCoffee ,m1,d31,0.286018
MTCoffee ,m2,d1,0.283111
MTCoffee ,m2,d2,0.3325
MTCoffee ,m2,d3,0.216643
MTCoffee ,m2,d4,0.216316
MTCoffee ,m2,d5,0.212443
MTCoffee ,m2,d6,0.208963
MTCoffee ,m2,d7,0.126042
MTCoffee ,m2,d8,0.136506
MTCoffee ,m2,d9,0.132907
MTCoffee ,m2,d10,0.130398
MTCoffee ,m2,d11,0.130398
MTCoffee ,m2,d12,0.133097
MTCoffee ,m2,d13,0.136458
MTCoffee ,m2,d14,0.147917
MTCoffee ,m2,d15,0.164062
MTCoffee ,m2,d16,0.165606
MTCoffee ,m2,d17,0.209598
MTCoffee ,m2,d18,0.208759
MTCoffee ,m2,d19,0.207102
MTCoffee ,m2,d20,0.158229
MTCoffee ,m2,d21,0.156539
MTCoffee ,m2,d22,0.129531
MTCoffee ,m2,d23,0.121231
MTCoffee ,m2,d24,0.12732
MTCoffee ,m2,d25,0.100994
MTCoffee ,m2,d26,0.085275
MTCoffee ,m2,d27,0.078172
MTCoffee ,m2,d28,0.085322
MTCoffee ,m3,d1,0.068987
MTCoffee ,m3,d2,0.060653
MTCoffee ,m3,d3,0.06482
MTCoffee ,m3,d4,0.073627
MTCoffee ,m3,d5,0.090199
MTCoffee ,m3,d6,0.102348
MTCoffee ,m3,d7,0.146449
MTCoffee ,m3,d8,0.173674
MTCoffee ,m3,d9,0.195885
MTCoffee ,m3,d10,0.249384
MTCoffee ,m3,d11,0.239252
MTCoffee ,m3,d12,0.206345
MTCoffee ,m3,d13,0.201231
MTCoffee ,m3,d14,0.160417
MTCoffee ,m3,d15,0.162973
MTCoffee ,m3,d16,0.157301
MTCoffee ,m3,d17,0.140777
MTCoffee ,m3,d18,0.163414
MTCoffee ,m3,d19,0.112652
MTCoffee ,m3,d20,0.211046
MTCoffee ,m3,d21,0.205507
MTCoffee ,m3,d22,0.214029
MTCoffee ,m3,d23,0.203011
