,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BESS_4h,1,0.631730769,0.522596154,0.497596154,0.472596154,0.447596154,0.422596154,0.397596154,0.3875,0.377403846,0.367307692,0.407692308,0.401,0.391,0.38,0.369,0.358,0.348,0.337,0.326,0.316,0.305,0.294,0.284,0.273,0.263,0.252,0.242
BESS_8h,1,0.626438654,0.512975027,0.484744843,0.456243214,0.427470141,0.398968512,0.37019544,0.359609121,0.349022801,0.338436482,0.377578719,0.401,0.391,0.38,0.369,0.358,0.348,0.337,0.326,0.316,0.305,0.294,0.284,0.273,0.263,0.252,0.242
BESS_2h,1,0.638967136,0.535680751,0.516118936,0.495774648,0.476212833,0.456651017,0.436306729,0.427699531,0.418309859,0.40970266,0.450312989,0.401,0.391,0.38,0.369,0.358,0.348,0.337,0.326,0.316,0.305,0.294,0.284,0.273,0.263,0.252,0.242
BESS_3h,1,0.638967136,0.535680751,0.516118936,0.495774648,0.476212833,0.456651017,0.436306729,0.427699531,0.418309859,0.40970266,0.450312989,0.401,0.391,0.38,0.369,0.358,0.348,0.337,0.326,0.316,0.305,0.294,0.284,0.273,0.263,0.252,0.242
PV_CAND_LIB,1,0.948808207,0.897616414,0.84642462,0.795232827,0.744041034,0.692849241,0.641657447,0.632751685,0.623845922,0.614940159,0.606034396,0.597128633,0.58822287,0.579317108,0.570411345,0.561505582,0.552599819,0.543694056,0.534788293,0.52588253,0.516976768,0.508071005,0.499165242,0.490259479,0.481353716,0.472447953,0.46354219
