Plants,StYr,RetrYr,Zone,Capacity,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,Type,fuel1,fuel2,Status,HeatRate2,VRETech,UnitSize,pvwsto,stowpv,RE_Flag,CapacityCredit,Error
MTCoffee,2017,2034,1,88,0,0,1,1,0,0.15,6000,1.124821429,0,0,0,88,88,0,4,1,,1,0,1,0,,,1,1,10334.27482
MTCoffee_extension,2028,2034,1,60,0,0,1,1,0,0.15,6000,1.124821429,0,0,0,60,60,0,4,1,,2,0,1,0,,,1,1,10334.27482
SP2_150,2035,2080,1,150,0,0,1,1,0,0.15,7431.818182,1.124821429,0,3.88,50,154,154,0,4,2,,2,0,1,0,,,1,1,12076.973
SP2_161,2046,2080,1,154,0,0,1,1,0,0.15,7431.818182,1.124821429,0,3.73,50,154,154,0,4,3,,2,0,0,0,,,1,1,12086.823
Existing_gen_lib,2035,2035,1,9,0,10.5881489,1,1,0,0.15,6980,10,0,0,0,0,9,0,10,4,,2,0,0,0,,,0,1,11107.73815
Bushrod,2019,2069,1,28,0,9.6,1,1,0,0.15,18500,20,0,0,0,38,38,0,10,6,,1,10.6,0,0,,,0,1,22755.85
CLSG_CIV,2022,2080,1,27,0,3.6,1,1,0,1,0,150,0,0,0,27,27,0,8,8,,1,0,0,0,,,0,1,4365.6
BESS_4h,2025,2045,1,0,0,0,1,1,0,1,47674,0,0,2.08,20,5000,5000,0,17,9,,3,0,0,0,,,0,1,35324.05
BESS_8h,2025,2045,1,0,0,0,1,1,0,1,86366,0,0,3.68,20,5000,5000,0,17,10,,3,0,0,0,,,0,1,52325.9
BESS_2h,2025,2045,1,0,0,0,1,1,0,1,28328,0,0,1.27,20,5000,5000,0,17,11,,3,0,0,0,,,0,1,52325.9
BESS_3h,2025,2045,1,0,0,0,1,1,0,1,37500,0,0,1.68,20,5000,5000,0,17,12,,3,0,0,0,,,0,1,52325.9
PV_RESPITE,2025,2045,1,16,0,0,1,1,0,0,10000,0,0,0.9,20,16,16,0,6,5,,2,0,1,0,,,1,0.1,124623.9
PV_CAND_LIB,2025,2055,1,0,0,0,1,1,0,0,10000,0,0,0.9,25,10000,100000,0,6,5,,3,0,1,0,,,1,0.1,124623.9
Thermal_LNG,2036,2054,1,0,0,9.7,0.85,0.9,0,0.1,17000,4.2,0,1,30,500,500,0,1,6,7,3,9,0,0,,,0,1,22163.75
Via/SP4,2036,2080,1,0,0,0,1,1,0,0.05,14659.09091,1.124821429,0,11.5,50,88,88,0,4,3,,3,0,0,0,,,1,1,19026.76573
SP1B,2036,2080,1,0,0,0,1,1,0,0.05,8437.5,1.124821429,0,5.625,50,80,80,0,4,3,,3,0,0,0,,,1,1,12783.29982
Respite_PV,2036,2048,1,0,0,0,1,1,0.02,0,15500,0,0,0.9,25,50,20,0,6,5,,3,0,1,0,,,1,0.1,19697.92
SP3,2036,2080,1,0,0,0,1,1,0,0.05,10500,1.12,0,7,50,55,55,0,4,2,,3,0,0,0,,,1,1,14796.17
SP1A,2036,2080,1,0,0,0,1,1,0,0.05,8437.5,1.12,0,5.625,50,80,80,0,4,2,,3,0,0,0,,,1,1,12782.295
Tiboto,2036,2080,1,0,0,0,1,1,0,0.05,7500,1.12,0,4,50,112.5,112.5,0,4,2,,3,0,0,0,,,1,1,11908.17
SP2_Upper,2036,2080,1,0,0,0,1,1,0,0.05,1375,1.12,0,1.15,50,0,0,0,4,2,,3,0,0,0,,,1,1,5555.32
MTCoffee_ext,2036,2080,1,0,0,0,1,1,0,0.05,1704.545455,1.12,0,1.219512195,50,41,41,0,4,2,,3,0,0,0,,,1,1,5966.934967
SP0,2036,2080,1,0,0,0,1,1,0,0.05,8642.857143,1.12,0,5.428571429,50,105,105,0,4,2,,3,0,0,0,,,1,1,13037.45571
MTCoffee_1,2036,2068,1,0,0,0,1,1,0,0.05,6000,1.124821429,0,0.0001,50,88,88,0,4,2,,3,0,0,0,,,1,1,10343.17492
SP2_1,2036,2080,1,0,0,0,1,1,0,0.05,7431.818182,1.124821429,0,0.0001,50,110,110,0,4,2,,3,0,0,0,,,1,1,11830.9931
MTCoffee_ext_1,2036,2068,1,0,0,0,1,1,0,0,1704.545455,1.12,0,0.0001,50,44,44,0,4,2,,3,0,0,0,,,1,1,5959.665555
SP2_Upper_1,2036,2080,1,0,0,0,1,1,0,0,1375,1.12,0,0.0001,50,80,80,0,4,2,,3,0,0,0,,,1,1,5714.1201
CLSG_Guinea,2036,2080,1,0,0,0,1,1,0,0,0,130,0,0.0001,50,0,0,0,8,8,,2,0,0,0,,,0,1,4317.0001
CLSG_CIV_ext,2036,2080,1,0,0,0,1,1,0,0,0,135,0,0.0001,50,0,0,0,8,8,,2,0,0,0,,,0,1,4322.0001
