,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BESS_4h,1,0.431730769,0.322596154,0.297596154,0.272596154,0.247596154,0.222596154,0.197596154,0.1875,0.177403846,0.167307692,0.157692308,0.151,0.141,0.13,0.119,0.108,0.098,0.087,0.076,0.066,0.055,0.044,0.034,0.023,0.013,0.002,-0.008
BESS_8h,1,0.426438654,0.312975027,0.284744843,0.256243214,0.227470141,0.198968512,0.17019544,0.159609121,0.149022801,0.138436482,0.127578719,0.151,0.141,0.13,0.119,0.108,0.098,0.087,0.076,0.066,0.055,0.044,0.034,0.023,0.013,0.002,-0.008
BESS_2h,1,0.438967136,0.335680751,0.316118936,0.295774648,0.276212833,0.256651017,0.236306729,0.227699531,0.218309859,0.20970266,0.200312989,0.151,0.141,0.13,0.119,0.108,0.098,0.087,0.076,0.066,0.055,0.044,0.034,0.023,0.013,0.002,-0.008
BESS_3h,1,0.438967136,0.335680751,0.316118936,0.295774648,0.276212833,0.256651017,0.236306729,0.227699531,0.218309859,0.20970266,0.200312989,0.151,0.141,0.13,0.119,0.108,0.098,0.087,0.076,0.066,0.055,0.044,0.034,0.023,0.013,0.002,-0.008
PV_CAND_LIB,1,0.948808207,0.897616414,0.84642462,0.795232827,0.744041034,0.692849241,0.641657447,0.632751685,0.623845922,0.614940159,0.606034396,0.597128633,0.58822287,0.579317108,0.570411345,0.561505582,0.552599819,0.543694056,0.534788293,0.52588253,0.516976768,0.508071005,0.499165242,0.490259479,0.481353716,0.472447953,0.46354219
