zone,type,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,
Burundi,Peak,81.21330724,114.7260274,44.03131115,88.1345689,136.8520011,185.5694333,234.2868654,283.0042976,331.7217298,348.6524233,365.5831168,387.4581722,409.3332275,431.5079412,453.6826548,475.2580519,496.833449,517.360042,537.886635,556.7651074,575.6435799,595.8954861,618.7444309,639.4222152,660.0999995,680.7777837,701.455568,722.1333523,742.8111365,763.4889208,784.1667051,804.8444893,,
Djibouti,Peak,112.0512218,120.2809725,128.5107233,136.740474,144.9702248,153.1999755,161.4297263,175.1037737,188.7778211,202.4518685,216.1259159,229.7999633,249.9311998,270.0624362,290.1936727,310.3249091,330.4561456,354.0058939,377.5556422,401.1053905,424.6551388,448.2048871,471.7546354,495.3043837,518.854132,542.4038803,565.9536287,589.503377,613.0531253,636.6028736,660.1526219,683.7023702,,
Drc_E,Peak,75.66862361,81.70254403,87.73646445,92.87345075,98.01043705,103.1474234,108.2844097,113.7475538,119.210698,124.5923027,129.9739074,135.4370515,140.9001957,146.5264188,152.1526419,157.778865,163.4050881,169.1128506,174.8206132,180.4468363,186.0730594,191.767232,197.3961731,203.0503173,208.7044614,214.3586056,220.0127498,225.666894,231.3210382,236.9751824,242.6293265,248.2834707,,
Drc_S,Peak,1753.750815,1892.041748,2030.332681,2149.787997,2269.243314,2388.535551,2507.827789,2633.643183,2759.458578,2885.355512,3011.252446,3137.801696,3264.350946,3393.590998,3522.83105,3653.701892,3784.572733,3915.932811,4047.29289,4177.919113,4308.545336,4439.783105,4569.890194,4700.624395,4831.358596,4962.092797,5092.826998,5223.561199,5354.2954,5485.029601,5615.763802,5746.498004,,
Drc_W,Peak,2810.99152,3032.615786,3254.240052,3445.613177,3636.986301,3828.359426,4019.732551,4221.461187,4423.189824,4624.836921,4826.484018,5029.435747,5232.387476,4624.103066,4015.818656,5041.014351,6066.210046,6276.744945,6487.279843,6696.67319,6906.066536,7116.411176,7542.38965,7850.774872,8159.160094,8467.545316,8775.930538,9084.31576,9392.700982,9701.086205,10009.47143,10317.85665,,
Egypt,Peak,0,0,31693,32266,32941,33650,34753,36231,37712,39198,40689,42187,43732,45305,46224,47176,48163,49535,50973,52480,54051,55687,57444,59280,61196,63193,65274,67475,69762,72137,74598,77146,,
Ethiopia,Peak,2773,2731,2795,3054,3007,3275,3551,4068,4647,5194,5750,6260,6723,7141,8233,8822,9665,10336,11322,12085,13196,14068,15334,16818,18181,19917,21535,23265,25119,27148,28810.6,30615.2,,
Kenya,Peak,0,2036,2036,2121,2191,2268,2353,2441,2585,2737,2912,3099,3275,3473,3671,3883,4106,4333,4589,4856,5139,5440,5757,6064.4238,6388.264031,6729.39733,7088.747148,7467.286245,7866.039331,8286.085831,8728.562814,9194.668069,,
Libya,Peak,731.7517041,4511.20045,5337.131891,5681.086781,6025.04167,6400.575017,6776.108363,7188.598621,7601.088879,8067.84296,8534.597041,9048.425921,9562.2548,10077.46823,10592.68166,11096.65892,11600.63617,12080.01098,12559.3858,13000.09963,13440.81347,13896.46786,14428.15322,14910.04787,15391.94252,15873.83717,16355.73182,16837.62646,17319.52111,17801.41576,18283.31041,18765.20506,,
Rwanda,Peak,147,155,171,185,204,224,246,271,298,328,361,397,437,481,529,582,640,704,774,851,936,1030,1133,1246,1371,1508,1659,1825,2008,2209,2430,2673,,
SouthSudan,Peak,323.5646381,368.3846096,413.2045812,460.8316491,508.458717,551.1265813,593.7944457,631.9709559,670.1474661,712.2539112,754.3603563,799.835317,845.3102777,890.7852384,936.2601991,980.799461,1025.338723,1067.725878,1110.113032,1149.038102,1187.963171,1229.773311,1276.798413,1319.432536,1362.066658,1404.700781,1447.334903,1489.969026,1532.603148,1575.237271,1617.871393,1660.505516,,
Tanzania,Peak,1120.12,1435,1629,1620.996922,1822.907232,2084.819191,2394.351506,2731.503627,3075.322598,3442.951748,3865.82051,4355.357771,4892.515388,5497.293911,6176.360189,6963.048472,7579.25588,8237.369202,8939.293251,9676.456364,10468.85909,11302.21532,12196.52561,13168.93328,14216.58112,15344.23115,16293.24292,17331.72966,18370.2164,19408.70314,20447.18987,21485.67661,,
Uganda,Peak,0,767,827,888,953,1025,1108,1206,1308,1415,1524,1644,1747,1856.2,1965.4,2074.6,2183.8,2293,2402.2,2511.4,2620.6,2729.8,2839,2948.2,3057.4,3166.6,3275.8,3385,3494.2,3603.4,3712.6,3821.8,,
Sudan,Peak,0,0,114.155251,114.155251,369.776768,384.118499,394.90711,418.947879,451.29725,473.482098,489.953739,504.046818,524.970399,539.411544,565.316505,580.79084,597.854019,618.170848,640.014538,663.776831,688.390229,714.630774,742.471544,781.06632,812.610351,857.191802,893.469224,930.947033,969.512688,1010.873039,1039.625764,1070.552712,,
Mogadishu,Peak,0,0,17.90952381,20.63650794,22,23,23,23,24,44,69,92,120,143,178,220,266,317,374,438,489,556,630,707,794,907,987,1075,1171,1275,1359,1451,,
SomaliaROC,Peak,0,0,16.2643806,18.75479353,20,21,22,22,22,23,23,30,37,45,79,119,162,211,263,323,382,448,514,591,679,750,835,935,1038,1153,1244.9,1345.8,,
Somaliland,Peak,0,0,0,20.89312977,23,23,24,24,25,40,58,80,111,151,178,208,244,283,327,376,410,456,508,559,615,696,744,794,848,906,954.8,1007.2,,
Burundi,Energy,498,703.5,270,525,815.2,1105.4,1395.6,1685.8,1976,2076.852755,2177.70551,2308.01084,2438.31617,2570.406504,2702.496838,2831.017164,2959.537489,3081.810298,3204.083107,3316.538392,3428.993677,3549.630232,3685.736826,3808.910252,3932.083677,4055.257102,4178.430527,4301.603953,4424.777378,4547.950803,4671.124229,4794.297654,,
Djibouti,Energy,548.8372093,589.1472868,629.4573643,669.7674419,710.0775194,750.3875969,790.6976744,857.6744186,924.6511628,991.627907,1058.604651,1125.581395,1224.186047,1322.790698,1421.395349,1520,1618.604651,1733.953488,1849.302326,1964.651163,2080,2195.348837,2310.697674,2426.046512,2541.395349,2656.744186,2772.093023,2887.44186,3002.790698,3118.139535,3233.488372,3348.837209,,
Drc_E,Energy,464,501,538,569.5,601,632.5,664,697.5,731,764,797,830.5,864,898.5,933,967.5,1002,1037,1072,1106.5,1141,1175.916667,1210.433333,1245.104545,1279.775758,1314.44697,1349.118182,1383.789394,1418.460606,1453.131818,1487.80303,1522.474242,,
Drc_S,Energy,10754,11602,12450,13182.5,13915,14646.5,15378,16149.5,16921,17693,18465,19241,20017,20809.5,21602,22404.5,23207,24012.5,24818,25619,26420,27224.75,28022.56667,28824.22879,29625.89091,30427.55303,31229.21515,32030.87727,32832.53939,33634.20152,34435.86364,35237.52576,,
