z,pe,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Kenya,peak,2268,2353,2441,2585,2737,2912,3099,3275,3473,3671,3883,4106,4333,4589,4856,5139,5440
Kenya,energy,13760,14257,14780,15632,16538,17571,18680,19722,20877,22050,23301,24617,25956,27461,29030,30695,32460
Burundi,peak,185.5694333,234.2868654,283.0042976,331.7217298,348.6524233,365.5831168,387.4581722,409.3332275,431.5079412,453.6826548,475.2580519,496.833449,517.360042,537.886635,556.7651074,575.6435799,595.8954861
Burundi,energy,1105.4,1395.6,1685.8,1976,2076.852755,2177.70551,2308.01084,2438.31617,2570.406504,2702.496838,2831.017164,2959.537489,3081.810298,3204.083107,3316.538392,3428.993677,3549.630232
Djibouti,peak,153.1999755,161.4297263,175.1037737,188.7778211,202.4518685,216.1259159,229.7999633,249.9311998,270.0624362,290.1936727,310.3249091,330.4561456,354.0058939,377.5556422,401.1053905,424.6551388,448.2048871
Djibouti,energy,750.3875969,790.6976744,857.6744186,924.6511628,991.627907,1058.604651,1125.581395,1224.186047,1322.790698,1421.395349,1520,1618.604651,1733.953488,1849.302326,1964.651163,2080,2195.348837
Drc_E,peak,103.1474234,108.2844097,113.7475538,119.210698,124.5923027,129.9739074,135.4370515,140.9001957,146.5264188,152.1526419,157.778865,163.4050881,169.1128506,174.8206132,180.4468363,186.0730594,191.767232
Drc_E,energy,632.5,664,697.5,731,764,797,830.5,864,898.5,933,967.5,1002,1037,1072,1106.5,1141,1175.916667
Egypt,peak,33650,34753,36231,37712,39198,40689,42187,43732,45305,46224,47176,48163,49535,50973,52480,54051,55687
Egypt,energy,206570,213337,222409,231505,240624,249778,258970,268455,278113,283755,289597,295655,304078,312910,322158,331805,341843
Ethiopia,peak,3275,3551,4068,4647,5194,5750,6260,6723,7141,8233,8822,9665,10336,11322,12085,13196,14068
Ethiopia,energy,17785,19285,22096,25240,28212,31232,33997,36515,38783,44713,47911,52493,56139,61490,65638,71671,76405
Libya,energy,38687.63563,40957.50939,43450.7655,45944.02162,48765.26999,51586.51836,54692.30563,57798.09291,60912.24898,64026.40505,67072.64516,70118.88527,73016.41839,75913.95151,78577.80223,81241.65294,83995.81033
Rwanda,peak,224,246,271,298,328,361,397,437,481,529,582,640,704,774,851,936,1030
Rwanda,energy,1368,1505,1656,1822,2004,2204,2424,2666,2933,3226,3549,3904,4294,4723,5195,5715,6287
Somaliland,peak,23,24,24,25,40,58,80,111,151,178,208,244,283,327,376,410,456
Somaliland,energy,133,136,138,140,226,330,458,634,858,1011,1186,1388,1609,1860,2143,2336,2599
Mogadishu,peak,23,23,23,24,44,69,92,120,143,178,220,266,317,374,438,489,556
Mogadishu,energy,131,133,136,138,251,393,524,682,815,1014,1251,1512,1806,2126,2493,2785,3163
SomaliaROC,peak,21,22,22,22,23,23,30,37,45,79,119,162,211,263,323,382,448
SomaliaROC,energy,123,126,128,130,132,134,169,214,254,452,676,918,1202,1498,1840,2177,2559
SouthSudan,peak,551.1265813,593.7944457,631.9709559,670.1474661,712.2539112,754.3603563,799.835317,845.3102777,890.7852384,936.2601991,980.799461,1025.338723,1067.725878,1110.113032,1149.038102,1187.963171,1229.773311
SouthSudan,energy,2945,3173,3377,3581,3806,4031,4274,4517,4760,5003,5241,5479,5705.5,5932,6140,6348,6571.416667
Sudan,energy,23559.08958,24806.7979,26120.63476,27504.10497,28960.8991,30494.90333,32110.20977,33811.07855,35602.04186,37487.872,39473.59403,41564.4992,43766.15902,46084.44015,48525.51997,51095.90311,53802.43872
Tanzania,peak,1965,2298,2720,3136,3618,3917,4312,4589,4764,4916,5064,5212,5354,5504,5646,5930,6089
Tanzania,energy,12306,14382,17003,19588,22582,24422,26863,28559,29622,30540,31428,32320,33170,34064,34915,36637,37584
Uganda,peak,1025,1108,1206,1308,1415,1524,1644,1747,1856.2,1965.4,2074.6,2183.8,2293,2402.2,2511.4,2620.6,2729.8
Uganda,energy,6013,6505,7076,7678,8303,8947,9650,10255.9,10897.6,11539.3,12181,12822.7,13464.4,14106.1,14747.8,15389.5,16031.2
