Fuel,value
Coal,0.1031
Gas,0.0592
Water,0
Solar,0
Wind,0
Import,0
HFO,0.0819
LFO,0.0784
Uranium,0
CSP,0
Battery,0
Diesel,0.0784
Biomass,0
Methane,0
Peat,0
Geothermal,0
LNG,0.0592
Waste,0
Peat,0
Pumped,0
