Fuel,Index
Coal,1
Gas,2
Water,3
Solar,4
Wind,5
Import,6
HFO,7
LFO,8
Uranium,9
CSP,10
Battery,11
Diesel,12
Biomass,13
Methane,14
Peat,15
Geothermal,16
LNG,17
Waste,18
Pumped,19
