z,c
South_Africa,South_Africa
Lesotho,Lesotho
Eswatini,Eswatini
Mozambique_Central,Mozambique
Mozambique_South,Mozambique
Mozambique_North,Mozambique
Zimbabwe,Zimbabwe
Botswana,Botswana
Namibia,Namibia
Zambia,Zambia
Angola_North,Angola
Angola_East,Angola
Angola_Central,Angola
Angola_South,Angola
Tanzania,Tanzania
DRC,DRC
Malawi,Malawi
DRC_South,DRC
Mozal,Mozambique
