paramNames,file
modeltype,RMIP
cplexfile,cplex/cplex_baseline.opt
GENERAL,
pSettings,pSettings.csv
y,y.csv
zcmap,zcmap.csv
pHours,pHours.csv
LOAD,
pDemandProfile,load/pDemandProfile.csv
pDemandData,load/pDemandData.csv
pDemandForecast,load/pDemandForecast_sapp_adapted.csv
sRelevant,load/sRelevant.csv
pEnergyEfficiencyFactor,load/pEnergyEfficiencyFactor.csv
SUPPLY,
pGenDataInput,supply/pGenDataInput_SAPP.csv
pGenDataInputDefault,supply/pGenDataInputDefault.csv
pAvailability,supply/pAvailabilityCustom.csv
pAvailabilityDefault,supply/pAvailabilityDefault.csv
pEvolutionAvailability,supply/pEvolutionAvailability.csv
pCapexTrajectories,supply/pCapexTrajectoriesCustom.csv
pCapexTrajectoriesDefault,supply/pCapexTrajectoriesDefault.csv
pCSPData,supply/pCSPData.csv
pFuelPrice,supply/pFuelPrice.csv
pVREgenProfile,supply/pVREgenProfile.csv
pVREProfile,supply/pVREProfile.csv
pStorageDataInput,supply/pStorageDataInput.csv
RESERVE,
pPlanningReserveMargin,reserve/pPlanningReserveMargin.csv
pSpinningReserveReqCountry,reserve/pSpinningReserveReqCountry.csv
pSpinningReserveReqSystem,reserve/pSpinningReserveReqSystem.csv
CONSTRAINT,
pEmissionsTotal,constraint/pEmissionsTotal.csv
pEmissionsCountry,constraint/pEmissionsCountry.csv
pMaxFuellimit,constraint/pMaxFuellimit.csv
pMaxGenerationByFuel,constraint/pMaxGenerationByFuel.csv
pCarbonPrice,constraint/pCarbonPrice.csv
TRADE,
zext,trade/zext.csv
pExtTransferLimit,trade/pExtTransferLimit.csv
pLossFactorInternal,trade/pLossFactorInternal.csv
pMaxAnnualExternalTradeShare,trade/pMaxAnnualExternalTradeShare.csv
pMaxAnnualInternalTradeShare,trade/pMaxAnnualInternalTradeShare.csv
pMinImport,trade/pMinImport.csv
pNewTransmission,trade/pNewTransmission.csv
pTradePrice,trade/pTradePrice.csv
pTransferLimit,trade/pTransferLimit.csv
H2,
pH2DataExcel,h2/pH2DataExcel.csv
pAvailabilityH2,h2/pAvailabilityH2.csv
pCapexTrajectoryH2,h2/pCapexTrajectoryH2.csv
pExternalH2,h2/pExternalH2.csv
pFuelDataH2,h2/pFuelDataH2.csv
