z,tech,f,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065
Botswana,ST,Coal,130,130,130,130,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South_Africa,Nuclear,Uranium,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854
South_Africa,ST,Coal,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177,39177
South_Africa,ROR,Water,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7
South_Africa,ReservoirHydro,Water,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3
South_Africa,OCGT,HFO,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9,1697.9
Zimbabwe,ST,Coal,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050
