c,tech,f,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062
Zambia,ST,Coal,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06,2.13E+06
South_Africa,OCGT,Diesel,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06,8.12E+06
