z,g,tech,f,y,value
Kenya,Lake_Turkana_Wind_Power,OnshoreWind,Wind,2026,6.304832029315272
Kenya,Gitaru,ROR,Water,2026,8.475657468201849
Kenya,Kiambere,ROR,Water,2026,13.598808702940378
Kenya,Olkaria_V_,Geothermal,Geothermal,2026,12.194175653356645
Kenya,Olkaria_I_units_4_&_5,Geothermal,Geothermal,2026,12.194175653356648
Kenya,Olkaria_IV,Geothermal,Geothermal,2026,12.194175653356655
Kenya,Turkwel,ROR,Water,2026,4.912482960528351
Kenya,Olkaria_II,Geothermal,Geothermal,2026,12.194175653356687
Kenya,Kipeto_Wind_-_I,OnshoreWind,Wind,2026,6.304832029315264
Kenya,Olkaria_Mobile_Wellheads___Eburru,Geothermal,Geothermal,2026,12.19417565335667
Kenya,Kamburu,ROR,Water,2026,6.841535437499966
Kenya,Kindaruma,ROR,Water,2026,9.168192538002224
Kenya,Orpower_4_(I),Geothermal,Geothermal,2026,12.1941756533567
Kenya,Sondu,ROR,Water,2026,8.25490032529938
Kenya,Baringo_Silali__-_Korosi_I,Geothermal,Geothermal,2026,30.7216596387228
Kenya,Baringo_Silali__-_Paka_I,Geothermal,Geothermal,2026,30.72165963872281
Kenya,Olkaria_7,Geothermal,Geothermal,2026,30.72165963872281
Kenya,Olkaria_8,Geothermal,Geothermal,2026,30.72165963872281
Kenya,Olkaria_Brine,Geothermal,Geothermal,2026,30.721659638722805
Kenya,Olkaria_Topping,Geothermal,Geothermal,2026,30.72165963872281
Kenya,Olkaria_VI,Geothermal,Geothermal,2026,30.721659638722805
Kenya,Menengai_I_Quantum,Geothermal,Geothermal,2026,34.86828700687624
Kenya,Menengai_I_Sosian,Geothermal,Geothermal,2026,32.13327746617929
Kenya,Olkaria_1_B_(Rehabilitated),Geothermal,Geothermal,2026,30.72165963872284
Kenya,Olkaria_1_Unit_6,Geothermal,Geothermal,2026,30.72165963872296
Kenya,Generic_Rooftop_2021,RPV,Solar,2026,13.668850819807997
Kenya,Generic_Rooftop_2022,RPV,Solar,2026,13.668850819807991
Kenya,Generic_Rooftop_2023,RPV,Solar,2026,13.668850819807991
Kenya,Generic_Rooftop_2024,RPV,Solar,2026,13.66885081980799
Kenya,Generic_Rooftop_2025,RPV,Solar,2026,13.668850819807991
Kenya,Generic_Rooftop_2026,RPV,Solar,2026,13.668850819807991
Kenya,REA_Garissa_Solar,PV,Solar,2026,14.21680966558749
Kenya,Olkaria_I_,Geothermal,Geothermal,2026,12.194175653356693
Kenya,Orpower_4_(II),Geothermal,Geothermal,2026,12.194175653356652
Kenya,Alten_Kesses_1_Kenya_Ltd,PV,Solar,2026,7.244730814699387
Kenya,Eldosol-Cedate,PV,Solar,2026,7.244730814699387
Kenya,Malindi_Solar-_Vateki,PV,Solar,2026,7.244730814699387
Kenya,Masinga,ROR,Water,2026,6.707092773666652
Kenya,Orpower_4_(IV),Geothermal,Geothermal,2026,12.876432712534006
Kenya,Mumias_(Biomass),BiomassPlant,Biomass,2026,113.15749426925818
Kenya,Ngong_Hills_Wind,OnshoreWind,Wind,2026,6.795207853817581
Kenya,ExistingSmallHydro,ROR,Water,2026,9.70094872004576
Kenya,Sangoro,ROR,Water,2026,6.68626309866036
Kenya,Tana,ROR,Water,2026,7.451333057647834
Kenya,Kwale_Co-Generation_TAnaBiomass,BiomassPlant,Biomass,2026,134.62818548948613
Kenya,Orpower_4_(III),Geothermal,Geothermal,2026,12.19417565335662
Burundi,Rusumo_Falls,ReservoirHydro,Water,2026,11.538112394475636
Burundi,Kirasa-karonge,ROR,Water,2026,48.29183176258803
Burundi,CTH_30,ICE,Diesel,2026,249.88811334348017
Burundi,Rwegura,ReservoirHydro,Water,2026,6.207762557077625
Burundi,RUZB_007,ReservoirHydro,Water,2026,11.585687933450398
Burundi,Ruzizi_II,ROR,Water,2026,9.330489915580474
Burundi,CTH_10,ICE,Diesel,2026,249.88811334348017
Burundi,Mubuga,PV,Solar,2026,7.415202156019332
Burundi,Kayenzi,ROR,Water,2026,14.339298070801874
Burundi,Mugere,ROR,Water,2026,14.3392980708019
Burundi,CTH_5,ICE,Diesel,2026,249.7866420091327
Burundi,Ruzizi_I,ROR,Water,2026,9.368550346760278
Burundi,Nyemanga,ROR,Water,2026,9.330489915580474
Burundi,Gikonge,ROR,Water,2026,14.3392980708019
Burundi,Ruvyironza,ReservoirHydro,Water,2026,11.538112394475643
Burundi,Buhiga,ROR,Water,2026,14.3392980708019
Djibouti,Akuo,PV,Solar,2026,115.12081354241003
Djibouti,Battery_5MW_DJI,Storage,Battery,2026,64.23943852363816
Djibouti,Wind_on,OnshoreWind,Wind,2026,75.00000000000001
Djibouti,MaraboutG22,ICE,HFO,2026,162.63515276232238
Djibouti,MaraboutG25,ICE,HFO,2026,187.89929219849932
Djibouti,MaraboutG21,ICE,HFO,2026,168.25846192177724
Djibouti,MaraboutG23,ICE,HFO,2026,166.76033811056192
Djibouti,MaraboutG12,ICE,HFO,2026,169.88859392575935
Djibouti,MaraboutG17,ICE,HFO,2026,172.20391997287223
Djibouti,MaraboutG18,ICE,HFO,2026,167.72884344467155
Djibouti,MaraboutG31,ICE,HFO,2026,184.058068034408
Drc_E,Lubero,ROR,Water,2026,57.47351479525217
Drc_E,LungudiII,ROR,Water,2026,100.861697508489
Drc_E,Matebe,ROR,Water,2026,49.36164377933053
Drc_E,VIRUNGATalyiaNord1TalyiaNord2Ivugha,ROR,Water,2026,37.97538738522511
Drc_E,Ruzizi_II_DRCMutwanga,ROR,Water,2026,4.489569403226366
Drc_E,Ruzizi_I_DRC,ROR,Water,2026,7.684627933757348
Egypt,High-Dam_HY,ReservoirHydro,Water,2026,11.643835616438352
Egypt,Benban_PV,PV,Solar,2026,9.139637447342524
Egypt,Beni-Suef-1_CCGT,CCGT,Gas,2026,93.00105791623297
Egypt,Beni-Suef-2_CCGT,CCGT,Gas,2026,90.54832103646156
Egypt,Beni-Suef-3_CCGT,CCGT,Gas,2026,89.1589836892135
Egypt,Beni-Suef-4_CCGT,CCGT,Gas,2026,88.42967936104752
Egypt,Burullus-1_CCGT,CCGT,Gas,2026,88.73905871629117
Egypt,Burullus-2_CCGT,CCGT,Gas,2026,89.13778785863846
Egypt,Burullus-3_CCGT,CCGT,Gas,2026,88.81723200125182
Egypt,Burullus-4_CCGT,CCGT,Gas,2026,88.37121748789401
Egypt,New-Capital-1_CCGT,CCGT,Gas,2026,88.39650762024978
Egypt,New-Capital-2_CCGT,CCGT,Gas,2026,89.38408702999597
Egypt,New-Capital-3_CCGT,CCGT,Gas,2026,87.37388926072391
Egypt,New-Capital-4_CCGT,CCGT,Gas,2026,86.6353690707311
Egypt,Banha_CCGT,CCGT,Gas,2026,79.6462007209803
Egypt,Cairo-North-1_CCGT,CCGT,Gas,2026,82.46860072098026
Egypt,Cairo-North-2_CCGT,CCGT,Gas,2026,82.46860072098028
Egypt,El-Atf_CCGT,CCGT,Gas,2026,81.17500072098048
Egypt,Giza-1_CCGT,CCGT,Gas,2026,82.82140072098088
Egypt,Giza-2_CCGT,CCGT,Gas,2026,82.82140072098089
Egypt,Giza-3_CCGT,CCGT,Gas,2026,82.82140072098086
Egypt,Kuriemat-1_CCGT,CCGT,Gas,2026,79.64620072098037
Egypt,Kuriemat-2_CCGT,CCGT,Gas,2026,78.35260072098023
Egypt,Nubaria-1_CCGT,CCGT,Gas,2026,81.9982007209804
Egypt,Nubaria-2_CCGT,CCGT,Gas,2026,81.99820072098045
Egypt,Nubaria-3_CCGT,CCGT,Gas,2026,81.9982007209804
Egypt,Sidi-Kirir_CCGT,CCGT,Gas,2026,80.11660072098024
Egypt,Talkha-2_CCGT,CCGT,Gas,2026,78.3526007209802
Egypt,West-Assiut-1_CCGT,CCGT,Gas,2026,99.70671940964476
Egypt,West-Assiut-2_CCGT,CCGT,Gas,2026,89.39573721701106
Egypt,West-Damietta_CCGT,CCGT,Gas,2026,87.73575409154203
Egypt,West-Damietta-Ext_CCGT,CCGT,Gas,2026,86.72849329901479
Egypt,Port-Said-East_ST,ST,Gas,2026,1.3952308472856425
Egypt,ACWA-POWER_PV,PV,Solar,2026,50.11487618953798
Egypt,AMYA-POWER_PV,PV,Solar,2026,52.247424112497086
Egypt,ACWA-Power_WI,OnshoreWind,Wind,2026,46.21967302446692
Egypt,AMYA-POWER_WI,OnshoreWind,Wind,2026,49.304465990531575
Egypt,Engie-Orasco-Toyota_WI,OnshoreWind,Wind,2026,49.304465990531575
Egypt,Masdar_WI,OnshoreWind,Wind,2026,49.30446599053158
Egypt,Siemens-Gamesa_WI,OnshoreWind,Wind,2026,49.82346036937931
Egypt,South-Helwan-1_ST,ST,Gas,2026,1.3952308472856412
Egypt,South-Helwan-2_ST,ST,Gas,2026,1.3952308472856414
Egypt,South-Helwan-3_ST,ST,Gas,2026,1.3952308472856416
Egypt,6Oct-Ext-1_CCGT,CCGT,Gas,2026,99.50969230769246
Egypt,Gabal-El-Zeit_WI,OnshoreWind,Wind,2026,16.083618663681648
Egypt,Zafarana_WI,OnshoreWind,Wind,2026,16.602445072187525
Egypt,New-Shabab-1_CCGT,CCGT,Gas,2026,90.51270070613796
Egypt,New-Shabab-2_CCGT,CCGT,Gas,2026,91.15722388059702
Egypt,New-Shabab-3_CCGT,CCGT,Gas,2026,92.28769545154913
Egypt,6Oct-Ext-2_CCGT,CCGT,Gas,2026,100.39462782401904
Egypt,Aswan-Dam_HY,ReservoirHydro,Water,2026,11.64383561643836
Egypt,Aswan-Dam-2_HY,ReservoirHydro,Water,2026,11.64383561643835
Egypt,Ras-Gharib_WI,OnshoreWind,Wind,2026,16.083618663681655
Egypt,Esna_HY,ROR,Water,2026,11.643835616438414
Egypt,Naga-Hamadi_HY,ROR,Water,2026,6.670947488584459
Egypt,Assiut_HY,ROR,Water,2026,10.87567732115678
Egypt,Kom-Ombo_PV,PV,Solar,2026,16.285172178901227
Egypt,Kuriemat_CSP,CSPPlant,Solar,2026,21.795003604902675
Ethiopia,Gibe_III,ReservoirHydro,Water,2026,7.040342150259172
Ethiopia,GERD_2_HEP,ReservoirHydro,Water,2026,15.123508654007727
Ethiopia,Beles_HEP,ReservoirHydro,Water,2026,15.10320523577781
Ethiopia,Gibe_II,ROR,Water,2026,9.39411702815225
Ethiopia,Genale_Dawa_III,ReservoirHydro,Water,2026,55.90062111801242
Ethiopia,GERD_1_HEP,ReservoirHydro,Water,2026,642.8571428571429
Ethiopia,Gibe_I,ReservoirHydro,Water,2026,620.6896551724138
Ethiopia,Adama_II,OnshoreWind,Wind,2026,34.88494931654915
Ethiopia,Ashegoda,OnshoreWind,Wind,2026,104.58590474529409
Ethiopia,Dicheto_solar,PV,Solar,2026,71.30510313699202
Ethiopia,Gad-I_solar,PV,Solar,2026,297.8382396821538
Ethiopia,GERD_3_HEP,ReservoirHydro,Water,2026,66217.6576441383
Ethiopia,Koysha_(Gibe_IV),ReservoirHydro,Water,2026,12.06500507386906
Ethiopia,Adama_I,OnshoreWind,Wind,2026,35.25606579864011
Ethiopia,Awash_II,ROR,Water,2026,15.562103166369258
Ethiopia,Awash_III,ROR,Water,2026,12.37501237501233
Ethiopia,Aba_Samuel,ROR,Water,2026,6.829929296571921
Ethiopia,GERD_3a_HEP,ReservoirHydro,Water,2026,4.395218002812938
Libya,GT_EX_GAS_ALC_16_LIB,OCGT,Gas,2026,136.03548348294422
Libya,GT_EX_GAS_ALC_10_LIB,OCGT,Gas,2026,98.76095731052176
Libya,CC_EX_GAS_ALC_07_LIB,CCGT,Gas,2026,89.64766013089108
Libya,CC_EX_GAS_ALC_11_LIB,CCGT,Gas,2026,86.88723084728534
Libya,GT_EX_GAS_ALC_17_LIB,OCGT,Gas,2026,127.03950043210789
Libya,CC_EX_GAS_ALC_10_LIB,CCGT,Gas,2026,86.9386324479258
Libya,CC_EX_GAS_ALC_15_LIB,CCGT,Gas,2026,86.94346872573784
Libya,GT_EX_GAS_ALC_15_LIB,OCGT,Gas,2026,127.25451380976492
Libya,PV_CM_SPV_ALC_19_LIB,PV,Solar,2026,19.890007531680208
Libya,WI_CM_WND_ALC_18_LIB,OnshoreWind,Wind,2026,34.59067621425871
Rwanda,Ntaruka,ReservoirHydro,Water,2026,12.515302689505344
Rwanda,Mukungwa_I,ReservoirHydro,Water,2026,12.515302689505372
Rwanda,Nyabarongo_I,ReservoirHydro,Water,2026,15.3856703904612
Rwanda,Gisenyi,ROR,Water,2026,13.081593885052856
Rwanda,Gihira,ROR,Water,2026,13.081593885052856
Rwanda,Rukarara_I,ROR,Water,2026,12.515302689505294
Rwanda,Rugezi,ROR,Water,2026,14.76940639269408
Rwanda,Keya,ROR,Water,2026,13.08159388505288
Rwanda,Agatobwe,ROR,Water,2026,11.915525114155283
Rwanda,Nkora,ROR,Water,2026,13.081593885052872
Rwanda,Cyimbili,ROR,Water,2026,6.841958396752922
Rwanda,Gaseke,ROR,Water,2026,13.081593885052907
Rwanda,Mazimeru,ROR,Water,2026,13.081593885052907
Rwanda,Gashashi,ROR,Water,2026,13.081593885052843
Rwanda,Nshili_I,ROR,Water,2026,13.08159388505279
Rwanda,Rwaza_Muko,ROR,Water,2026,13.081593885052891
Rwanda,Musarara,ROR,Water,2026,13.08159388505279
Rwanda,Mukungwa_II,ROR,Water,2026,13.081593885052856
Rwanda,Rukarara_II,ROR,Water,2026,10.012937595129412
Rwanda,Nyirabuhombohombo,ROR,Water,2026,13.081593885052891
Rwanda,Giciye_I,ROR,Water,2026,13.081593885052907
Rwanda,Giciye_II,ROR,Water,2026,13.081593885052907
Rwanda,Giciye_III,ROR,Water,2026,13.081593885052866
Rwanda,Rukarara_V_Mushishito,ROR,Water,2026,10.012937595129376
Rwanda,Rubagabaga,ROR,Water,2026,11.91552511415527
Rwanda,Nyirantaruko,ROR,Water,2026,13.081593885052868
Rwanda,Kigasa,ROR,Water,2026,13.081593885052795
Rwanda,Kavumu-Mwange,ROR,Water,2026,13.081593885052875
Rwanda,Ntaruka_A,ROR,Water,2026,10.565275108042329
Rwanda,Gishoma,ST,Peat,2026,152.3648671361869
Rwanda,Hakan,ST,Peat,2026,152.2233251070911
Rwanda,Kivuwatt_Phase_I,Methane,Methane,2026,91.45752790271136
Rwanda,KP1,Methane,Methane,2026,90.50075485300786
Rwanda,SPLK,Methane,Methane,2026,71.76835215144344
Rwanda,GigaWatt,PV,Solar,2026,7.704321406648148
Rwanda,Nasho_Solar,PV,Solar,2026,7.70432140664815
Rwanda,PV_generic,PV,Solar,2026,35.99028013365064
Rwanda,Methane_generic,Methane,Methane,2026,104.2318758334642
SouthSudan,Juba,ICE,Diesel,2026,280.09800590921327
SouthSudan,Malakal,ICE,Diesel,2026,308.821205909213
SouthSudan,Bor,ICE,Diesel,2026,316.14280590921345
SouthSudan,Rumbek,ICE,Diesel,2026,323.7460059092127
SouthSudan,Wau,ICE,Diesel,2026,331.91240590921234
SouthSudan,Yambio,ICE,Diesel,2026,319.2404059092127
SouthSudan,Kapoeta,ICE,Diesel,2026,330.7860059092136
SouthSudan,Maridi,ICE,Diesel,2026,334.4468059092131
Sudan,HYD_STOHY_Nile_09_SUD,ReservoirHydro,Water,2026,2.609005588193152
Sudan,SC_CO_09_SUD,ST,Coal,2026,9.828148272216271
Sudan,CC_LF_03_SUD,CCGT,LFO,2026,93.34738648263986
