z,y,q,d,uni,t,value
Burundi,2026,Q1,d1,Reservoir,t22,18.0
Burundi,2026,Q1,d1,Reservoir,t23,18.0
Burundi,2026,Q1,d1,Reservoir,t24,18.0
Burundi,2026,Q1,d1,Reservoir,t3,51.458
Burundi,2026,Q1,d1,Reservoir,t4,19.0
Burundi,2026,Q1,d1,Reservoir,t5,36.458
Burundi,2026,Q1,d1,Reservoir,t6,34.0
Burundi,2026,Q1,d1,Reservoir,t7,36.365660000000005
Burundi,2026,Q1,d1,Reservoir,t8,18.0
Burundi,2026,Q1,d1,Reservoir,t9,51.996056293950005
Burundi,2026,Q1,d1,Unmet demand,t1,108.0488971333131
Burundi,2026,Q1,d1,Unmet demand,t10,152.5312190702481
Burundi,2026,Q1,d1,Unmet demand,t11,106.37645678985562
Burundi,2026,Q1,d1,Unmet demand,t12,139.36244398368024
Burundi,2026,Q1,d1,Unmet demand,t13,127.49437691332967
Burundi,2026,Q1,d1,Unmet demand,t14,86.3214894950955
Burundi,2026,Q1,d1,Unmet demand,t15,150.86929659829332
Burundi,2026,Q1,d1,Unmet demand,t16,109.46636586396868
Burundi,2026,Q1,d1,Unmet demand,t17,116.35011017011873
Burundi,2026,Q1,d1,Unmet demand,t18,134.7112892193396
Burundi,2026,Q1,d1,Unmet demand,t19,129.25279273748475
Burundi,2026,Q1,d1,Unmet demand,t2,110.05809493807284
Burundi,2026,Q1,d1,Unmet demand,t20,168.1815544661749
Burundi,2026,Q1,d1,Unmet demand,t21,201.371181646548
Burundi,2026,Q1,d1,Unmet demand,t22,184.70575634536624
Burundi,2026,Q1,d1,Unmet demand,t23,175.2679831801094
Burundi,2026,Q1,d1,Unmet demand,t24,133.4641883019381
Burundi,2026,Q1,d1,Unmet demand,t3,46.94597718946771
Burundi,2026,Q1,d1,Unmet demand,t4,93.58452572698792
Burundi,2026,Q1,d1,Unmet demand,t5,68.01137039167496
Burundi,2026,Q1,d1,Unmet demand,t6,74.00700784305766
Burundi,2026,Q1,d1,Unmet demand,t7,118.25345097286365
Burundi,2026,Q1,d1,Unmet demand,t8,115.37182656243552
Burundi,2026,Q1,d1,Unmet demand,t9,82.83802892884484
Burundi,2026,Q1,d2,Demand,t1,163.99144753779706
Burundi,2026,Q1,d2,Demand,t10,208.14769075667985
Burundi,2026,Q1,d2,Demand,t11,207.23796488366665
Burundi,2026,Q1,d2,Demand,t12,202.0559830174319
Burundi,2026,Q1,d2,Demand,t13,205.73519038063768
Burundi,2026,Q1,d2,Demand,t14,196.86248575943912
Burundi,2026,Q1,d2,Demand,t15,194.12179303218815
Burundi,2026,Q1,d2,Demand,t16,198.8546697995686
Burundi,2026,Q1,d2,Demand,t17,202.88510029749924
Burundi,2026,Q1,d2,Demand,t18,214.3718266353312
Burundi,2026,Q1,d2,Demand,t19,212.86329415287668
Burundi,2026,Q1,d2,Demand,t2,145.88905746479608
Burundi,2026,Q1,d2,Demand,t20,251.0545006431291
Burundi,2026,Q1,d2,Demand,t21,273.152774188147
Burundi,2026,Q1,d2,Demand,t22,269.08779751494234
Burundi,2026,Q1,d2,Demand,t23,244.4676259544482
Burundi,2026,Q1,d2,Demand,t24,203.90422324285333
Burundi,2026,Q1,d2,Demand,t3,140.4191876855987
Burundi,2026,Q1,d2,Demand,t4,141.3116401874283
Burundi,2026,Q1,d2,Demand,t5,136.78604274006466
Burundi,2026,Q1,d2,Demand,t6,149.9367610503638
Burundi,2026,Q1,d2,Demand,t7,175.09240428208352
Burundi,2026,Q1,d2,Demand,t8,182.84234601437305
Burundi,2026,Q1,d2,Demand,t9,192.69386914267943
Burundi,2026,Q1,d2,Diesel,t1,42.0
Burundi,2026,Q1,d2,Diesel,t10,26.0
Burundi,2026,Q1,d2,Diesel,t11,34.0
Burundi,2026,Q1,d2,Diesel,t12,26.0
Burundi,2026,Q1,d2,Diesel,t13,34.0
Burundi,2026,Q1,d2,Diesel,t14,42.0
Burundi,2026,Q1,d2,Diesel,t15,26.0
Burundi,2026,Q1,d2,Diesel,t16,34.0
Burundi,2026,Q1,d2,Diesel,t17,26.0
Burundi,2026,Q1,d2,Diesel,t18,42.0
Burundi,2026,Q1,d2,Diesel,t19,34.0
Burundi,2026,Q1,d2,Diesel,t2,18.0
Burundi,2026,Q1,d2,Diesel,t20,26.0
Burundi,2026,Q1,d2,Diesel,t21,34.0
Burundi,2026,Q1,d2,Diesel,t22,18.0
Burundi,2026,Q1,d2,Diesel,t23,18.0
Burundi,2026,Q1,d2,Diesel,t24,18.0
Burundi,2026,Q1,d2,Diesel,t3,42.0
Burundi,2026,Q1,d2,Diesel,t4,26.0
Burundi,2026,Q1,d2,Diesel,t5,34.0
Burundi,2026,Q1,d2,Diesel,t6,42.0
Burundi,2026,Q1,d2,Diesel,t7,26.0
Burundi,2026,Q1,d2,Diesel,t8,34.0
Burundi,2026,Q1,d2,Diesel,t9,42.0
Burundi,2026,Q1,d2,PV,t10,7.599440231999999
Burundi,2026,Q1,d2,PV,t11,8.384585319000001
Burundi,2026,Q1,d2,PV,t12,8.384585319000001
Burundi,2026,Q1,d2,PV,t13,8.384585319000001
Burundi,2026,Q1,d2,PV,t14,8.384585319000001
Burundi,2026,Q1,d2,PV,t15,7.010808858000001
Burundi,2026,Q1,d2,PV,t16,4.916482101
Burundi,2026,Q1,d2,PV,t17,2.742094197
Burundi,2026,Q1,d2,PV,t18,0.7722
Burundi,2026,Q1,d2,PV,t19,0.000909
Burundi,2026,Q1,d2,PV,t6,0.006372
Burundi,2026,Q1,d2,PV,t7,1.072637379
Burundi,2026,Q1,d2,PV,t8,3.379853997
Burundi,2026,Q1,d2,PV,t9,5.679792333
Burundi,2026,Q1,d2,ROR,t1,22.125
Burundi,2026,Q1,d2,ROR,t10,22.125
Burundi,2026,Q1,d2,ROR,t11,22.125
Burundi,2026,Q1,d2,ROR,t12,22.125
Burundi,2026,Q1,d2,ROR,t13,22.125
Burundi,2026,Q1,d2,ROR,t14,22.125
Burundi,2026,Q1,d2,ROR,t15,22.125
Burundi,2026,Q1,d2,ROR,t16,22.125
Burundi,2026,Q1,d2,ROR,t17,22.125
Burundi,2026,Q1,d2,ROR,t18,22.125
Burundi,2026,Q1,d2,ROR,t19,22.125
Burundi,2026,Q1,d2,ROR,t2,22.125
Burundi,2026,Q1,d2,ROR,t20,22.125
Burundi,2026,Q1,d2,ROR,t21,22.125
Burundi,2026,Q1,d2,ROR,t22,22.125
Burundi,2026,Q1,d2,ROR,t23,22.125
Burundi,2026,Q1,d2,ROR,t24,22.125
Burundi,2026,Q1,d2,ROR,t3,22.125
Burundi,2026,Q1,d2,ROR,t4,22.125
Burundi,2026,Q1,d2,ROR,t5,22.125
Burundi,2026,Q1,d2,ROR,t6,22.125
Burundi,2026,Q1,d2,ROR,t7,22.125
Burundi,2026,Q1,d2,ROR,t8,22.125
Burundi,2026,Q1,d2,ROR,t9,22.125
Burundi,2026,Q1,d2,Reservoir,t1,18.0
Burundi,2026,Q1,d2,Reservoir,t10,18.0
Burundi,2026,Q1,d2,Reservoir,t11,18.0
Burundi,2026,Q1,d2,Reservoir,t12,18.0
Burundi,2026,Q1,d2,Reservoir,t13,18.0
Burundi,2026,Q1,d2,Reservoir,t14,18.0
Burundi,2026,Q1,d2,Reservoir,t15,18.0
Burundi,2026,Q1,d2,Reservoir,t16,18.0
Burundi,2026,Q1,d2,Reservoir,t17,18.0
Burundi,2026,Q1,d2,Reservoir,t18,18.0
Burundi,2026,Q1,d2,Reservoir,t19,18.0
Burundi,2026,Q1,d2,Reservoir,t2,18.0
Burundi,2026,Q1,d2,Reservoir,t20,18.0
Burundi,2026,Q1,d2,Reservoir,t21,18.0
Burundi,2026,Q1,d2,Reservoir,t22,18.0
Burundi,2026,Q1,d2,Reservoir,t23,18.0
Burundi,2026,Q1,d2,Reservoir,t24,18.0
Burundi,2026,Q1,d2,Reservoir,t3,18.0
Burundi,2026,Q1,d2,Reservoir,t4,18.0
Burundi,2026,Q1,d2,Reservoir,t5,18.0
Burundi,2026,Q1,d2,Reservoir,t6,18.0
Burundi,2026,Q1,d2,Reservoir,t7,18.0
Burundi,2026,Q1,d2,Reservoir,t8,18.0
Burundi,2026,Q1,d2,Reservoir,t9,18.0
Burundi,2026,Q1,d2,Unmet demand,t1,81.86644753779703
Burundi,2026,Q1,d2,Unmet demand,t10,134.42325052467982
Burundi,2026,Q1,d2,Unmet demand,t11,124.72837956466664
Burundi,2026,Q1,d2,Unmet demand,t12,127.5463976984319
Burundi,2026,Q1,d2,Unmet demand,t13,123.22560506163768
Burundi,2026,Q1,d2,Unmet demand,t14,106.35290044043911
Burundi,2026,Q1,d2,Unmet demand,t15,120.98598417418818
Burundi,2026,Q1,d2,Unmet demand,t16,119.81318769856856
Burundi,2026,Q1,d2,Unmet demand,t17,134.01800610049924
Burundi,2026,Q1,d2,Unmet demand,t18,131.47462663533122
Burundi,2026,Q1,d2,Unmet demand,t19,138.73738515287667
Burundi,2026,Q1,d2,Unmet demand,t2,87.76405746479605
Burundi,2026,Q1,d2,Unmet demand,t20,184.9295006431291
Burundi,2026,Q1,d2,Unmet demand,t21,199.02777418814705
Burundi,2026,Q1,d2,Unmet demand,t22,210.9627975149424
Burundi,2026,Q1,d2,Unmet demand,t23,186.3426259544482
Burundi,2026,Q1,d2,Unmet demand,t24,145.77922324285333
Burundi,2026,Q1,d2,Unmet demand,t3,58.294187685598686
Burundi,2026,Q1,d2,Unmet demand,t4,75.18664018742828
Burundi,2026,Q1,d2,Unmet demand,t5,62.66104274006464
Burundi,2026,Q1,d2,Unmet demand,t6,67.80538905036379
Burundi,2026,Q1,d2,Unmet demand,t7,107.8947669030835
Burundi,2026,Q1,d2,Unmet demand,t8,105.337492017373
Burundi,2026,Q1,d2,Unmet demand,t9,104.88907680967942
Burundi,2026,Q1,d3,Demand,t1,165.56331524201386
Burundi,2026,Q1,d3,Demand,t10,200.85261181912364
Burundi,2026,Q1,d3,Demand,t11,210.3356387250681
Burundi,2026,Q1,d3,Demand,t12,213.47937441704812
Burundi,2026,Q1,d3,Demand,t13,214.9821489200772
Burundi,2026,Q1,d3,Demand,t14,205.13638348764977
Burundi,2026,Q1,d3,Demand,t15,199.61469387844815
Burundi,2026,Q1,d3,Demand,t16,193.36176923685517
Burundi,2026,Q1,d3,Demand,t17,200.57048160204
Burundi,2026,Q1,d3,Demand,t18,191.6229263673212
Burundi,2026,Q1,d3,Demand,t19,197.81827348303096
Burundi,2026,Q1,d3,Demand,t2,154.76751978187363
Burundi,2026,Q1,d3,Demand,t20,235.42794645147904
Burundi,2026,Q1,d3,Demand,t21,259.7429567278268
Burundi,2026,Q1,d3,Demand,t22,253.28275276621704
Burundi,2026,Q1,d3,Demand,t23,231.46085145885715
Burundi,2026,Q1,d3,Demand,t24,197.3749260800557
Burundi,2026,Q1,d3,Demand,t3,148.33610458320538
Burundi,2026,Q1,d3,Demand,t4,144.97933187532948
Burundi,2026,Q1,d3,Demand,t5,143.03896738165767
Burundi,2026,Q1,d3,Demand,t6,145.84299533067093
Burundi,2026,Q1,d3,Demand,t7,162.86292695300904
Burundi,2026,Q1,d3,Demand,t8,180.3492367618385
Burundi,2026,Q1,d3,Demand,t9,191.6229263673212
Burundi,2026,Q1,d3,Diesel,t1,18.0
Burundi,2026,Q1,d3,Diesel,t10,18.0
Burundi,2026,Q1,d3,Diesel,t11,48.0
Burundi,2026,Q1,d3,Diesel,t12,48.0
Burundi,2026,Q1,d3,Diesel,t13,48.0
Burundi,2026,Q1,d3,Diesel,t14,48.0
Burundi,2026,Q1,d3,Diesel,t15,48.0
Burundi,2026,Q1,d3,Diesel,t16,48.0
Burundi,2026,Q1,d3,Diesel,t17,48.0
Burundi,2026,Q1,d3,Diesel,t18,28.0
Burundi,2026,Q1,d3,Diesel,t19,38.0
Burundi,2026,Q1,d3,Diesel,t2,48.0
Burundi,2026,Q1,d3,Diesel,t20,48.0
Burundi,2026,Q1,d3,Diesel,t21,48.0
Burundi,2026,Q1,d3,Diesel,t22,48.0
Burundi,2026,Q1,d3,Diesel,t23,48.0
Burundi,2026,Q1,d3,Diesel,t24,48.0
Burundi,2026,Q1,d3,Diesel,t3,48.0
Burundi,2026,Q1,d3,Diesel,t4,48.0
Burundi,2026,Q1,d3,Diesel,t5,48.0
Burundi,2026,Q1,d3,Diesel,t6,48.0
Burundi,2026,Q1,d3,Diesel,t7,48.0
Burundi,2026,Q1,d3,Diesel,t8,48.0
Burundi,2026,Q1,d3,Diesel,t9,48.0
Burundi,2026,Q1,d3,PV,t10,7.004440359
Burundi,2026,Q1,d3,PV,t11,8.091634311
Burundi,2026,Q1,d3,PV,t12,7.963354520999999
Burundi,2026,Q1,d3,PV,t13,7.238255292000001
Burundi,2026,Q1,d3,PV,t14,6.244769268
Burundi,2026,Q1,d3,PV,t15,4.330580085
Burundi,2026,Q1,d3,PV,t16,3.096910638
Burundi,2026,Q1,d3,PV,t17,1.774991961
Burundi,2026,Q1,d3,PV,t18,0.5166
Burundi,2026,Q1,d3,PV,t19,0.000909
Burundi,2026,Q1,d3,PV,t6,0.004545
Burundi,2026,Q1,d3,PV,t7,0.7641
Burundi,2026,Q1,d3,PV,t8,2.677499415
Burundi,2026,Q1,d3,PV,t9,5.122093680000001
Burundi,2026,Q1,d3,ROR,t1,22.125
Burundi,2026,Q1,d3,ROR,t10,22.125
Burundi,2026,Q1,d3,ROR,t11,22.125
Burundi,2026,Q1,d3,ROR,t12,22.125
Burundi,2026,Q1,d3,ROR,t13,22.125
Burundi,2026,Q1,d3,ROR,t14,22.125
Burundi,2026,Q1,d3,ROR,t15,22.125
Burundi,2026,Q1,d3,ROR,t16,22.125
Burundi,2026,Q1,d3,ROR,t17,22.125
Burundi,2026,Q1,d3,ROR,t18,22.125
Burundi,2026,Q1,d3,ROR,t19,22.125
Burundi,2026,Q1,d3,ROR,t2,22.125
Burundi,2026,Q1,d3,ROR,t20,22.125
Burundi,2026,Q1,d3,ROR,t21,22.125
Burundi,2026,Q1,d3,ROR,t22,22.125
Burundi,2026,Q1,d3,ROR,t23,22.125
Burundi,2026,Q1,d3,ROR,t24,22.125
Burundi,2026,Q1,d3,ROR,t3,22.125
Burundi,2026,Q1,d3,ROR,t4,22.125
Burundi,2026,Q1,d3,ROR,t5,22.125
Burundi,2026,Q1,d3,ROR,t6,22.125
Burundi,2026,Q1,d3,ROR,t7,22.125
Burundi,2026,Q1,d3,ROR,t8,22.125
Burundi,2026,Q1,d3,ROR,t9,22.125
Burundi,2026,Q1,d3,Reservoir,t1,46.458
Burundi,2026,Q1,d3,Reservoir,t10,44.40733394615
Burundi,2026,Q1,d3,Reservoir,t11,36.24425485335
Burundi,2026,Q1,d3,Reservoir,t12,27.0
Burundi,2026,Q1,d3,Reservoir,t13,45.3722617062
Burundi,2026,Q1,d3,Reservoir,t14,44.521284609800006
Burundi,2026,Q1,d3,Reservoir,t15,45.80841298725
Burundi,2026,Q1,d3,Reservoir,t16,18.0
Burundi,2026,Q1,d3,Reservoir,t17,46.19175120585
Burundi,2026,Q1,d3,Reservoir,t18,45.38051
Burundi,2026,Q1,d3,Reservoir,t19,46.45786365
Burundi,2026,Q1,d3,Reservoir,t2,45.458
Burundi,2026,Q1,d3,Reservoir,t20,27.0
Burundi,2026,Q1,d3,Reservoir,t21,46.458
Burundi,2026,Q1,d3,Reservoir,t22,36.458
Burundi,2026,Q1,d3,Reservoir,t23,46.458
Burundi,2026,Q1,d3,Reservoir,t24,36.458
Burundi,2026,Q1,d3,Reservoir,t3,28.0
Burundi,2026,Q1,d3,Reservoir,t4,45.458
Burundi,2026,Q1,d3,Reservoir,t5,37.458
Burundi,2026,Q1,d3,Reservoir,t6,45.45731825
Burundi,2026,Q1,d3,Reservoir,t7,28.0
Burundi,2026,Q1,d3,Reservoir,t8,45.05637508775
Burundi,2026,Q1,d3,Reservoir,t9,45.689685948000005
Burundi,2026,Q1,d3,Unmet demand,t1,78.98031524201383
Burundi,2026,Q1,d3,Unmet demand,t10,109.31583751397362
Burundi,2026,Q1,d3,Unmet demand,t11,95.87474956071804
Burundi,2026,Q1,d3,Unmet demand,t12,108.39101989604812
Burundi,2026,Q1,d3,Unmet demand,t13,92.24663192187714
Burundi,2026,Q1,d3,Unmet demand,t14,84.24532960984973
Burundi,2026,Q1,d3,Unmet demand,t15,79.35070080619815
Burundi,2026,Q1,d3,Unmet demand,t16,102.13985859885511
Burundi,2026,Q1,d3,Unmet demand,t17,82.47873843518994
Burundi,2026,Q1,d3,Unmet demand,t18,95.60081636732116
Burundi,2026,Q1,d3,Unmet demand,t19,91.23450083303092
Burundi,2026,Q1,d3,Unmet demand,t2,39.18451978187362
Burundi,2026,Q1,d3,Unmet demand,t20,138.30294645147902
Burundi,2026,Q1,d3,Unmet demand,t21,143.15995672782682
Burundi,2026,Q1,d3,Unmet demand,t22,146.69975276621702
Burundi,2026,Q1,d3,Unmet demand,t23,114.87785145885714
Burundi,2026,Q1,d3,Unmet demand,t24,90.79192608005567
Burundi,2026,Q1,d3,Unmet demand,t3,50.21110458320537
Burundi,2026,Q1,d3,Unmet demand,t4,29.39633187532947
Burundi,2026,Q1,d3,Unmet demand,t5,35.45596738165766
Burundi,2026,Q1,d3,Unmet demand,t6,30.256132080670927
Burundi,2026,Q1,d3,Unmet demand,t7,63.973826953009024
Burundi,2026,Q1,d3,Unmet demand,t8,62.49036225908853
Burundi,2026,Q1,d3,Unmet demand,t9,70.68614673932119
Burundi,2026,Q1,d4,Demand,t1,159.13765773922464
Burundi,2026,Q1,d4,Demand,t10,201.69324449094896
Burundi,2026,Q1,d4,Demand,t11,208.3895165355173
Burundi,2026,Q1,d4,Demand,t12,214.24515590826024
Burundi,2026,Q1,d4,Demand,t13,217.4004072755449
Burundi,2026,Q1,d4,Demand,t14,204.8600112499917
Burundi,2026,Q1,d4,Demand,t15,198.68193722191893
Burundi,2026,Q1,d4,Demand,t16,200.0062214514192
Burundi,2026,Q1,d4,Demand,t17,202.8678269263157
Burundi,2026,Q1,d4,Demand,t18,212.1493322081223
Burundi,2026,Q1,d4,Demand,t19,207.18614505366244
Burundi,2026,Q1,d4,Demand,t2,142.25591251926207
Burundi,2026,Q1,d4,Demand,t20,239.4583766658632
Burundi,2026,Q1,d4,Demand,t21,255.0158376563254
Burundi,2026,Q1,d4,Demand,t22,256.8352891188052
Burundi,2026,Q1,d4,Demand,t23,239.37201037703832
Burundi,2026,Q1,d4,Demand,t24,202.320839863332
Burundi,2026,Q1,d4,Demand,t3,139.48067333319048
Burundi,2026,Q1,d4,Demand,t4,138.77822678019413
Burundi,2026,Q1,d4,Demand,t5,135.3120567164308
Burundi,2026,Q1,d4,Demand,t6,144.48416464234998
Burundi,2026,Q1,d4,Demand,t7,171.55138332125335
Burundi,2026,Q1,d4,Demand,t8,175.62787566976266
Burundi,2026,Q1,d4,Demand,t9,186.9821735846446
Burundi,2026,Q1,d4,Diesel,t1,48.0
Burundi,2026,Q1,d4,Diesel,t10,48.0
Burundi,2026,Q1,d4,Diesel,t11,48.0
Burundi,2026,Q1,d4,Diesel,t12,48.0
Burundi,2026,Q1,d4,Diesel,t13,28.0
Burundi,2026,Q1,d4,Diesel,t14,38.0
Burundi,2026,Q1,d4,Diesel,t15,48.0
Burundi,2026,Q1,d4,Diesel,t16,48.0
Burundi,2026,Q1,d4,Diesel,t17,48.0
Burundi,2026,Q1,d4,Diesel,t18,48.0
Burundi,2026,Q1,d4,Diesel,t19,48.0
Burundi,2026,Q1,d4,Diesel,t2,48.0
Burundi,2026,Q1,d4,Diesel,t20,48.0
Burundi,2026,Q1,d4,Diesel,t21,48.0
Burundi,2026,Q1,d4,Diesel,t22,48.0
Burundi,2026,Q1,d4,Diesel,t23,48.0
Burundi,2026,Q1,d4,Diesel,t24,18.0
Burundi,2026,Q1,d4,Diesel,t3,18.0
Burundi,2026,Q1,d4,Diesel,t4,48.0
Burundi,2026,Q1,d4,Diesel,t5,48.0
Burundi,2026,Q1,d4,Diesel,t6,48.0
Burundi,2026,Q1,d4,Diesel,t7,48.0
Burundi,2026,Q1,d4,Diesel,t8,48.0
Burundi,2026,Q1,d4,Diesel,t9,48.0
Burundi,2026,Q1,d4,PV,t10,5.681611899
Burundi,2026,Q1,d4,PV,t11,7.029004572
Burundi,2026,Q1,d4,PV,t12,7.800502878
Burundi,2026,Q1,d4,PV,t13,7.397467794000001
Burundi,2026,Q1,d4,PV,t14,6.172896195
Burundi,2026,Q1,d4,PV,t15,4.813676316
Burundi,2026,Q1,d4,PV,t16,3.270679713
Burundi,2026,Q1,d4,PV,t17,2.021543901
Burundi,2026,Q1,d4,PV,t18,0.5958
Burundi,2026,Q1,d4,PV,t6,0.001818
Burundi,2026,Q1,d4,PV,t7,0.4248
Burundi,2026,Q1,d4,PV,t8,1.7476983899999998
Burundi,2026,Q1,d4,PV,t9,3.839295798
Burundi,2026,Q1,d4,ROR,t1,22.125
Burundi,2026,Q1,d4,ROR,t10,22.125
Burundi,2026,Q1,d4,ROR,t11,22.125
Burundi,2026,Q1,d4,ROR,t12,22.125
Burundi,2026,Q1,d4,ROR,t13,22.125
Burundi,2026,Q1,d4,ROR,t14,22.125
Burundi,2026,Q1,d4,ROR,t15,22.125
Burundi,2026,Q1,d4,ROR,t16,22.125
Burundi,2026,Q1,d4,ROR,t17,22.125
Burundi,2026,Q1,d4,ROR,t18,22.125
Burundi,2026,Q1,d4,ROR,t19,22.125
Burundi,2026,Q1,d4,ROR,t2,22.125
Burundi,2026,Q1,d4,ROR,t20,22.125
Burundi,2026,Q1,d4,ROR,t21,22.125
Burundi,2026,Q1,d4,ROR,t22,22.125
Burundi,2026,Q1,d4,ROR,t23,22.125
Burundi,2026,Q1,d4,ROR,t24,22.125
Burundi,2026,Q1,d4,ROR,t3,22.125
Burundi,2026,Q1,d4,ROR,t4,22.125
Burundi,2026,Q1,d4,ROR,t5,22.125
Burundi,2026,Q1,d4,ROR,t6,22.125
Burundi,2026,Q1,d4,ROR,t7,22.125
Burundi,2026,Q1,d4,ROR,t8,22.125
Burundi,2026,Q1,d4,ROR,t9,22.125
Burundi,2026,Q1,d4,Reservoir,t1,30.258000000000003
Burundi,2026,Q1,d4,Reservoir,t10,45.60575821515
