z,y,q,d,tech,f,techfuel,t,value
Kenya,2026,Q1,d1,BiomassPlant,Biomass,Biomass,t21,44.0
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t1,36.49118000000001
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t2,42.7856
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t3,39.57668
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t4,39.5762299284
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t5,36.50829053739999
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t6,36.49118000000001
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t7,101.2044
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t8,322.12620000000004
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t9,322.12620000000004
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t10,322.12620000000004
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t11,339.4601991836
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t12,344.3418
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t13,339.405
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t14,322.12620000000004
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t15,311.8412
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t16,298.61702099239994
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t17,298.61702099239994
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t18,261.239
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t19,219.2762
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t20,219.2762
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t21,219.2762
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t22,202.8202
