z,y,tech,f,value,techfuel
Egypt,2026,OffshoreWind,Wind,0.0,Offshore Wind
Egypt,2026,OnshoreWind,Wind,2800.0,Onshore Wind
Egypt,2026,PV,Solar,700.0,PV
Egypt,2026,pvwsto,Solar,0.0,PV+Storage
Egypt,2026,STOPV,Solar,0.0,Solar Thermal
Egypt,2026,Storage,Battery,0.0,Battery
Egypt,2026,Storage,Water,0.0,PSH
Egypt,2026,Storage,Pumped,0.0,PSH
Egypt,2026,ImportTransmission,Import,0.0,Imports
Egypt,2026,ST,Peat,0.0,Peat
Egypt,2026,ST,Waste,0.0,Waste
Egypt,2026,Methane,Methane,0.0,Methane
Egypt,2026,CSPPlant,Solar,0.0,Solar
Egypt,2026,RPV,Solar,0.0,Solar
Ethiopia,2026,Nuclear,Uranium,0.0,Nuclear
Ethiopia,2026,CCGT,Gas,0.0,Gas
Ethiopia,2026,CCGT,LNG,0.0,Gas
Ethiopia,2026,ICE,Gas,0.0,Gas
Ethiopia,2026,OCGT,Gas,0.0,Gas
Ethiopia,2026,OCGT,LNG,0.0,Gas
Ethiopia,2026,ST,Gas,0.0,Gas
Ethiopia,2026,CCGT_CCS,Gas,0.0,Gas
Ethiopia,2026,OCGT_CCS,Gas,0.0,Gas
Ethiopia,2026,ST,Coal,0.0,Coal
Ethiopia,2026,ST,DomesticCoal,0.0,Coal
Ethiopia,2026,ST,ImportedCoal,0.0,Coal
Ethiopia,2026,ST,Lignite,0.0,Coal
Ethiopia,2026,ST,Geothermal,0.0,Geothermal
Ethiopia,2026,Geothermal,Geothermal,170.0,Geothermal
Ethiopia,2026,CCGT,LFO,0.0,Diesel
Ethiopia,2026,ICE,Diesel,0.0,Diesel
Ethiopia,2026,ICE,HFO,0.0,Diesel
Ethiopia,2026,OCGT,LFO,0.0,Diesel
Ethiopia,2026,OCGT,Diesel,0.0,Diesel
Ethiopia,2026,OCGT,HFO,0.0,Diesel
Ethiopia,2026,ST,HFO,0.0,Diesel
Ethiopia,2026,BiomassPlant,Biomass,171.0,Biomass
Ethiopia,2026,ST,Biomass,0.0,Biomass
Ethiopia,2026,ReservoirHydro,Water,3760.0,Reservoir
Ethiopia,2026,ROR,Water,0.0,ROR
Ethiopia,2026,CSPPlant,CSP,0.0,CSP
Ethiopia,2026,OffshoreWind,Wind,0.0,Offshore Wind
Ethiopia,2026,OnshoreWind,Wind,0.0,Onshore Wind
Ethiopia,2026,PV,Solar,250.0,PV
Ethiopia,2026,pvwsto,Solar,0.0,PV+Storage
Ethiopia,2026,STOPV,Solar,0.0,Solar Thermal
Ethiopia,2026,Storage,Battery,0.0,Battery
Ethiopia,2026,Storage,Water,0.0,PSH
Ethiopia,2026,Storage,Pumped,0.0,PSH
Ethiopia,2026,ImportTransmission,Import,0.0,Imports
Ethiopia,2026,ST,Peat,0.0,Peat
Ethiopia,2026,ST,Waste,0.0,Waste
Ethiopia,2026,Methane,Methane,0.0,Methane
Ethiopia,2026,CSPPlant,Solar,0.0,Solar
Ethiopia,2026,RPV,Solar,0.0,Solar
Kenya,2026,Nuclear,Uranium,0.0,Nuclear
Kenya,2026,CCGT,Gas,0.0,Gas
Kenya,2026,CCGT,LNG,0.0,Gas
Kenya,2026,ICE,Gas,0.0,Gas
Kenya,2026,OCGT,Gas,0.0,Gas
Kenya,2026,OCGT,LNG,0.0,Gas
Kenya,2026,ST,Gas,0.0,Gas
Kenya,2026,CCGT_CCS,Gas,0.0,Gas
Kenya,2026,OCGT_CCS,Gas,0.0,Gas
Kenya,2026,ST,Coal,0.0,Coal
Kenya,2026,ST,DomesticCoal,0.0,Coal
Kenya,2026,ST,ImportedCoal,0.0,Coal
Kenya,2026,ST,Lignite,0.0,Coal
Kenya,2026,ST,Geothermal,0.0,Geothermal
Kenya,2026,Geothermal,Geothermal,967.6737269477412,Geothermal
Kenya,2026,CCGT,LFO,0.0,Diesel
Kenya,2026,ICE,Diesel,0.0,Diesel
Kenya,2026,ICE,HFO,0.0,Diesel
Kenya,2026,OCGT,LFO,0.0,Diesel
Kenya,2026,OCGT,Diesel,0.0,Diesel
Kenya,2026,OCGT,HFO,0.0,Diesel
Kenya,2026,ST,HFO,0.0,Diesel
Kenya,2026,BiomassPlant,Biomass,0.0,Biomass
Kenya,2026,ST,Biomass,0.0,Biomass
Kenya,2026,ReservoirHydro,Water,0.0,Reservoir
Kenya,2026,ROR,Water,0.0,ROR
