y,value
2024,160000000.0
2025,160000000.0
2026,163076923.07692307
2027,166153846.15384614
2028,169230769.23076922
2029,172307692.30769232
2030,175384615.3846154
2031,178461538.46153846
2032,181538461.53846154
2033,184615384.6153846
2034,187692307.69230768
2035,190769230.76923078
2036,193846153.84615386
2037,196923076.92307693
2038,200000000.0
2039,186666666.66666666
2040,173333333.33333334
2041,160000000.0
2042,146666666.66666666
2043,133333333.33333334
2044,120000000.0
2045,106666666.66666667
2046,93333333.33333333
2047,80000000.0
2048,66666666.66666667
2049,53333333.33333334
2050,40000000.0
2051,26666666.666666657
2052,13333333.333333343
