z,genCostCmp,y,value
South_Africa,Generation costs: $m,2025,1.0338568037764757
South_Africa,Generation costs: $m,2026,2.8770960594619357
South_Africa,Generation costs: $m,2027,4.911556358437578
South_Africa,Generation costs: $m,2028,7.00868768914365
South_Africa,Generation costs: $m,2029,8.469825675001305
South_Africa,Generation costs: $m,2030,9.388077589332052
South_Africa,Generation costs: $m,2031,10.394599147485991
South_Africa,Generation costs: $m,2032,11.991200462537549
South_Africa,Generation costs: $m,2033,13.56492509107381
South_Africa,Generation costs: $m,2034,15.203742303605218
South_Africa,Generation costs: $m,2035,15.79246394223296
South_Africa,Fixed O&M: $m,2025,9.369566220985282
South_Africa,Fixed O&M: $m,2026,9.676963221308169
South_Africa,Fixed O&M: $m,2027,10.013485393363034
South_Africa,Fixed O&M: $m,2028,10.502976513176986
South_Africa,Fixed O&M: $m,2029,10.793709359061495
South_Africa,Fixed O&M: $m,2030,10.794028408511178
South_Africa,Fixed O&M: $m,2031,10.482839862957693
South_Africa,Fixed O&M: $m,2032,10.729973574268122
South_Africa,Fixed O&M: $m,2033,10.087813134284316
South_Africa,Fixed O&M: $m,2034,9.859019426871498
South_Africa,Fixed O&M: $m,2035,9.71156570951677
South_Africa,Variable Cost: $m,2025,51.0262692661238
South_Africa,Variable Cost: $m,2026,45.340863005242745
South_Africa,Variable Cost: $m,2027,39.871901204983146
South_Africa,Variable Cost: $m,2028,34.63717980896545
South_Africa,Variable Cost: $m,2029,30.874183462069166
South_Africa,Variable Cost: $m,2030,28.492174365150525
South_Africa,Variable Cost: $m,2031,25.940226051872163
South_Africa,Variable Cost: $m,2032,22.544779586573988
South_Africa,Variable Cost: $m,2033,19.90375365010017
South_Africa,Variable Cost: $m,2034,17.725631206426957
South_Africa,Variable Cost: $m,2035,16.707474834166145
Lesotho,Generation costs: $m,2026,5.324100526148604
Lesotho,Generation costs: $m,2027,9.611005259313107
Lesotho,Generation costs: $m,2028,11.350768937879211
Lesotho,Generation costs: $m,2029,12.224086313503273
Lesotho,Generation costs: $m,2030,13.669720745252821
Lesotho,Generation costs: $m,2031,14.1738810620319
Lesotho,Generation costs: $m,2032,14.782940852210112
Lesotho,Generation costs: $m,2033,15.939365218988478
Lesotho,Generation costs: $m,2034,16.407021503360795
Lesotho,Generation costs: $m,2035,17.11747100378283
Lesotho,Fixed O&M: $m,2025,5.879825700812772
Lesotho,Fixed O&M: $m,2026,6.083526368711493
Lesotho,Fixed O&M: $m,2027,6.792667339863343
Lesotho,Fixed O&M: $m,2028,6.810143752723902
Lesotho,Fixed O&M: $m,2029,6.917537580732061
Lesotho,Fixed O&M: $m,2030,7.214975128400465
Lesotho,Fixed O&M: $m,2031,7.748311970700667
Lesotho,Fixed O&M: $m,2032,8.225144096787648
Lesotho,Fixed O&M: $m,2033,8.289165789307736
Lesotho,Fixed O&M: $m,2034,8.592909875278803
Lesotho,Fixed O&M: $m,2035,8.846847624308028
Lesotho,Variable Cost: $m,2025,0.49082058381269633
Lesotho,Variable Cost: $m,2026,0.38100933405106135
Lesotho,Variable Cost: $m,2027,0.30741704491840627
Lesotho,Variable Cost: $m,2028,0.2590937589243005
Lesotho,Variable Cost: $m,2029,0.2358883453975041
Lesotho,Variable Cost: $m,2030,0.2145992190413886
Lesotho,Variable Cost: $m,2031,0.21240058791477007
Lesotho,Variable Cost: $m,2032,0.20703108377632692
Lesotho,Variable Cost: $m,2033,0.18447229588505387
Lesotho,Variable Cost: $m,2034,0.17692512762950288
Lesotho,Variable Cost: $m,2035,0.16689542049460834
Eswatini,Generation costs: $m,2027,4.88925226853656
Eswatini,Generation costs: $m,2028,8.217445311935096
Eswatini,Generation costs: $m,2029,15.328131340665973
Eswatini,Generation costs: $m,2030,17.647390157901015
Eswatini,Generation costs: $m,2031,18.82160706117725
Eswatini,Generation costs: $m,2032,20.539991475534922
Eswatini,Generation costs: $m,2033,21.539785586506923
Eswatini,Generation costs: $m,2034,22.045626255673504
Eswatini,Generation costs: $m,2035,22.696131557206613
Eswatini,Fixed O&M: $m,2025,15.422806354313861
Eswatini,Fixed O&M: $m,2026,15.422806354313865
Eswatini,Fixed O&M: $m,2027,14.291653244684406
Eswatini,Fixed O&M: $m,2028,13.550694296600112
Eswatini,Fixed O&M: $m,2029,11.785810758226726
Eswatini,Fixed O&M: $m,2030,11.091501169572433
Eswatini,Fixed O&M: $m,2031,10.82760518102575
Eswatini,Fixed O&M: $m,2032,11.249747177271674
Eswatini,Fixed O&M: $m,2033,11.462580860767696
Eswatini,Fixed O&M: $m,2034,11.527736624744975
Eswatini,Fixed O&M: $m,2035,11.739166840300543
Eswatini,Variable Cost: $m,2025,0.4935384499914918
Eswatini,Variable Cost: $m,2026,0.49353844999149193
Eswatini,Variable Cost: $m,2027,0.40912244967058986
Eswatini,Variable Cost: $m,2028,0.34865082899212063
Eswatini,Variable Cost: $m,2029,0.20478884105473374
Eswatini,Variable Cost: $m,2030,0.1472334237684634
Eswatini,Variable Cost: $m,2031,0.11918094569636768
Eswatini,Variable Cost: $m,2032,0.09998230920092768
Eswatini,Variable Cost: $m,2033,0.08780295187845458
Eswatini,Variable Cost: $m,2034,0.07600853305822605
Eswatini,Variable Cost: $m,2035,0.0679396508271133
Mozambique,Generation costs: $m,2027,0.31428697727505017
Mozambique,Generation costs: $m,2028,0.6011483886384759
Mozambique,Generation costs: $m,2029,0.6011483886384759
Mozambique,Generation costs: $m,2030,1.190976844267867
Mozambique,Generation costs: $m,2031,1.7425035785334966
