z,y,value
South_Africa,2025,247000.00000000012
South_Africa,2026,249999.9999999998
South_Africa,2027,250999.99999999994
South_Africa,2028,253499.99999999965
South_Africa,2029,255999.99999999983
South_Africa,2030,260000.00000000006
South_Africa,2031,263999.9999999997
South_Africa,2032,269000.0
South_Africa,2033,273999.99999999953
South_Africa,2034,281500.00000000023
South_Africa,2035,289000.0000000002
Lesotho,2025,979.0000000000009
Lesotho,2026,1011.0000000000017
Lesotho,2027,1052.9999999999973
Lesotho,2028,1074.000000000002
Lesotho,2029,1127.0000000000018
Lesotho,2030,1161.0000000000002
Lesotho,2031,1195.0000000000007
Lesotho,2032,1230.9999999999995
Lesotho,2033,1271.0000000000007
Lesotho,2034,1310.9999999999984
Lesotho,2035,1350.9999999999973
Eswatini,2025,1994.117646999996
Eswatini,2026,2064.705882000001
Eswatini,2027,2135.294118000003
Eswatini,2028,2205.882353000001
Eswatini,2029,2276.470587999996
Eswatini,2030,2347.058824000003
Eswatini,2031,2417.6470589999985
Eswatini,2032,2488.2352940000014
Eswatini,2033,2558.823529000004
Eswatini,2034,2629.4117649999985
Eswatini,2035,2700.0000000000005
Mozambique,2025,7550.999999999997
Mozambique,2026,8130.999999999994
Mozambique,2027,8713.999999999993
Mozambique,2028,9309.000000000035
Mozambique,2029,9861.000000000015
Mozambique,2030,10442.999999999995
Mozambique,2031,10796.000000000004
Mozambique,2032,11156.999999999987
Mozambique,2033,11524.999999999996
Mozambique,2034,11902.000000000018
Mozambique,2035,12286.000000000004
Zimbabwe,2025,12925.999999999995
Zimbabwe,2026,13738.000000000022
Zimbabwe,2027,14136.999999999985
Zimbabwe,2028,14562.0
Zimbabwe,2029,14978.999999999978
Zimbabwe,2030,15423.000000000013
Zimbabwe,2031,15824.098269999995
Zimbabwe,2032,16362.752690000008
Zimbabwe,2033,16786.991249999995
Zimbabwe,2034,17362.927230000023
Zimbabwe,2035,17811.59165000001
Botswana,2025,4612.999999999999
Botswana,2026,4988.999999999984
Botswana,2027,5370.000000000018
Botswana,2028,5477.0000000000155
Botswana,2029,5594.999999999993
Botswana,2030,5539.999999999996
Botswana,2031,5568.999999999989
Botswana,2032,5621.999999999992
Botswana,2033,5605.999999999995
Botswana,2034,5656.000000000004
Botswana,2035,5737.999999999995
Namibia,2025,4406.071825999999
Namibia,2026,4524.267380000007
Namibia,2027,4637.4033289999925
Namibia,2028,4695.467875000007
Namibia,2029,4777.122507999991
Namibia,2030,4843.813934999992
Namibia,2031,4912.079998000003
Namibia,2032,4972.552911000007
Namibia,2033,5047.794659999999
Namibia,2034,5119.576460999989
Namibia,2035,5196.2669339999875
Zambia,2025,19485.00000000002
Zambia,2026,20287.000000000047
Zambia,2027,24601.499999999945
Zambia,2028,28916.000000000022
Zambia,2029,33230.5
Zambia,2030,37545.00000000006
Zambia,2031,38881.899999999965
Zambia,2032,40218.79999999995
Zambia,2033,41555.7000000001
Zambia,2034,42892.6
Zambia,2035,44229.49999999996
Angola,2025,17270.64000000001
Angola,2026,18336.58999999999
Angola,2027,22469.34000000002
Angola,2028,23916.000000000004
Angola,2029,24840.300000000003
Angola,2030,25765.30000000002
Angola,2031,26692.530000000013
Angola,2032,27618.34000000004
Angola,2033,28543.289999999986
Angola,2034,29457.949999999975
Angola,2035,30374.99000000003
Tanzania,2025,14381.89999999999
Tanzania,2026,17002.759999999987
Tanzania,2027,19588.389999999992
Tanzania,2028,22581.589999999956
Tanzania,2029,24422.189999999977
Tanzania,2030,26862.830000000005
Tanzania,2031,28558.64999999992
Tanzania,2032,29622.100000000028
Tanzania,2033,30539.60999999998
Tanzania,2034,31428.380000000005
Tanzania,2035,32320.019999999942
DRC,2025,6849.151164000009
DRC,2026,7123.117211000005
DRC,2027,7408.041899000003
DRC,2028,7704.363575000001
DRC,2029,8012.538118000011
DRC,2030,8333.039642999982
DRC,2031,8666.361227999994
DRC,2032,9013.015677999989
DRC,2033,9373.536305000007
DRC,2034,9748.477757000004
DRC,2035,10138.416869999995
Malawi,2025,3319.9999999999964
Malawi,2026,3865.9999999999986
Malawi,2027,4079.0000000000014
Malawi,2028,4379.999999999998
Malawi,2029,4814.0
Malawi,2030,5131.999999999996
Malawi,2031,5515.999999999999
Malawi,2032,5947.0
Malawi,2033,6447.9999999999945
Malawi,2034,6901.999999999998
Malawi,2035,7430.000000000008
DRC_South,2025,12367.292569999987
DRC_South,2026,12596.816010000004
DRC_South,2027,12832.868710000013
DRC_South,2028,13075.685319999997
DRC_South,2029,13325.509609999985
DRC_South,2030,13582.594839999987
DRC_South,2031,13847.204130000024
DRC_South,2032,14119.610840000001
DRC_South,2033,14400.099010000029
DRC_South,2034,14688.96374999999
DRC_South,2035,14986.51167999999
Mozal,2025,8912.195121999981
Mozal,2026,8934.146341000014
Mozal,2027,8956.097560999984
Mozal,2028,8978.048779999994
Mozal,2029,9000.0
Mozal,2030,9021.951219999999
Mozal,2031,9043.90243900001
Mozal,2032,9065.853658999999
Mozal,2033,9087.804878000014
Mozal,2034,9109.756097999987
Mozal,2035,9131.707316999986
