z,g,y,value
South_Africa,Ingula_HY_ZAF,2026,2.7718445999999366
South_Africa,Ingula_HY_ZAF,2027,384.163793023843
South_Africa,Ingula_HY_ZAF,2028,1428.5499109984066
South_Africa,Ingula_HY_ZAF,2029,2951.8808486465196
South_Africa,Ingula_HY_ZAF,2030,1600.7878713008047
South_Africa,Ingula_HY_ZAF,2031,1764.0231688578738
South_Africa,Ingula_HY_ZAF,2032,1906.5944577992823
South_Africa,Ingula_HY_ZAF,2033,3605.3704104343774
South_Africa,Ingula_HY_ZAF,2034,3654.6602034786756
South_Africa,Ingula_HY_ZAF,2035,2628.5820438473825
South_Africa,JohannesburgLandfillGas_TH_ZAF,2025,20.746800000000007
South_Africa,JohannesburgLandfillGas_TH_ZAF,2026,22.052102400000038
South_Africa,JohannesburgLandfillGas_TH_ZAF,2027,26.87040000000003
South_Africa,JohannesburgLandfillGas_TH_ZAF,2028,23.940975600000034
South_Africa,JohannesburgLandfillGas_TH_ZAF,2029,22.71684480000007
South_Africa,JohannesburgLandfillGas_TH_ZAF,2030,21.286800000000017
South_Africa,JohannesburgLandfillGas_TH_ZAF,2031,18.465839999999986
South_Africa,JohannesburgLandfillGas_TH_ZAF,2032,22.199126500000034
South_Africa,JohannesburgLandfillGas_TH_ZAF,2033,20.606400000000015
South_Africa,JohannesburgLandfillGas_TH_ZAF,2034,21.430800000000023
South_Africa,JohannesburgLandfillGas_TH_ZAF,2035,19.019896866775902
South_Africa,KelvinB_TH_ZAF,2025,137.0363418857822
South_Africa,KelvinB_TH_ZAF,2026,147.9728586932404
South_Africa,Kendal_TH_ZAF,2025,947.9175593735328
South_Africa,Kendal_TH_ZAF,2026,1108.1701565790593
South_Africa,Kendal_TH_ZAF,2027,1127.0708958
South_Africa,Kendal_TH_ZAF,2028,1298.0711524050928
South_Africa,Kendal_TH_ZAF,2029,1363.1200945424118
South_Africa,Kendal_TH_ZAF,2030,1274.4602004073222
South_Africa,Kendal_TH_ZAF,2031,1198.0753441479012
South_Africa,Kendal_TH_ZAF,2032,1238.3081049719208
South_Africa,Kendal_TH_ZAF,2033,1088.5325138574824
South_Africa,Kendal_TH_ZAF,2034,1111.3902408132005
South_Africa,Kendal_TH_ZAF,2035,1059.0786603896
South_Africa,Kriel_TH_ZAF,2025,844.0675228095138
South_Africa,Kriel_TH_ZAF,2026,951.9619506365353
South_Africa,Kriel_TH_ZAF,2027,956.8706974275625
South_Africa,Kriel_TH_ZAF,2028,930.3471480371308
South_Africa,Kriel_TH_ZAF,2029,834.3289182626306
South_Africa,Kriel_TH_ZAF,2030,797.5261072032447
South_Africa,Kriel_TH_ZAF,2031,780.5184702614247
South_Africa,Kriel_TH_ZAF,2032,857.7537179799087
South_Africa,Kusile_I_TH_ZAF,2025,321.6499816496124
South_Africa,Kusile_I_TH_ZAF,2026,351.52059255
South_Africa,Kusile_I_TH_ZAF,2027,462.8891710677314
South_Africa,Kusile_I_TH_ZAF,2028,434.39139044309167
South_Africa,Kusile_I_TH_ZAF,2029,441.7451845152758
South_Africa,Kusile_I_TH_ZAF,2030,448.51225860051824
South_Africa,Kusile_I_TH_ZAF,2031,402.4545478620074
South_Africa,Kusile_I_TH_ZAF,2032,425.23973559999996
South_Africa,Kusile_I_TH_ZAF,2033,396.89271481092175
South_Africa,Kusile_I_TH_ZAF,2034,398.69748792668656
South_Africa,Kusile_I_TH_ZAF,2035,359.30384134271264
South_Africa,Kusile_II_TH_ZAF,2025,293.6829253165384
South_Africa,Kusile_II_TH_ZAF,2026,367.33311272670977
South_Africa,Kusile_II_TH_ZAF,2027,440.89409217839136
South_Africa,Kusile_II_TH_ZAF,2028,448.45184994837706
South_Africa,Kusile_II_TH_ZAF,2029,424.988885559719
South_Africa,Kusile_II_TH_ZAF,2030,453.97633606775616
South_Africa,Kusile_II_TH_ZAF,2031,444.67946004213195
South_Africa,Kusile_II_TH_ZAF,2032,431.55164300000007
South_Africa,Kusile_II_TH_ZAF,2033,376.33895765105905
South_Africa,Kusile_II_TH_ZAF,2034,386.28531865366074
South_Africa,Kusile_II_TH_ZAF,2035,355.1461635425066
South_Africa,Lethabo_TH_ZAF,2025,818.1780359180677
South_Africa,Lethabo_TH_ZAF,2026,991.7401312682513
South_Africa,Lethabo_TH_ZAF,2027,983.2223202083436
South_Africa,Lethabo_TH_ZAF,2028,1036.2880436097853
South_Africa,Lethabo_TH_ZAF,2029,1123.9112224803882
South_Africa,Lethabo_TH_ZAF,2030,1102.544876265834
South_Africa,Lethabo_TH_ZAF,2031,1082.7400689853685
South_Africa,Lethabo_TH_ZAF,2032,1049.528663199998
South_Africa,Lethabo_TH_ZAF,2033,907.940655037211
South_Africa,Lethabo_TH_ZAF,2034,927.9032422421055
South_Africa,Lethabo_TH_ZAF,2035,801.0540730722398
South_Africa,MajubaI_TH_ZAF,2025,484.7144607329561
South_Africa,MajubaI_TH_ZAF,2026,663.8848988354565
South_Africa,MajubaI_TH_ZAF,2027,636.9630254651724
South_Africa,MajubaI_TH_ZAF,2028,579.8667083588665
South_Africa,MajubaI_TH_ZAF,2029,593.4985154154706
South_Africa,MajubaI_TH_ZAF,2030,580.8923540386038
South_Africa,MajubaI_TH_ZAF,2031,535.1486385999999
South_Africa,MajubaI_TH_ZAF,2032,571.1231317354959
South_Africa,MajubaI_TH_ZAF,2033,547.7778137080209
South_Africa,MajubaI_TH_ZAF,2034,510.5736897123909
South_Africa,MajubaI_TH_ZAF,2035,468.93222258449583
South_Africa,MajubaII_TH_ZAF,2025,608.9265039933678
South_Africa,MajubaII_TH_ZAF,2026,629.1637628458296
South_Africa,MajubaII_TH_ZAF,2027,659.0274479263603
South_Africa,MajubaII_TH_ZAF,2028,660.6990786582655
South_Africa,MajubaII_TH_ZAF,2029,702.4493061796989
