year,month,Souapiti,Kaléta,Garafiri,G chutes,Donkéa,Kinkon
2014,1,,,,,,
2014,2,,,25911.50,8562.70,4912.48,778.13
2014,3,,,16838.00,8548.00,3564.98,326.57
2014,4,,,20071.20,7391.00,4136.20,82.75
2014,5,,,20533.00,6010.10,4217.45,
2014,6,,,19555.00,5659.70,3441.45,120.87
2014,7,,,23668.00,8041.70,4941.14,1092.07
2014,8,,,20127.00,9714.80,5889.04,1891.86
2014,9,,,15417.50,8669.00,5525.93,1967.05
2014,10,,,17587.20,8223.80,5960.94,1904.18
2014,11,,,22337.00,8534.60,6535.50,1687.71
2014,12,,,23395.00,7907.10,3818.20,1722.09
2015,1,,,24456.00,7081.50,4968.60,848.88
2015,2,,,19541.00,7590.00,5321.50,244.42
2015,3,,,11843.70,8302.60,6096.90,29.65
2015,4,,,11124.80,8480.40,6268.40,
2015,5,,7480.00,13173.00,7086.70,5962.50,474.98
2015,6,,27173.00,14944.00,8018.90,3905.40,1612.96
2015,7,,75621.00,11741.50,7994.50,4597.10,2059.53
2015,8,,83068.00,14395.00,7588.40,3939.90,1942.65
2015,9,,73652.00,20357.40,7602.90,6203.30,1868.85
2015,10,,94632.30,7096.10,9320.00,6472.80,2149.87
2015,11,,87399.90,24136.00,5801.10,3757.90,2225.49
2015,12,,54469.80,27343.00,6079.30,4177.80,1855.99
2016,1,,41724.90,28433.00,5454.60,4101.30,1304.24
2016,2,,36647.10,31074.00,5625.20,3566.80,289.85
2016,3,,25767.00,23757.00,6656.90,2671.74,28.35
2016,4,,21993.30,18231.00,3880.90,2348.38,
2016,5,,26352.90,19551.00,4191.40,2831.93,317.34
2016,6,,36508.50,17982.20,5641.60,3005.29,670.15
2016,7,,81799.20,10252.80,7776.10,2541.47,2194.42
2016,8,,106281.00,10668.00,4521.90,3881.59,1831.03
2016,9,,88464.60,19985.00,4203.70,3650.49,1425.32
2016,10,,86940.00,26834.00,4307.30,2295.69,1642.50
2016,11,,80734.50,32125.00,2892.30,513.78,2013.61
2016,12,,55326.60,36629.00,6979.90,3181.98,1366.99
2017,1,,38367.00,29893.50,8896.30,5374.83,589.70
2017,2,,26201.70,22268.00,11399.50,6752.58,238.14
2017,3,,24343.20,21827.00,9144.80,5273.20,
2017,4,,22705.20,20174.00,4254.20,3249.14,
2017,5,,27568.80,19745.50,8473.90,4129.66,118.40
2017,6,,44925.30,15650.50,10511.90,3801.72,835.67
2017,7,,113015.70,16413.50,13660.90,4074.51,2240.44
2017,8,,128223.90,7511.50,8973.70,3894.96,2176.83
2017,9,,122837.40,13621.50,8572.90,2769.38,2116.83
2017,10,,122925.60,19502.50,9298.50,4085.55,2185.54
2017,11,,71448.30,26153.00,9219.10,4265.77,1624.07
2017,12,,41970.60,26887.00,9180.30,4258.93,562.29
