uni_0,StYr,RetrYr,Zone,Capacity,HeatRate,RampUpRate,RampDnRate,FOMperMW,VOM,Capex,Life,BuildLimitperYear,MaxTotalBuild,Type,Status,UnitSize,Error
H2_AE_2060_Pure,2060.0,2090.0,1.0,100000.0,2.7296,1.0,1.0,8000.0,4.22,1.65,12.842465753424657,100000.0,100000.0,1.0,3.0,100000.0,312178.4420657534
H2_PEM_2060_Pure,2060.0,2090.0,1.0,100000.0,2.52488,1.0,1.0,8000.0,4.22,2.0,12.842465753424657,100000.0,100000.0,1.0,3.0,100000.0,312178.58734575345
H2_AE_2070_Pure,2070.0,2090.0,1.0,100000.0,2.7296,1.0,1.0,8000.0,4.22,1.65,12.842465753424657,100000.0,100000.0,1.0,3.0,100000.0,312188.4420657534
H2_PEM_2070_Pure,2070.0,2091.0,1.0,100000.0,2.52488,1.0,1.0,8000.0,4.22,2.0,12.842465753424657,100000.0,100000.0,1.0,3.0,100000.0,312189.58734575345
H2_AE_2080_Pure,2080.0,2096.0,1.0,100000.0,2.7296,1.0,1.0,8000.0,4.22,1.65,12.842465753424657,100000.0,100000.0,1.0,3.0,100000.0,312204.4420657534
H2_PEM_2080_Pure,2080.0,2097.0,1.0,100000.0,2.52488,1.0,1.0,8000.0,4.22,2.0,12.842465753424657,100000.0,100000.0,1.0,3.0,100000.0,312205.58734575345
H2_AE_2060_Gas,2060.0,2098.0,1.0,100000.0,2.7296,1.0,1.0,8000.0,4.22,1.65,12.842465753424657,100000.0,100000.0,2.0,3.0,100000.0,312187.4420657534
H2_PEM_2060_Gas,2060.0,2099.0,1.0,100000.0,2.52488,1.0,1.0,8000.0,4.22,2.0,12.842465753424657,100000.0,100000.0,2.0,3.0,100000.0,312188.58734575345
H2_AE_2070_Gas,2070.0,2106.0,1.0,100000.0,2.7296,1.0,1.0,8000.0,4.22,1.65,12.842465753424657,100000.0,100000.0,2.0,3.0,100000.0,312205.4420657534
H2_PEM_2070_Gas,2070.0,2107.0,1.0,100000.0,2.52488,1.0,1.0,8000.0,4.22,2.0,12.842465753424657,100000.0,100000.0,2.0,3.0,100000.0,312206.58734575345
H2_AE_2080_Gas,2080.0,2108.0,1.0,100000.0,2.7296,1.0,1.0,8000.0,4.22,1.65,12.842465753424657,100000.0,100000.0,2.0,3.0,100000.0,312217.4420657534
H2_PEM_2080_Gas,2080.0,2109.0,1.0,100000.0,2.52488,1.0,1.0,8000.0,4.22,2.0,12.842465753424657,100000.0,100000.0,2.0,3.0,100000.0,312218.58734575345
