z,fuel,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
ALGERIA,Gas,3531.5,3531.5,3531.5,3531.5,3531.5,3531.5,3672.76,3672.76,3672.76,3672.76,3672.76,3319.61,3319.61,3319.61,3319.61,3319.61,3319.61,3319.61,3319.61,3319.61,3319.61,3319.61
BAHRAIN,Gas,954.0,953.505,953.505,953.505,953.505,953.505,882.875,882.875,882.875,882.875,882.875,847.56,847.56,847.56,847.56,847.56,847.56,847.56,847.56,847.56,847.56,847.56
EGYPT,Gas,2648.625,2648.625,2648.625,2648.625,2648.625,2648.625,2683.94,2683.94,2683.94,2683.94,2683.94,2472.05,2472.05,2472.05,2472.05,2472.05,2472.05,2472.05,2472.05,2472.05,2472.05,2472.05
IRAQ,Gas,2860.515,2860.515,2860.515,2860.515,2860.515,2860.515,3496.185,3496.185,3496.185,3496.185,3496.185,3686.886,3686.886,3686.886,3686.886,3686.886,3686.886,3686.886,3686.886,3686.886,3686.886,3686.886
JORDAN,Gas,282.52,282.52,282.52,282.52,282.52,282.52,282.52,282.52,282.52,282.52,282.52,282.52,282.52,282.52,282.52,282.52,282.52,282.52,282.52,282.52,282.52,282.52
KSA,Gas,4661.58,4661.58,4661.58,4661.58,4661.58,4661.58,4661.58,4661.58,4661.58,4661.58,4661.58,4661.58,4661.58,4661.58,4661.58,4661.58,4661.58,4661.58,4661.58,4661.58,4661.58,4661.58
KUWAIT,Gas,882.875,882.875,882.875,882.875,882.875,882.875,1306.655,1306.655,1306.655,1306.655,1306.655,1518.545,1518.545,1518.545,1518.545,1518.545,1518.545,1518.545,1518.545,1518.545,1518.545,1518.545
LEBANON,Gas,70.63,70.63,70.63,70.63,70.63,70.63,70.63,70.63,70.63,70.63,70.63,70.63,70.63,70.63,70.63,70.63,70.63,70.63,70.63,70.63,70.63,70.63
LIBYA,Gas,600.355,600.355,600.355,600.355,600.355,600.355,706.3,706.3,706.3,706.3,706.3,882.875,882.875,882.875,882.875,882.875,882.875,882.875,882.875,882.875,882.875,882.875
MOROCCO,Gas,35.315,35.315,35.315,35.315,35.315,35.315,176.575,176.575,176.575,176.575,176.575,176.575,176.575,176.575,176.575,176.575,176.575,176.575,176.575,176.575,176.575,176.575
OMAN,Gas,374.339,374.339,374.339,374.339,374.339,374.339,663.922,663.922,663.922,663.922,663.922,783.993,783.993,783.993,783.993,783.993,783.993,783.993,783.993,783.993,783.993,783.993
PALESTINE,Gas,14.126,14.126,14.126,14.126,14.126,14.126,28.252,28.252,28.252,28.252,28.252,35.315,35.315,35.315,35.315,35.315,35.315,35.315,35.315,35.315,35.315,35.315
QATAR,Gas,7380.835,7380.835,7380.835,7380.835,7380.835,7380.835,9146.585,9146.585,9146.585,9146.585,9146.585,9146.585,9146.585,9146.585,9146.585,9146.585,9146.585,9146.585,9146.585,9146.585,9146.585,9146.585
SUDAN,Gas,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
SYRIA,Gas,105.945,105.945,105.945,105.945,105.945,105.945,388.465,388.465,388.465,388.465,388.465,388.465,388.465,388.465,388.465,388.465,388.465,388.465,388.465,388.465,388.465,388.465
TUNISIA,Gas,211.89,211.89,211.89,211.89,211.89,211.89,211.89,211.89,211.89,211.89,211.89,176.575,176.575,176.575,176.575,176.575,176.575,176.575,176.575,176.575,176.575,176.575
UAE,Gas,3178.35,3178.35,3178.35,3178.35,3178.35,3178.35,2683.94,2683.94,2683.94,2683.94,2683.94,2260.16,2260.16,2260.16,2260.16,2260.16,2260.16,2260.16,2260.16,2260.16,2260.16,2260.16
YEMEN,Gas,14.775796,14.775796,14.775796,14.775796,14.775796,14.775796,100.64775,100.64775,100.64775,100.64775,100.64775,220.71875,220.71875,220.71875,220.71875,220.71875,220.71875,220.71875,220.71875,220.71875,220.71875,220.71875
