c,2018,2019,2020,2021,2022,2023,2024,2025
Country1,372000.614152677,389415.747566206,362550.833222581,189460.024263052,217942.633319328,170690.278526548,161342.644445119,167109.367008352
Country2,315863.533868827,265651.660496491,243334.557067096,235762.127301877,51240.8209684981,48802.3937345582,,
