z,tech,fuel,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life
Mozambique_North,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,,30
Mozambique_Central,,Coal,,0.33,0.33,0,0.05,45000,3,0,,30
Mozambique_South,,Coal,,0.33,0.33,0,0.05,45000,3,0,,30
Mozambique_North,OCGT,HFO,,1,1,0,0.2,20000,4.4,0,,30
Mozambique_Central,OCGT,HFO,,1,1,0,0.2,20000,4.4,0,,30
Mozambique_South,OCGT,HFO,,1,1,0,0.2,20000,4.4,0,,30
Mozambique_North,ICE,HFO,,1,1,0,0.4,8000,6.4,0,,30
Mozambique_Central,ICE,HFO,,1,1,0,0.4,8000,6.4,0,,30
Mozambique_South,ICE,HFO,,1,1,0,0.4,8000,6.4,0,,30
Mozambique_North,CCGT,Gas,6.4,1,1,0,0.05,30000,2,0,,30
Mozambique_Central,CCGT,Gas,6.4,1,1,0,0.05,30000,2,0,,30
Mozambique_South,CCGT,Gas,6.4,1,1,0,0.05,30000,2,0,,30
Mozambique_North,OCGT,Gas,9,1,1,0,0.2,20000,4,0,,30
Mozambique_Central,OCGT,Gas,9,1,1,0,0.2,20000,4,0,,30
Mozambique_South,OCGT,Gas,9,1,1,0,0.2,20000,4,0,,30
Mozambique_North,CCGT,LNG,6.4,1,1,0,0.05,30000,2,0,,30
Mozambique_Central,CCGT,LNG,6.4,1,1,0,0.05,30000,2,0,,30
Mozambique_South,CCGT,LNG,6.4,1,1,0,0.05,30000,2,0,,30
Mozambique_North,OCGT,LNG,9,1,1,0,0.2,20000,4,0,,30
Mozambique_Central,OCGT,LNG,9,1,1,0,0.2,20000,4,0,,30
Mozambique_South,OCGT,LNG,9,1,1,0,0.2,20000,4,0,,30
Mozambique_North,ROR,Water,0,1,1,0,,46500,0.55,0,,30
Mozambique_Central,ROR,Water,0,1,1,0,,46500,0.55,0,,30
Mozambique_South,ROR,Water,0,1,1,0,,46500,0.55,0,,30
Mozambique_North,ReservoirHydro,Water,0,1,1,0,,40000,0.55,0,,30
Mozambique_Central,ReservoirHydro,Water,0,1,1,0,,40000,0.55,0,,30
Mozambique_South,ReservoirHydro,Water,0,1,1,0,,40000,0.55,0,,30
Mozambique_North,Storage,Battery,0,1,1,0,0.9,13860,0,0,0.2,20
Mozambique_Central,Storage,Battery,0,1,1,0,0.9,13860,0,0,0.2,20
Mozambique_South,Storage,Battery,0,1,1,0,0.9,13860,0,0,0.2,20
Mozambique_North,ST,Biomass,,1,1,0,0.01,100000,3,0,,30
Mozambique_Central,ST,Biomass,,1,1,0,0.01,100000,3,0,,30
Mozambique_South,ST,Biomass,,1,1,0,0.01,100000,3,0,,30
Mozambique_North,PV,Solar,,1,1,0,0,15000,0,0,0.8,25
Mozambique_Central,PV,Solar,,1,1,0,0,15000,0,0,0.8,25
Mozambique_South,PV,Solar,,1,1,0,0,15000,0,0,0.8,25
Mozambique_North,OnshoreWind,Wind,,1,1,0,0,40000,0,0,1.3,30
Mozambique_Central,OnshoreWind,Wind,,1,1,0,0,40000,0,0,1.3,30
Mozambique_South,OnshoreWind,Wind,,1,1,0,0,40000,0,0,1.3,30
