country,zone,attribute,resolution,year,baseline
Angola,Angola,Annual Energy Exchanges: GWh,Congo,2030,1029.6
Angola,Angola,Annual Energy Exchanges: GWh,Congo,2040,470.8
Angola,Angola,Annual Energy Exchanges: GWh,DRC,2030,2539.9
Angola,Angola,Annual Energy Exchanges: GWh,DRC,2040,22.0
Angola,Angola,Capacity: MW,Battery,2025,50.0
Angola,Angola,Capacity: MW,Battery,2030,50.0
Angola,Angola,Capacity: MW,Battery,2040,50.0
Angola,Angola,Capacity: MW,Diesel,2025,701.0
Angola,Angola,Capacity: MW,Gas,2025,1487.9
Angola,Angola,Capacity: MW,Gas,2030,1372.0
Angola,Angola,Capacity: MW,Gas,2040,1372.0
Angola,Angola,Capacity: MW,Onshore Wind,2030,546.0
Angola,Angola,Capacity: MW,Onshore Wind,2040,546.0
Angola,Angola,Capacity: MW,PV,2025,336.0
Angola,Angola,Capacity: MW,PV,2030,1101.0
Angola,Angola,Capacity: MW,PV,2040,3101.0
Angola,Angola,Capacity: MW,ROR,2025,2206.6
Angola,Angola,Capacity: MW,ROR,2030,2988.4
Angola,Angola,Capacity: MW,ROR,2040,3398.4
Angola,Angola,Capacity: MW,Reservoir,2025,1540.0
Angola,Angola,Capacity: MW,Reservoir,2030,1540.0
Angola,Angola,Capacity: MW,Reservoir,2040,1979.0
Angola,Angola,Demand: GWh,,2025,17080.0
Angola,Angola,Demand: GWh,,2030,21782.0
Angola,Angola,Demand: GWh,,2040,33615.0
Angola,Angola,Emissions: MtCO2,,2025,2.9
Angola,Angola,Emissions: MtCO2,,2030,3.5
Angola,Angola,Emissions: MtCO2,,2040,1.7
Angola,Angola,Energy: GWh,Battery,2030,11.7
Angola,Angola,Energy: GWh,Battery,2040,73.0
Angola,Angola,Energy: GWh,Gas,2025,6664.9
Angola,Angola,Energy: GWh,Gas,2030,9057.7
Angola,Angola,Energy: GWh,Gas,2040,4386.2
Angola,Angola,Energy: GWh,Onshore Wind,2030,1863.4
Angola,Angola,Energy: GWh,Onshore Wind,2040,1863.4
Angola,Angola,Energy: GWh,PV,2025,690.8
Angola,Angola,Energy: GWh,PV,2030,2263.5
Angola,Angola,Energy: GWh,PV,2040,6375.1
Angola,Angola,Energy: GWh,ROR,2025,5328.8
Angola,Angola,Energy: GWh,ROR,2030,7770.2
Angola,Angola,Energy: GWh,ROR,2040,9798.7
Angola,Angola,Energy: GWh,Reservoir,2025,4395.6
Angola,Angola,Energy: GWh,Reservoir,2030,4395.6
Angola,Angola,Energy: GWh,Reservoir,2040,5648.9
Angola,Angola,Export revenues with internal zones: $/MWh,,,-3.8
Angola,Angola,Exports exchange: GWh,,2030,3569.5
Angola,Angola,Exports exchange: GWh,,2040,492.9
Angola,Angola,Fixed O&M: $/MWh,,,10.3
Angola,Angola,Fixed O&M: $m,,2025,210.7
Angola,Angola,Fixed O&M: $m,,2030,252.1
Angola,Angola,Fixed O&M: $m,,2040,320.4
Angola,Angola,Fuel costs: $/MWh,,,15.9
Angola,Angola,Fuel costs: $m,,2025,424.1
Angola,Angola,Fuel costs: $m,,2030,569.9
Angola,Angola,Fuel costs: $m,,2040,336.7
