Zone,m,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Zambia,Q1,d2,0.49,0.44,0.49,0.42,0.42,0.49,0.68,0.74,0.75,0.74,0.74,0.73,0.74,0.74,0.74,0.73,0.74,0.74,0.75,0.74,0.74,0.74,0.68,0.49
Zambia,Q1,d3,0.5,0.5,0.48,0.41,0.41,0.41,0.48,0.65,0.75,0.75,0.74,0.74,0.74,0.75,0.75,0.75,0.75,0.75,0.75,0.7,0.7,0.7,0.7,0.5
Zambia,Q1,d4,0.55,0.49,0.45,0.45,0.45,0.55,0.71,0.76,0.76,0.76,0.76,0.75,0.75,0.76,0.75,0.75,0.76,0.76,0.78,0.76,0.76,0.76,0.71,0.55
Zambia,Q2,d2,0.58,0.52,0.58,0.48,0.48,0.58,0.73,0.77,0.78,0.77,0.77,0.76,0.78,0.77,0.78,0.78,0.8,0.82,0.78,0.78,0.77,0.77,0.73,0.58
Zambia,Q2,d3,0.53,0.58,0.52,0.52,0.52,0.52,0.48,0.75,0.77,0.76,0.79,0.76,0.79,0.79,0.77,0.77,0.77,0.77,0.78,0.77,0.73,0.73,0.75,0.58
Zambia,Q2,d4,0.61,0.61,0.49,0.49,0.49,0.61,0.77,0.81,0.83,0.79,0.79,0.77,0.77,0.82,0.8,0.8,0.79,0.96,0.82,0.83,0.81,0.81,0.76,0.61
Zambia,Q3,d2,0.59,0.59,0.52,0.52,0.52,0.59,0.76,0.81,0.83,0.82,0.79,0.77,0.77,0.82,0.8,0.77,0.79,0.96,0.8,0.83,0.81,0.81,0.76,0.52
Zambia,Q3,d3,0.58,0.58,0.48,0.48,0.48,0.58,0.73,0.77,0.79,0.77,0.77,0.77,0.8,0.77,0.79,0.79,0.8,0.88,0.79,0.79,0.79,0.78,0.75,0.58
Zambia,Q3,d4,0.59,0.56,0.54,0.45,0.45,0.45,0.54,0.71,0.77,0.77,0.75,0.77,0.75,0.77,0.76,0.76,0.76,0.76,0.77,0.77,0.72,0.72,0.74,0.56
Zambia,Q4,d2,0.55,0.55,0.45,0.45,0.45,0.55,0.72,0.76,0.76,0.76,0.76,0.75,0.75,0.76,0.75,0.75,0.76,0.76,0.77,0.76,0.76,0.76,0.71,0.55
Zambia,Q4,d3,0.44,0.5,0.42,0.4,0.4,0.39,0.42,0.54,0.71,0.75,0.76,0.76,0.76,0.76,0.75,0.76,0.75,0.75,0.76,0.7,0.71,0.71,0.67,0.5
Zambia,Q4,d4,0.5,0.44,0.5,0.42,0.42,0.5,0.68,0.74,0.75,0.74,0.74,0.73,0.74,0.74,0.74,0.72,0.74,0.74,0.75,0.74,0.74,0.74,0.68,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q1,,0.51,0.48,0.47,0.43,0.43,0.48,0.62,0.72,0.75,0.75,0.75,0.74,0.74,0.75,0.75,0.74,0.75,0.75,0.76,0.73,0.73,0.73,0.70,0.51
,Q2,,0.57,0.57,0.53,0.50,0.50,0.57,0.66,0.78,0.79,0.77,0.78,0.76,0.78,0.79,0.78,0.78,0.79,0.85,0.79,0.79,0.77,0.77,0.75,0.59
,Q3,,0.59,0.58,0.51,0.48,0.48,0.54,0.68,0.76,0.80,0.79,0.77,0.77,0.77,0.79,0.78,0.77,0.78,0.87,0.79,0.80,0.77,0.77,0.75,0.55
,Q4,,0.50,0.50,0.46,0.42,0.42,0.48,0.61,0.68,0.74,0.75,0.75,0.75,0.75,0.75,0.75,0.74,0.75,0.75,0.76,0.73,0.74,0.74,0.69,0.52
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average,,0.54,0.53,0.49,0.46,0.46,0.52,0.64,0.73,0.77,0.77,0.76,0.76,0.76,0.77,0.77,0.76,0.77,0.80,0.78,0.76,0.75,0.75,0.72,0.54
,Price,,65.1,63.6,59.2,54.9,54.9,62.2,77,88.1,92.5,91.8,91.6,90.6,91.4,92.5,91.8,91.3,92.1,96.5,93,91.7,90.4,90.3,86.4,65.2
